SMILES	X0A	ATSC8p	F06[O-Cl]	nR_5_False_False_False_True	PEOE_VSA2	C-025	B06[N-F]	F06[N-F]	B06[N-Cl]	B06[N-Br]	B06[O-O]	F06[O-O]	B06[O-S]	B06[O-F]	B06[O-Cl]	observed	predicted
COc1cc(C(=O)NS(C)(=O)=O)ccc1-c1cnc(OCC(C)C)c(Cl)c1	2.45	-0.02	4.32	-0.39	-0.45	0.17	-0.62	-0.5	-0.25	-0.03	-0.49	-0.44	6.57	-0.41	5.33	0.0	0.0
CC1(C)CCOc2c(Cl)cc(CN3CCC4(CC3)CC(=O)N(c3ccc(C(=O)O)cc3)C4)cc21	-0.12	-2.21	-0.17	1.63	0.71	0.17	-0.62	-0.5	-0.25	-0.03	-0.49	-0.44	-0.15	-0.41	-0.19	1.0	0.0
CCNC(=N)NC(=O)Nc1c(CC)cc(C(=O)NC(C)C)cc1CC	3.2	-1.43	-0.17	-0.39	2.08	0.17	-0.62	-0.5	-0.25	-0.03	-0.49	-0.44	-0.15	-0.41	-0.19	0.0	0.0
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCC2CCC3(CC2)OCCO3)cc1F	-0.25	0.74	-0.17	1.63	-0.46	-1.54	1.61	0.36	-0.25	-0.03	-0.49	-0.44	-0.15	-0.41	-0.19	1.0	1.0
COC1CC(Oc2cc(F)c(F)c(-c3ccc4c(c3)CC[C@H](CCC(=O)O)O4)n2)C1	-0.12	-0.47	-0.17	-0.39	-0.45	-0.4	-0.62	-0.5	-0.25	-0.03	-0.49	-0.44	-0.15	-0.41	-0.19	0.0	1.0
O=S(=O)(Nc1ncccn1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1-c1ccc(F)cn1	-0.12	-0.01	-0.17	-0.39	-0.4	0.73	1.61	2.09	-0.25	-0.03	-0.49	-0.44	-0.15	-0.41	-0.19	1.0	1.0
CC(=O)OC[C@@H]1NC(=N)N2CCC(O)(O)[C@@]23NC(=N)N[C@@H]13	1.55	-0.75	-0.17	3.64	2.1	-1.54	-0.62	-0.5	-0.25	-0.03	2.06	2.54	-0.15	-0.41	-0.19	1.0	0.0
COc1ccc(F)cc1-c1cccc2c1CCN(S(=O)(=O)Nc1ncns1)C2	-0.37	0.73	-0.17	-0.39	-1.58	0.73	-0.62	-0.5	-0.25	-0.03	-0.49	-0.44	-0.15	-0.41	-0.19	1.0	1.0
O=S(=O)(Nc1ncns1)N1CCc2c(cccc2-c2cccc3ccccc23)C1	-1.68	0.68	-0.17	-0.39	-1.58	1.87	-0.62	-0.5	-0.25	-0.03	-0.49	-0.44	-0.15	-0.41	-0.19	1.0	1.0
O=S(=O)(Nc1cccc(F)n1)c1cc(Cl)c(NCC23CCCN2CCC3)cc1F	0.12	-1.18	-0.17	3.64	0.69	-1.54	1.61	0.36	4.05	-0.03	-0.49	-0.44	-0.15	2.46	-0.19	0.0	0.0
CCOc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)C(=O)C1	0.51	-0.62	-0.17	-0.39	1.86	-0.4	-0.62	-0.5	-0.25	-0.03	2.06	1.05	-0.15	-0.41	-0.19	0.0	0.0
CCc1ccc2nc(N3CCC(N[C@H]4CCCC[C@@H]4O)CC3)c(-c3nc(C)no3)cc2c1	-1.32	-0.25	-0.17	-0.39	-1.58	0.17	-0.62	-0.5	-0.25	-0.03	-0.49	-0.44	-0.15	-0.41	-0.19	1.0	1.0
O=S(=O)(Nc1ncns1)c1ccc2c(-c3ccc(Cl)cc3F)cccc2c1	-0.38	0.26	-0.17	-0.39	-0.46	0.73	-0.62	-0.5	-0.25	-0.03	-0.49	-0.44	-0.15	-0.41	-0.19	1.0	0.0
C[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1	-1.03	2.05	-0.17	-0.39	2.99	0.73	-0.62	-0.5	-0.25	-0.03	2.06	1.05	-0.15	-0.41	-0.19	1.0	1.0
