SMILES	AATS7se	AATSC2dv	GATS2se	BELpe-1	HATS0u	HATS5v	HATS0s	R1m+	F02[N-O]	F03[C-N]	B03[O-O]	F04[N-N]	B07[N-F]	EState_VSA8	SaasC
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1	8.105661532710279	0.7320217858628965	0.48207285659651156	2.24	0.208	0.066	1.77	0.184	5	9	0	1	0	25.323629114359164	1.8259958160616112
NC(CC(O)/C(O)=N/C1OCC=C1CO)C(=O)O	7.99303675862069	-0.09561099981788365	0.8660669423737613	2.29	0.353	0.11	3.834	0.124	2	5	1	0	0	4.992404732635669	0.0
C=CCSSCC=C	6.919530249999999	-0.5231613379761527	1.26762157532833	2.31	0.613	0.094	0.981	0.35	0	0	0	0	0	13.157871367196995	0.0
CN1CCN2c3cc(O)ccc3Cc3ccccc3[C@@H]2C1	7.25725428	-0.21560403316290006	1.115771050506022	2.23	0.299	0.153	0.83	0.076	0	6	0	0	0	47.1793267866862	5.709228552532125
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12	7.689494685358255	1.0202060706566485	0.6035027189947834	2.21	0.144	0.089	0.38	0.205	6	16	1	1	0	43.26335489067658	3.3284329779401034
CC(C(O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1	7.424641962962964	-0.21254107085010882	0.856460445913683	2.24	0.231	0.12	1.054	0.059	0	2	0	0	0	4.899909730850478	1.9630384076848035
CCn1nnc(C2=CCCN(C)C2)n1	7.5308128	0.7727572995111639	1.0346235240163335	2.28	0.404	0.092	0.665	0.1	0	11	0	2	0	33.434350532618495	0.7762962962962965
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC1COP(=O)(O)O1	7.399984921875001	0.8532903960409789	0.5510782430991997	2.13	0.189	0.06	1.338	0.195	0	0	1	0	0	35.751564788737966	0.0
COc1cc2c(CCN3CCN(c4cccc(Cl)c4C)CC3)nn(Cc3c[nH]cn3)c2cc1OC	7.654990425287356	-0.017582874105085418	1.3329245113538344	2.23	0.196	0.078	0.507	0.108	0	13	1	3	0	32.75788077174761	6.622689694061267
CCCCCN(CCCCC)N=O	7.442054074074075	0.1508163265306122	0.5183331998187998	2.37	0.331	0.093	3.174	0.208	1	4	0	0	0	19.133359120343957	0.0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1	7.2122035698924725	-0.18560486034534487	0.8847128408427286	2.24	0.254	0.069	0.747	0.075	0	0	0	0	0	45.92300911926414	0.0
CC(=O)C[C@@H](c1ccccc1)c1c(O)oc2ccccc2c1=O	7.783527234042554	0.33588583362339036	0.5587324109001678	2.22	0.302	0.131	1.556	0.092	0	0	0	0	0	0.0	0.4948927626606203
CN(C)CCc1c[nH]c2cccc(O)c12	7.416349531914895	0.12360230820168386	1.0442450845928937	2.22	0.383	0.1	0.895	0.063	0	4	0	0	0	23.979232217152067	1.5410241874527593
CCOc1ccc2cc(C#N)c(=O)oc2c1	7.956472	0.9523047619047618	0.8836551066648605	2.22	0.636	0.105	3.618	0.144	0	2	0	0	0	0.0	0.6523310605106243
CC(C)[C@]12CC(=O)[C@H](C)[C@H]1C2	6.718464	0.022633744855967097	0.4894858197707379	2.33	0.403	0.148	1.708	0.109	0	0	0	0	0	20.771211599071872	0.0
CC[C@H]1C[C@@H]2C[C@H]3c4[nH]c5ccc(OC)cc5c4CCN(C2)[C@@H]13	7.249732099173554	0.25163463443629863	1.262279530257812	2.22	0.232	0.126	0.35	0.07	0	10	0	1	0	35.00672665687314	4.080728274334426
