idx_together;idx_separated;SMILES;Index;Binary_Characterization;ID;subset;COMPOUND_KEY;Characterization
1589;1589;CC(C)[C@@]12O[C@@H]1[C@@H]1O[C@@]13[C@@]1(C)CCC4=C(COC4=O)C1C[C@@H]1O[C@@]13C2=O;1590;0;O1CC=2[C@@H]3C[C@@H]4O[C@]45[C@]4(O[C@H]4[C@@H]4O[C@]4(C(C)C)C5=O)[C@@]3(CCC=2C1=O)C;training;;
1590;1590;CC(C)c1ccc2c(c1O)CC[C@H]1C3=C(CC[C@]21C)C(=O)OC3;1591;0;O1CC=2[C@@H]3CCc4c(ccc(C(C)C)c4O)[C@]3(CCC=2C1=O)C;training;;
1591;1591;O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O;1592;0;OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O;training;;
1592;1592;CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@@H](C)C[C@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O;1593;1;O1[C@H](C)[C@H](C)[C@H](OC(=O)C)[C@@H](C)C(=O)[C@]2(OC2)C[C@H](C)[C@H](O[C@H]2O[C@@H](C[C@H](N(C)C)[C@H]2OC(=O)C)C)[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](OC(=O)C)[C@@H](OC)C2)[C@@H](C)C1=O;training;;
1593;1593;CCN(Cc1ccncc1)C(=O)[C@@H](CO)c1ccccc1;1594;0;OC[C@H](C(=O)N(Cc1ccncc1)CC)c1ccccc1;training;;
1594;1594;C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O;1595;1;O1c2c(C(=O)C(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)=C1c1cc(OCCO)c(OCCO)cc1)c(O)cc(OCCO)c2;training;;
1595;1595;NCCc1c[nH]c2ccccc12;1596;0;[nH]1cc(c2c1cccc2)CCN;training;;
1596;1596;[NH3+][C@H](Cc1c[nH]c2ccccc12)C(=O)[O-];1597;0;O=C([O-])[C@H]([NH3+])Cc1c2c([nH]c1)cccc2;training;;
1597;1597;CCCCC[C@@H](C)N;1598;0;N[C@@H](CCCCC)C;training;;
1598;1598;C=C(C)[C@@H]1Cc2c(ccc(C(=O)O)c2O)O1;1599;0;O1c2c(C[C@H]1C(C)=C)c(O)c(cc2)C(O)=O;training;;
