SMILES	SLogP	GATS6s	PEOE_VSA6	GATS3se	VSA_EState5	EState_VSA3	ATSC3dv	ATSC8p	JGI10	JGI8	GATS1d	VSA_EState3	GATS4p	MCBO	AATSC0v	GATS8d	ATSC6se	GATS3d	GATS6Z	MINssCH2	observed	predicted
CCN1c2ncc(CCOc3ccc(C(=O)O)cc3C)cc2C(=O)N(C)c2ccc(OC)nc21	0.14	0.07	-1.47	-0.05	0.66	2.07	-0.25	-0.81	0.16	-0.31	-1.71	-0.08	0.25	-0.01	-0.48	-1.89	-0.22	0.71	0.9	0.03	0	0
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3cccs3)nn(CCC3CCC3)c1=O)N2	-0.62	0.35	-0.02	0.11	-0.19	-0.31	1.63	0.59	0.81	-0.06	1.04	1.08	-0.63	1.04	0.0	0.12	0.7	-1.72	-0.2	-0.04	0	0
Cc1cc(-c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCNCC2)on1	0.71	0.31	0.15	1.01	1.08	1.11	0.58	0.19	-0.07	-1.19	-0.03	0.55	-1.86	-0.02	0.13	0.85	0.91	-1.72	-1.82	1.41	1	1
COc1cccc(CN(CCN)C(=O)Nc2ccc(-c3cn[nH]c3)cc2)c1	-0.42	1.63	-0.08	0.07	0.45	-0.17	-0.57	-0.26	-0.64	-0.66	-0.88	-0.02	0.76	0.14	-0.2	0.04	-0.65	0.72	0.66	0.1	0	1
COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)C[C@@H]2c2ccc(OC)cc2)cc1	-1.06	-0.22	-0.08	0.65	0.9	-0.23	-2.2	0.25	0.55	0.06	0.68	-0.92	1.38	-0.34	0.11	-0.54	-0.56	0.42	-0.32	-0.26	1	1
CC(C)CCn1c(=O)c(C2=CS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c(O)c2cccn21	-0.89	-0.03	-0.68	0.47	-0.02	0.14	0.66	-1.1	1.39	0.67	0.9	0.51	-0.5	1.06	-0.02	-0.38	1.19	-1.55	-0.5	0.09	0	0
N[C@H](Cc1ccc(F)cc1)c1nc2ccc(-c3cn[nH]c3)cc2c(=O)[nH]1	-0.7	0.82	-0.43	-0.11	0.05	0.06	-0.69	0.85	0.7	-0.33	-0.42	-0.29	0.21	1.69	-1.12	0.72	-1.07	-0.44	1.02	0.23	0	0
CCC(CC)C(=O)N/C(=N\C1=NC(=O)C(=O)N1c1ccc(Cl)c(Cl)c1)NC(C)C	-0.39	-0.0	0.65	-0.51	-1.44	-0.28	2.64	-1.53	0.18	-0.13	-0.09	-0.38	-0.82	-1.05	-0.0	1.52	1.56	-1.43	-1.9	0.73	1	1
COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCOCC1	0.15	-0.4	-1.47	1.74	1.8	1.44	-0.57	-0.7	-0.47	-0.63	-0.69	-0.63	0.78	-0.86	-0.31	0.92	-0.03	0.23	0.06	0.52	1	0
COc1cc(NC(=O)C2COc3ccc(F)cc3C2)ccc1-c1cn[nH]c1	-0.18	-0.3	-1.47	0.73	0.2	0.45	-1.34	0.88	-0.3	-0.17	-0.74	-0.03	0.46	0.52	-0.78	0.59	0.11	0.67	0.25	-0.19	1	1
