SMILES;ATSC6dv;X3sol;VSA_EState3;X2sol;PEOE_VSA8;H-050;GATS1c;SLogP
O=Cc1cccc(O)c1;-1.511111111111112;2.6223483903396128;8.785277777777779;3.5460513299492566;5.563451491696996;1.0;1.2332110162905274;1.2046999999999999
OCc1ccccc1Cl;4.195601851851853;3.193535980431557;9.25898148148148;3.800859692317192;5.022633313741326;1.0;1.2634326463373284;1.8323
c1ccc2sncc2c1;4.192743764172337;3.8745747856526487;1.238425925925926;4.318822981019969;11.583067786077873;0.0;0.9006929620968218;2.2962999999999996
CCCCCCCN;-0.2431999999999993;1.4571067811865475;0.0;2.414213562373095;0.0;2.0;1.7879694430301283;1.9155
ClC1=C(Cl)C2(Cl)C3C4OC4(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl;9.078975005251008;15.544715248405357;-1.292145061728394;13.275227026225833;11.835812092322787;0.0;1.2394306894792588;5.0192000000000005
C=C(C)C(=O)OCCN(C)C;-12.680473372781066;2.579011548372667;0.0;4.546051329949257;12.117860935981842;0.0;1.6520409394883864;0.6673
CCOC(=O)C(C)(C)C(=O)OCC;-11.971462544589766;3.9836083860098923;0.0;5.20081261481676;0.0;0.0;1.6161676885996763;1.1388
CC1CCCCS1;2.666666666666667;2.469370635262656;0.9525462962962962;3.4127581316153677;5.249938029982174;0.0;1.1628230268833628;2.2920000000000007
CC(C)/C=C/C(=O)O;-66.92592592592591;1.3213672050459182;8.075555555555555;3.3650439694243297;6.076020106833881;1.0;1.7134015916784666;1.2832000000000001
CCCCCCCCCCCCCCCCCC(=O)OCCCC;-18.82352941176471;5.6009536313039;0.0;8.339376234204547;6.4208216229260096;0.0;1.6295529674391946;7.591200000000009
COCC(C)=O;18.36734693877551;0.8660254037844388;0.0;2.182521984712165;7.109797541277533;0.0;1.1201982310594116;0.2218
C1C2C3C2C2C1C32;0.0;3.855215384077675;0.0;3.8728125581958315;0.0;0.0;0.8735486143691469;1.1281
CC(CCCl)OCCCl;8.831443688586546;2.1530654926675505;0.0;3.5360753753054386;11.760006889940678;0.0;1.11862260581768;2.2592
Fc1cccnc1;0.0;1.5;0.0;2.1213203435596424;6.196843571613076;0.0;1.0460370598839075;1.2207000000000001
CC(C)=CCCC(C)CC=O;-5.950059453032105;2.259872253901791;0.0;4.218597360017604;6.4208216229260096;0.0;0.9365674793190695;2.9579000000000013
C=CCCCCCCCCCCCCCCC;-1.221245327087672e-15;3.707106781186548;0.0;5.5961940777125605;0.0;0.0;1.4775582737048896;6.653700000000006
FC(F)(Cl)C(F)(F)Cl;0.0;1.125;-9.316358024691358;1.5;0.0;0.0;1.9126569008227694;2.6495999999999995
CC(C)CC(C)(C)O;23.625;1.0206207261596576;9.188055555555556;4.158631167129105;0.0;1.0;1.496728087104452;1.8034
