SMILES	AATSC1c	GATS1se	N-079	GATS7d	SIC3	SLogP_VSA2	AATSC0c	JGI7	AATSC3c	ATSC3c	observed	predicted
CC(C)N(CC[C@](C([N-2])=O)(c1ccccc1)c1ccccn1)C(C)C	1.7953077633221632	-0.9769383670159303	-0.2836607454425078	1.7252906674856345	-1.2282263065354975	-0.48485715144372277	1.8088487203274595	-0.5924913018444286	-0.5444287163861351	-0.7394657754309105	1.0	1.0
NC(=O)N1C(=O)/C(=C(/O)c2cccs2)c2cc(Cl)ccc21	-0.9957477722312887	-0.17621893788423304	-0.2836607454425078	-0.37683460730780716	1.528088447682959	-0.9502980524046528	0.5604500495604421	-0.6940207044696836	-2.0838317717720316	-1.230138897281097	1.0	1.0
CC(O)(P(=O)(O)O)P(=O)(O)O	-4.177615166538819	3.160388378393827	-0.2836607454425078	0.14152024210905623	-2.2738642172535832	-0.6095869869933838	3.1810128665681114	-2.379938314813748	-0.4867150821244651	-0.39661883254795804	0.0	0.0
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1	0.33783460988655895	-1.058417115767144	1.8692515789416542	0.9114431165525944	-0.28084146866157006	-0.24724509658040722	-0.041552056520576384	0.9340461068124405	-0.6377565151712157	-0.7934486074870711	1.0	1.0
CC(C[N+](C)(C)C)OC(N)=O	-0.8727178138056687	0.46211777187984016	1.8692515789416542	-3.3380382862875284	-2.346507978953836	-0.2183521386640061	0.21736750012009826	-2.379938314813748	-0.1280247723241441	-0.28730714081572983	0.0	0.0
CCOC(=O)C1(c2ccccc2)CCN(C)CC1	0.8620140847079809	-0.5363954175633303	-0.2836607454425078	-1.342542515619083	-0.5775796441995122	-0.39930084323083526	-0.8663728923609834	0.5643040432425754	-0.08108872901640256	-0.26735674425250083	1.0	1.0
COCCOC[C@H](CC1(C(=O)NC2CCC(C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2	0.3423680918293583	-0.4010086214507497	-0.2836607454425078	0.6187615834504743	-0.06176487355544462	0.0912310803843462	-0.4611395063806939	-0.25604568512851417	-0.10161673907754186	-0.31481635741242525	1.0	1.0
O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O	-1.056180933744355	0.1693679211944647	-0.2836607454425078	0.6868847620809722	-1.2347617766465988	-0.5399016848270134	1.117081371143663	0.0850087756520171	-1.0610257158779812	-1.0741456840477006	0.0	0.0
CNCCCC12CCC(c3ccccc31)c1ccccc12	1.416106019860554	1.386484886107337	-0.2836607454425078	-0.7604702929161526	-1.0361998492362674	-1.0427823235420595	-1.6135830896117023	-0.42363110015838695	-0.01698488503653789	-0.20703240129507589	1.0	1.0
C=CC[C@@H]1/C=C(/C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC	0.6573480122171769	-0.14430328628469336	-0.2836607454425078	0.6983211137143104	-0.13742324416507523	1.970942758320044	-0.5359194057682255	-0.22512345631836192	0.3632458912993287	0.9449382711351451	0.0	1.0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	0.4409007590585518	0.38436318945417375	-0.2836607454425078	1.2318959207381317	-0.2296723783102646	2.5483325820726708	-0.3508709590620169	0.5313366438844879	0.3404179765030674	0.816651739670403	1.0	1.0
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O	0.44427375188895785	0.32812208283503924	-0.2836607454425078	0.1247281469475815	-0.7407255872690063	1.9046758041210967	-0.39404443754813556	0.0652773466023071	0.0415576057215936	0.0744692712734074	1.0	1.0
N=C(NCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1	-0.9488827054098404	1.3433764736103178	-0.2836607454425078	0.05299015354587138	-0.9679314630838067	-0.41766568507620844	0.00806114008861001	-1.1430473016768201	-3.510424519659783	-3.7699409170028155	0.0	0.0
COc1nc(C)nc(Cl)c1NC1=NCCN1	-0.6928328762475908	0.6187960568469215	-0.2836607454425078	-0.724754915752618	0.40252958100490754	-0.4391208007521669	0.4139458476737493	0.7240691324394335	-0.3971746028438184	-0.3902581271707167	1.0	1.0
