ID_all;SMILES;ID_Livertox;orig_ID_Livertox;yorig_Livertox;CAS_Livertox;NAME_Livertox;units_Livertox;smilessource_Livertox;SMILES_Livertox;desired_units_Livertox;y_Livertox;y_consensus;valid/outlier
711;CCOC(=O)/C=C(\C(=O)OCC)n1ccc(=O)n(Cc2cnnn2CCCCOC(C)=O)c1=O;711;;0;;693994;classBSEPsub;SMILES;CCOC(=O)/C=C(\C(=O)OCC)n1ccc(=O)n(Cc2cnnn2CCCCOC(C)=O)c1=O;classBSEPsub;0;0;valid
712;CN(C)CCCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23;712;;0;;645810;classBSEPsub;SMILES;CN(C)CCCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23;classBSEPsub;0;0;valid
713;COc1ccc2c(c1)CCCN2S(=O)(=O)c1ccccc1[N+](=O)[O-];713;;0;;665523;classBSEPsub;SMILES;COc1ccc2c(c1)CCCN2S(=O)(=O)c1ccccc1[N+](=O)[O-];classBSEPsub;0;0;valid
714;COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12;714;;0;;249992;classBSEPsub;SMILES;COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12;classBSEPsub;0;0;valid
715;CSCC(CO)NC(=O)/C=C/c1c(C)[nH]c(=O)[nH]c1=O;715;;0;;233872;classBSEPsub;SMILES;CSCC(CO)NC(=O)/C=C/c1c(C)[nH]c(=O)[nH]c1=O;classBSEPsub;0;0;valid
716;CSCSCC(CO)NC(=O)/C=C/c1c(C)[nH]c(=O)[nH]c1=O;716;;0;;251820;classBSEPsub;SMILES;CSCSCC(CO)NC(=O)/C=C/c1c(C)[nH]c(=O)[nH]c1=O;classBSEPsub;0;0;valid
717;CN(C)c1n/c(=N/Cc2ccco2)ss1;717;;0;;622608;classBSEPsub;SMILES;CN(C)c1n/c(=N/Cc2ccco2)ss1;classBSEPsub;0;0;valid
718;COc1ccc2nc3c([N+](=O)[O-])ccc4c3c(c2c1)N(CCCN(C)C)C(=S)N4CCCN(C)C;718;;0;;691845;classBSEPsub;SMILES;COc1ccc2nc3c([N+](=O)[O-])ccc4c3c(c2c1)N(CCCN(C)C)C(=S)N4CCCN(C)C;classBSEPsub;0;0;valid
719;COc1cc2cc(C(=O)N3CC(CCl)c4ccc(NO)cc43)[nH]c2c(OC)c1OC;719;;0;;688303;classBSEPsub;SMILES;COc1cc2cc(C(=O)N3CC(CCl)c4ccc(NO)cc43)[nH]c2c(OC)c1OC;classBSEPsub;0;0;valid
720;Cc1cc(Cl)ccc1Nc1nc2c(s1)C(=O)c1ccccc1C2=O;720;;0;;623761;classBSEPsub;SMILES;Cc1cc(Cl)ccc1Nc1nc2c(s1)C(=O)c1ccccc1C2=O;classBSEPsub;0;0;valid
