ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_avdeef;NAME_avdeef;CAS_avdeef;y_avdeef_nointraoutliers_nointeroutliers;pka_avdeef;ID_sander;NAME_sander;CAS_sander;y_sander_nointraoutliers_nointeroutliers;pka_sander;ID_liao;NAME_liao;CAS_liao;y_liao_nointraoutliers_nointeroutliers;pka_liao;ID_qtbx;NAME_qtbx;CAS_qtbx;y_qtbx_nointraoutliers_nointeroutliers;ID_settimo;NAME_settimo;CAS_settimo;y_settimo_nointraoutliers_nointeroutliers;pka_settimo;units
6397;Oc1c(Cl)cccc1Cl;6.8;;valid;;;;;;2816;;;6.8;a1/apparent;;;;;;;;;;;;;;;pKa
6398;Oc1c2c(nn1-c1ccccc1)CCCC2;11.4;;valid;;;;;;4981;;;11.4;b/apparent;;;;;;;;;;;;;;;pKa
6399;Oc1c2ccccc2[nH+]c2ccccc12;0.32;;valid;;;;;;7204;;;0.32;a/apparent;;;;;;;;;;;;;;;pKa
6400;Oc1cc(-c2ccccc2)n(-c2ccccc2)n1;12.9;;valid;;;;;;5537;;;12.9;b/apparent;;;;;;;;;;;;;;;pKa
6401;Oc1cc(-c2ccccc2)n[nH]1;11.4;;valid;;;;;;1087;;;11.4;b/apparent;;;;;;;;;;;;;;;pKa
6402;Oc1cc(-c2ccccc2)nn1-c1ccccc1;12.2;;valid;;;;;;5538;;;12.2;b/apparent;;;;;;;;;;;;;;;pKa
6403;Oc1cc(-c2ccccc2)no1;4.01;;valid;;;;;;1167;;;4.01;a/apparent;;;;;;;;;;;;;;;pKa
6404;Oc1cc(Br)cc(Br)c1;8.125000203450519;0.16263484739539025;valid;;;;;;2814;;;8.01;a/apparent;;;;;;[8945, 7522, 8946];;626-41-5;8.24000040690104;;;;;;pKa
6405;Oc1cc(Cl)c(Cl)c(Cl)c1;7.755000001192091;0.07778174761639153;valid;;;;;;1453;;;7.7;a1/apparent;;;;;;[9541, 9542, 9543, 9513, 9776, 9916, 9917, 9054];[nan, nan, nan, nan, nan, nan, nan, nan];609-19-8;7.810000002384182;;;;;;pKa
6406;Oc1cc(Cl)cc(Cl)c1;8.731111096276175;0.9349522785891111;valid;;;;;;2813;;;8.07;a1/apparent;;;;;;[1441, 4386, 4385, 6568, 9007, 8657, 8658, 8659, 699];[nan, nan, nan, nan, nan, nan, nan, nan, nan];591-35-5;9.39222219255235;;;;;;pKa
6407;Oc1cc(O)c2ccccc2[nH+]1;0.76;;valid;;;;;;1173;;;0.76;a1/apparent;;;;;;;;;;;;;;;pKa
6408;Oc1cc(O)cc(O)c1;8.8242857497079;0.008081170261882457;valid;;;;;;2846;;;8.83;a1/apparent;;;;;;[7947, 7948, 7949, 6674, 5337, 5338, 6909];[nan, nan, nan, nan, nan, nan, nan];108-73-6;8.8185714994158;;;;;;pKa
6409;Oc1cc2ccccc2cc1C1=[NH+]CCN1;7.01;;valid;;;;;;5000;;;7.01;a1/apparent;;;;;;;;;;;;;;;pKa
6410;Oc1cc2ccccc2n[nH+]1;0.21;;valid;;;;;;3874;;;0.21;a1/apparent;;;;;;;;;;;;;;;pKa
6411;Oc1cc[n+](O)cc1;2.4;;valid;;;;;;257;;;2.4;a1/apparent;;;;;;;;;;;;;;;pKa
6412;Oc1cc[n+](OCc2ccccc2)cc1;2.58;;valid;;;;;;7073;;;2.58;a/apparent;;;;;;;;;;;;;;;pKa
6413;Oc1cc[nH+]c(O)c1;1.37;;valid;;;;;;251;;;1.37;a1/apparent;;;;;;;;;;;;;;;pKa
6414;Oc1cc[nH+]c2ccccc12;2.27;;valid;;;;;;3975;;;2.27;a1/apparent;;;;;;;;;;;;;;;pKa
6415;Oc1cc[nH+]c2cccnc12;2.85;;valid;;;;;;3871;;;2.85;a1/apparent;;;;;;;;;;;;;;;pKa
