ID_all;SMILES;y_consensus;valid/outlier;ID_DeepPK;NAME_DeepPK;CAS_DeepPK;y_DeepPK_nonambiguous;ID_Metrabase;NAME_Metrabase;CAS_Metrabase;y_Metrabase_nonambiguous
57;CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C;0.0;valid;[1312, 315, 2309];;;0.0;;;;
58;CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C;0.0;valid;[1154, 157, 2151];;;0.0;;;;
59;CC(=O)C=CC1C(C)(O)CCC2C(C)(C)CCCC21C;0.0;valid;[1720, 723, 2717];;;0.0;;;;
60;CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O;;outlier;[2169, 1172, 175];;;;34.0;Warfarin;;
61;CC(=O)CC1CCCCN1;0.0;valid;[2361, 1364, 367];;;0.0;;;;
62;CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O;0.0;valid;[410, 2404, 1407];;;0.0;;;;
63;CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN;0.0;valid;[2856, 1859, 862];;;0.0;;;;
64;CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1;0.0;valid;[544, 2538, 1541];;;0.0;;;;
65;CC(=O)NC(CC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O;0.0;valid;[1394, 397, 2391];;;0.0;;;;
66;CC(=O)NC(CS)C(=O)O;0.0;valid;[1866, 869, 2863];;;0.0;;;;
67;CC(=O)NC(Cc1c[nH]c2ccccc12)C([NH])=O;0.0;valid;[1146, 149, 2143];;;0.0;;;;
68;CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO;0.0;valid;[2336, 1339, 342];;;0.0;;;;
69;CC(=O)NC1C(O)OC(CO)C(O)C1O;0.0;valid;[1865, 868, 2862];;;0.0;;;;
70;CC(=O)NCCc1c[nH]c2ccc(O)cc12;0.0;valid;[896, 2890, 1893];;;0.0;;;;
71;CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I;0.0;valid;[1552, 555, 2549];;;0.0;;;;
72;CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1;0.0;valid;[1632, 635, 2629];;;0.0;;;;
73;CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1;0.0;valid;[674, 2668, 1671];;;0.0;;;;
74;CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1;0.0;valid;[1688, 691, 2685];;;0.0;;;;
75;CC(=O)OC(C)(C)C1Cc2cc3ccc(=O)oc3cc2O1;0.0;valid;[200, 2194, 1197];;;0.0;;;;
76;CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C;1.0;valid;[2673, 1676, 679];;;1.0;;;;
77;CC(=O)OC1=C2C(C)C(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(O)C3(C)C1=O)C2(C)C;1.0;valid;[1833, 836, 2830];;;1.0;;;;
78;CC(=O)OC1C2CCC3C(C)(O)C4CC(O)C(C)(C)C4(O)C(O)CC13CC2(C)O;0.0;valid;[2721, 1724, 727];;;0.0;;;;
79;CC(=O)OC1C=C2CC(=O)C3C(CCC4(C)C(C(C)CCCC(C)C)CCC34)C2(C)CC1;0.0;valid;[1992, 995, 2989];;;0.0;;;;
80;CC(=O)OC1C=CC2(C)C(CC(OC(C)=O)C3(C)C4=CC(=O)OC(c5ccoc5)C4(C)CCC23)C1(C)C;1.0;valid;[1458, 461, 2455];;;1.0;;;;
81;CC(=O)OC1CC(=O)C2(C)C(CC(=O)C3(C)C2CCC2(C)C(c4ccoc4)OC(=O)C4OC423)C1(C)C;0.0;valid;[2577, 1580, 583];;;0.0;;;;
82;CC(=O)OC1CC(OC(C)=O)C2(C)C(CC(=O)C3(C)C2CCC2(C)C(C(=O)O)OC(=O)C4OC423)C1(C)C;0.0;valid;[1392, 395, 2389];;;0.0;;;;
83;CC(=O)OC1CC(OC(C)=O)C2(C)C(CC(=O)C3(C)C2CCC2(C)C(c4ccoc4)OC(=O)C4OC423)C1(C)C;0.0;valid;[594, 2588, 1591];;;0.0;;;;
84;CC(=O)OC1CC(OC(C)=O)C2(C)C(CC(O)C3(C)C2CCC2(C)C(c4ccoc4)OC(=O)C4OC423)C1(C)C;1.0;valid;[888, 2882, 1885];;;1.0;;;;
85;CC(=O)OC1CC(OC(C)=O)C2(C)C(CC(OC(C)=O)C3(C)C2CCC2(C)C(c4ccoc4)C(=O)C4OC423)C1(C)C;0.0;valid;[1224, 227, 2221];;;0.0;;;;
86;CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)/C1=C(\CCC=C(C)C)C(=O)O;0.0;valid;[2552, 1555, 558];;;0.0;;;;
87;CC(=O)OC1CC2(C)C(c3ccoc3)CC3OC32C2(C)C(=O)C(=O)C3C(C)(C)C(=O)C=CC3(C)C12;1.0;valid;[378, 2372, 1375];;;1.0;;;;
88;CC(=O)OC1CC2(C)C(c3ccoc3)OC(=O)C3OC32C2(C)C(OC(C)=O)CC3C(C)(C)C(OC(C)=O)CC(OC(C)=O)C3(C)C12;1.0;valid;[1562, 565, 2559];;;1.0;;;;
89;CC(=O)OC1CC2(O)C3CCC4CC(OC5CC(O)C(O)C(C)O5)CCC4(C)C3CCC2(C)C1C1=CC(=O)OC1;0.0;valid;[1296, 299, 2293];;;0.0;;;;
90;CC(=O)OC1CC2C(C)(C)C(=O)C3OC3C2(C)C2CCC3(C)C(c4ccoc4)OC(=O)C4OC43C12C;0.0;valid;[569, 2563, 1566];;;0.0;;;;
91;CC(=O)OC1CC2C(C)(C)C(=O)C=CC2(C)C2CCC3(C)C(=CC(=O)OC3c3ccoc3)C12C;1.0;valid;[2961, 1964, 967];;;1.0;;;;
92;CC(=O)OC1CC2C(C)(C)C(=O)CCC2(C)C2CCC3(C)C(=CC(=O)OC3c3ccoc3)C12C;1.0;valid;[1417, 420, 2414];;;1.0;;;;
93;CC(=O)OC1CC2C(C)(C)C(=O)CCC2(C)C2CCC3(C)C(c4ccoc4)OC(=O)C4OC43C12C;0.0;valid;[2416, 1419, 422];;;0.0;;;;
94;CC(=O)OC1CC2C(C)(C)C(O)C=CC2(C)C2CCC3(C)C(=CC(=O)OC3c3ccoc3)C12C;1.0;valid;[1338, 341, 2335];;;1.0;;;;
95;CC(=O)OC1CC2C(C)(C)C(O)CCC2(C)C2CCC3(C)C(=CC(=O)OC3c3ccoc3)C12C;1.0;valid;[1320, 323, 2317];;;1.0;;;;
96;CC(=O)OC1CC2C(C)(C)C(O)CCC2(C)C2CCC3(C)C(c4ccoc4)OC(=O)C4OC43C12C;1.0;valid;[1809, 812, 2806];;;1.0;;;;
97;CC(=O)OC1CC2C(C)(C)C=CC(=O)C2(C)C2CCC3(C)C(c4ccoc4)OC(=O)C4OC43C12C;1.0;valid;[2297, 1300, 303];;;1.0;;;;
98;CC(=O)OC1CCC2(C)C(CC(OC(C)=O)C3(C)C4=CC(=O)OC(c5ccoc5)C4(C)CCC23)C1(C)C;1.0;valid;[2688, 1691, 694];;;1.0;;;;
99;CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4CC(C)(C)CCC4(C(=O)O)CCC23C)C1(C)C;1.0;valid;[1080, 83, 2077];;;1.0;;;;
100;CC(=O)OC1CCC2(C)C(CCC3C2CC(=O)C2(C)C(C(C)=O)C=CC32)C1;0.0;valid;[2185, 1188, 191];;;0.0;;;;
101;CC(=O)OC1CCC2(C)C(CCC3C2CCC2(C)C3CC3OC4(CCC(C)CO4)C(C)C32)C1;0.0;valid;[1752, 755, 2749];;;0.0;;;;
