ID_all;SMILES;ID_DeepPK;orig_ID_DeepPK;yorig_DeepPK;CAS_DeepPK;NAME_DeepPK;units_DeepPK;smilessource_DeepPK;SMILES_DeepPK;desired_units_DeepPK;y_DeepPK;ID_Metrabase;orig_ID_Metrabase;yorig_Metrabase;CAS_Metrabase;NAME_Metrabase;units_Metrabase;smilessource_Metrabase;SMILES_Metrabase;desired_units_Metrabase;y_Metrabase;comparison_DeepPK_Metrabase;onlyequal_DeepPK_Metrabase;y_Metrabase_nonambiguous;y_DeepPK_nonambiguous;y_consensus;valid/outlier
41;C=CC(C)(O)CCC1C(=C)CC(O)C2C(C)(C)CCCC12C;[2456, 1459, 462];462.0;0.0;;;classOATP1b3sub;smiles_standarized;C=CC(C)(O)CCC1C(=C)CC(O)C2C(C)(C)CCCC12C;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
42;C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C;[1682, 685, 2679];685.0;0.0;;;classOATP1b3sub;smiles_standarized;C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
43;C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1;[1553, 556, 2550];556.0;0.0;;;classOATP1b3sub;smiles_standarized;C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
44;C=CC1=C(C)C(Cc2[nH]c(Cc3[nH]c(C=c4[nH]c(O)c(C)c4=CC)c(C)c3C=CC(=O)O)c(CCC(=O)O)c2C)=NC1=O;[714, 2708, 1711];714.0;1.0;;;classOATP1b3sub;smiles_standarized;C=CC1=C(C)C(Cc2[nH]c(Cc3[nH]c(C=c4[nH]c(O)c(C)c4=CC)c(C)c3C=CC(=O)O)c(CCC(=O)O)c2C)=NC1=O;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
45;C=CC1CN2CCC1CC2C(OC(=O)OCC)c1ccnc2ccc(OC)cc12;[1290, 293, 2287];293.0;0.0;;;classOATP1b3sub;smiles_standarized;C=CC1CN2CCC1CC2C(OC(=O)OCC)c1ccnc2ccc(OC)cc12;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
46;C=CC1C[N+]2(C)CCC1CC2C(O)c1ccnc2ccc(OC)cc12;[808, 2802, 1805];808.0;0.0;;;classOATP1b3sub;smiles_standarized;C=CC1C[N+]2(C)CCC1CC2C(O)c1ccnc2ccc(OC)cc12;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
47;C=CCC1=CC(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(/C(C)=C/C3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC;[2121, 1124, 127];127.0;1.0;;;classOATP1b3sub;smiles_standarized;C=CCC1=CC(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(/C(C)=C/C3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
48;C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1;[1074, 77, 2071];77.0;0.0;;;classOATP1b3sub;smiles_standarized;C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
49;C=CCSCC=C;[281, 2275, 1278];281.0;0.0;;;classOATP1b3sub;smiles_standarized;C=CCSCC=C;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
50;C=NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccccc1;[769, 2763, 1766];769.0;0.0;;;classOATP1b3sub;smiles_standarized;C=NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccccc1;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
