ID_all;SMILES;ID_avdeef;orig_ID_avdeef;yorig_avdeef;CAS_avdeef;NAME_avdeef;units_avdeef;smilessource_avdeef;pka_avdeef;SMILES_avdeef;desired_units_avdeef;y_avdeef;ID_sander;orig_ID_sander;yorig_sander;CAS_sander;NAME_sander;units_sander;smilessource_sander;pka_sander;SMILES_sander;desired_units_sander;y_sander;ID_liao;orig_ID_liao;yorig_liao;CAS_liao;NAME_liao;units_liao;smilessource_liao;pka_liao;SMILES_liao;desired_units_liao;y_liao;ID_qtbx;orig_ID_qtbx;yorig_qtbx;CAS_qtbx;NAME_qtbx;units_qtbx;smilessource_qtbx;SMILES_qtbx;desired_units_qtbx;y_qtbx;ID_settimo;orig_ID_settimo;yorig_settimo;CAS_settimo;NAME_settimo;units_settimo;smilessource_settimo;pka_settimo;SMILES_settimo;desired_units_settimo;y_settimo
1260;CCC(C)Nc1ccccc1;;;;;;;;;;;;4397;dmv@@@RfYWEZB``@@;5.47;;;pKa;Smiles;b/apparent;CCC(C)Nc1ccccc1;pKa;5.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1261;CCC(CC(C)(C)[N+](=O)[O-])[N+](=O)[O-];;;;;;;;;;;;3194;dkMB@hDDWXeNF]{HiiDXhfjjf`@;9.73;;;pKa;Smiles;a1/apparent;CCC(CC(C)(C)[N+](=O)[O-])[N+](=O)[O-];pKa;9.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1262;CCC(CC(C)C)OO;;;;;;;;;;;;2581;diDD@@aJyVjjh@@;12.8;;;pKa;Smiles;apparent;CCC(CC(C)C)OO;pKa;12.8;;;;;;;;;;;;522;5859;12.8000001907348;No CAS number;;pKa;SMILES;CCC(CC(C)C)OO;pKa;12.8000001907348;;;;;;;;;;;
1263;CCC(CC)C(=O)O;;;;;;;;;;;;354;daxD@@QInUjj@@;4.73;;;pKa;Smiles;apparent;CCC(CC)C(=O)O;pKa;4.73;;;;;;;;;;;;[15745, 16582, 16583, 16584, 16463, 16464, 16465];160;4.758571420397075;88-09-5;[nan, nan, nan, nan, nan, nan, nan];pKa;SMILES;CCC(CC)C(=O)O;pKa;4.758571420397075;;;;;;;;;;;
1264;CCC(CC)C(=O)O[C@H]1O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O;;;;;;;;;;;;5267;fbe@H@@HIrVkNrJZIQSIZFIBTuUUUMUULTThYPJaU@@;3.37;;;pKa;Smiles;a/apparent;CCC(CC)C(=O)O[C@H]1O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O;pKa;3.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1265;CCC(CC)C1(CC)C(=O)NC(=S)NC1=O;;;;;;;;;;;;4872;f`aPb@DXXH@Pdrl}rmNMTsUUP@@;7.46;;;pKa;Smiles;a1/apparent;CCC(CC)C1(CC)C(=O)NC(=S)NC1=O;pKa;7.46;;;;;;;;;;;;10317;3227;7.46000003814697;87171-21-9;;pKa;SMILES;CCC(CC)C1(CC)C(=O)NC(=S)NC1=O;pKa;7.46000003814697;;;;;;;;;;;
1266;CCC(CC)C1(CC)C(=O)[N-]C(=S)NC1=O;;;;;;;;;;;;4873;f`aPbDDXXH@QcdfUgnUiqjfZjj@@;12.36;;;pKa;Smiles;a2/apparent;CCC(CC)C1(CC)C(=O)[N-]C(=S)NC1=O;pKa;12.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1267;CCC(CO)NCl;;;;;;;;;;;;7745;gNyHIQDIKKUT@@;1.55;;;pKa;Smiles;a1/apparent;CCC(CO)NCl;pKa;1.55;;;;;;;;;;;;27659;5868;1.54999995231628;No CAS number;;pKa;SMILES;CCC(CO)NCl;pKa;1.54999995231628;;;;;;;;;;;
1268;CCC(N)(CC)CC;;;;;;;;;;;;424;daz@@@RZUjj`@;10.87;;;pKa;Smiles;a/apparent;CCC(N)(CC)CC;pKa;10.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1269;CCC(N)(CO)CO;;;;;;;;;;;;448;dazD@LAdekZjh@@;8.8;;;pKa;Smiles;b/thermodynamic;CCC(N)(CO)CO;pKa;8.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1270;CCC(N)C(=O)[O-];;;;;;;;;;;;7726;gNxaBDnR[mjh@;9.67;;;pKa;Smiles;a2/apparent;CCC(N)C(=O)[O-];pKa;9.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
