ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_Potts;NAME_Potts;CAS_Potts;y_Potts_nointraoutliers_nointeroutliers;ID_Khajeh;NAME_Khajeh;CAS_Khajeh;y_Khajeh_nointraoutliers_nointeroutliers;units
63;CCCC(C)=O;-2.6;0.0;valid;204;;107-87-9;-2.6;32;2-Pentanone ;;-2.6;logcm/h
64;CCCCC(=O)O;-2.686605;0.018943390667987673;valid;105;;109-52-4;-2.67321;188;pentanoic acid;;-2.7;logcm/h
65;CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C;-2.94185;;valid;146;;2152-44-5;-2.94185;;;;;logcm/h
66;CCCCC(C)(O)c1ccccc1;-1.01;;valid;207;;4396-98-9;-1.01;;;;;logcm/h
67;CCCCC(C)=O;-2.35;0.0;valid;206;;591-78-6;-2.35;28;2-Hexanone ;;-2.35;logcm/h
68;CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC;-1.25784;;valid;23;;117-81-7;-1.25784;;;;;logcm/h
69;CCCCC1(CC)C(=O)NC(=O)NC1=O;-3.7094300000000002;0.014948237354283883;valid;74;;77-28-1;-3.69886;85;Butobarbital ;;-3.72;logcm/h
70;CCCCCC(=O)O;-1.85662;0.00936209378290983;valid;118;;142-62-1;-1.86324;262;Hexanoic acid ;;-1.85;logcm/h
71;CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C;-1.74618;;valid;129;;3593-96-2;-1.74618;;;;;logcm/h
72;CCCCCC(C)=O;-2.0;0.0;valid;208;;110-43-0;-2.0;27;2-Heptanone ;;-2.0;logcm/h
73;CCCCCCC(=O)O;-1.70041;0.0005798275605729994;valid;137;;111-14-8;-1.70082;132;Heptanoic acid ;;-1.7;logcm/h
74;CCCCCCCC(=O)O;-1.575215;0.035659394975237575;valid;119;;124-07-2;-1.60043;178;Octanoic acid ;;-1.55;logcm/h
75;CCCCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C;-1.2094;;valid;159;;6678-14-4;-1.2094;;;;;logcm/h
76;CCCCCCCCCCCCOS(=O)(=O)O;-2.54;;valid;209;;8012-56-4;-2.54;;;;;logcm/h
77;CCCCCCCCCO;-1.183275;0.01877368504050289;valid;67;;143-08-8;-1.19655;[13, 174];['1-nonanol', 'Nonanol '];;-1.17;logcm/h
78;CCCCCCCCN1CCCC1=O;-1.27185;;valid;148;;2687-94-7;-1.27185;;;;;logcm/h
79;CCCCCCCCO;-1.18023;0.06580335705722022;valid;55;;111-87-5;-1.22676;229;1-octanol ;;-1.1337;logcm/h
80;CCCCCCCCOC(=O)c1ccc(O)cc1;-1.93432;;valid;99;;1219-38-1;-1.93432;;;;;logcm/h
81;CCCCCCCO;-1.4797150000000001;0.0074741186771419416;valid;71;;111-70-6;-1.47443;[10, 133];['1-heptanol ', 'Heptanol '];;-1.485;logcm/h
82;CCCCCCN1CCCC1=O;-1.65185;;valid;149;;4838-65-7;-1.65185;;;;;logcm/h
83;CCCCCCO;-1.84650875;0.06673497024143339;valid;50;;111-27-3;-1.79932;11;1-hexanol;;-1.8936975;logcm/h
84;CCCCCCOC(=O)c1cccnc1;-1.71807;0.04515583904657294;valid;70;;23597-82-2;-1.68614;170;N-Hexyl nicotinate ;;-1.75;logcm/h
85;CCCCCO;-2.18251;0.05301886645336737;valid;14;;71-41-0;-2.14502;276;pentanol ;;-2.22;logcm/h
86;CCCCOC(=O)c1ccc(N)cc1;-1.0158;;valid;56;;94-25-7;-1.0158;;;;;logcm/h
87;CCCCOC(=O)c1ccc(O)cc1;-0.9158;;valid;79;;94-26-8;-0.9158;;;;;logcm/h
88;CCCCOC(=O)c1cccnc1;-1.75091;0.04113947252943342;valid;65;;6938-06-03 00:00:00;-1.72182;87;Butyl nicotinate ;;-1.78;logcm/h
89;CCCCOCCO;-2.72774;0.17290175013573464;valid;48;;111-76-2;-2.60548;21;2-Butoxyethanol ;;-2.85;logcm/h
90;CCCCOCCOCCOC(C)=O;-3.49;;valid;211;;124-17-4;-3.49;;;;;logcm/h
91;CCCCc1ccc(O)cc1;-1.01185;;valid;98;;1638-22-8;-1.01185;;;;;logcm/h
92;CCCO;-2.876075;0.047977195103507224;valid;104;;71-23-8;-2.84215;175;n-propanol ;;-2.91;logcm/h
93;CCCOC(=O)c1ccc(N)cc1;-1.0937;;valid;212;;94-12-2;-1.0937;;;;;logcm/h
94;CCCOC(=O)c1ccc(O)cc1;-1.85801;;valid;123;;94-13-3;-1.85801;;;;;logcm/h
95;CCCOCCO;-2.88185;;valid;[213, 214];;2807-30-9;-2.88185;;;;;logcm/h
96;CCCOc1ccc(O)cc1;-1.72185;;valid;86;;18979-50-5;-1.72185;;;;;logcm/h
97;CCC[C@@](C)(O)[C@H]1C[C@@]23C=C[C@]1(OC)[C@@H]1Oc4c(O)ccc5c4[C@@]12CCN(C)[C@@H]3C5;-2.41139;;valid;64;;14521-96-1;-2.41139;;;;;logcm/h
98;CCN;-3.09;0.0;valid;215;;75-04-7;-3.09;121;Ethylamine ;;-3.09;logcm/h
99;CCN(C)C;-2.60875875;0.13426366784474877;valid;40;;598-56-1;-2.51382;110;Dimethylethylamine ;;-2.7036975;logcm/h
100;CCN(CC)C(=O)N1CCN(C)CC1;-3.866905;0.032661262223006755;valid;27;;90-89-1;-3.84381;108;diethylcarbamazine;;-3.89;logcm/h
101;CCN(CC)CC;-2.31;0.0;valid;216;;121-44-8;-2.31;220;Triethylamine ;;-2.31;logcm/h
102;CCN(CC)CC(=O)Nc1c(C)cccc1C;-2.33623;0.0901843988725321;valid;26;;137-58-6;-2.27246;267;Lidocaine ;;-2.4;logcm/h
103;CCNCC;-2.75;0.0;valid;217;;109-89-7;-2.75;107;Diethylamine ;;-2.75;logcm/h
104;CCO;-3.0223649999999997;0.06882270301288661;valid;6;;64-17-5;-3.07103;114;ethanol ;;-2.9737;logcm/h
105;CCOC(=O)C1(c2ccccc2)CCN(C)CC1;-2.430535;0.0007566042558695383;valid;153;;57-42-1;-2.43107;152;Meperidine ;;-2.43;logcm/h
106;CCOC(=O)c1ccc(N)cc1;-1.44913;;valid;22;;94-09-7;-1.44913;;;;;logcm/h
107;CCOC(=O)c1ccc(O)cc1;-1.8537;;valid;219;;120-47-8;-1.8537;;;;;logcm/h
108;CCOC(=O)c1ccccc1C(=O)OCC;;;outlier;218;;84-66-2;;106;Diethyl phthalate ;;;logcm/h
