ID_all;SMILES;ID_ChEMBL;orig_ID_ChEMBL;yorig_ChEMBL;CAS_ChEMBL;NAME_ChEMBL;units_ChEMBL;smilessource_ChEMBL;SMILES_ChEMBL;desired_units_ChEMBL;y_ChEMBL;ID_CtoxPred;orig_ID_CtoxPred;yorig_CtoxPred;CAS_CtoxPred;NAME_CtoxPred;units_CtoxPred;smilessource_CtoxPred;SMILES_CtoxPred;desired_units_CtoxPred;y_CtoxPred;comparison_ChEMBL_CtoxPred;onlyequal_ChEMBL_CtoxPred;y_CtoxPred_nonambiguous;y_ChEMBL_nonambiguous;y_consensus;valid/outlier
32;CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC;192;303;0.0;;CHEMBL1093;classCavinh;SMILES;CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC;classCavinh;0.0;496.0;QTGIAADRBBLJGA-UHFFFAOYSA-N;0.0;;;classCavinh;SMILES;CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
33;CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1;193;304;0.0;;CHEMBL1078261;classCavinh;SMILES;CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1;classCavinh;0.0;108.0;QPCVHQBVMYCJOM-UHFFFAOYSA-N;0.0;;CHEMBL1078261;classCavinh;SMILES;CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
34;CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12;[121, 159];[196, 253];0.0;;CHEMBL1520;classCavinh;SMILES;CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12;classCavinh;0.0;147.0;SECKRCOLJRRGGV-UHFFFAOYSA-N;0.0;;CHEMBL1520;classCavinh;SMILES;CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
35;CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12;206;336;0.0;;CHEMBL192;classCavinh;SMILES;CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12;classCavinh;0.0;484.0;BNRNXUUZRGQAQC-UHFFFAOYSA-N;0.0;;;classCavinh;SMILES;CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
36;CCN(CC)CC(=O)N1C[C@@H](c2ccc(Cl)cc2)Sc2ccccc21;103;169;0.0;;CHEMBL3638035;classCavinh;SMILES;CCN(CC)CC(=O)N1C[C@@H](c2ccc(Cl)cc2)Sc2ccccc21;classCavinh;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
37;CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C;[81, 27];[42, 135];0.0;;CHEMBL535;classCavinh;SMILES;CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C;classCavinh;0.0;161.0;WINHZLLDWRZWRT-ATVHPVEESA-N;0.0;;CHEMBL535;classCavinh;SMILES;CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
38;CCNC(=N)NC(=O)Nc1c(CC)cc(C(=O)NCc2ccccc2)cc1CC;215;354;0.0;;CHEMBL5076143;classCavinh;SMILES;CCNC(=N)NC(=O)Nc1c(CC)cc(C(=O)NCc2ccccc2)cc1CC;classCavinh;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
39;CCNC(=N)NC(=O)Nc1c(CC)cccc1CC;214;350;1.0;;CHEMBL5082711;classCavinh;SMILES;CCNC(=N)NC(=O)Nc1c(CC)cccc1CC;classCavinh;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
40;CCNCCc1c(C(=O)NCc2ccccc2OCC(F)(F)F)nn(-c2ccccc2)c1-c1ccccc1;164;260;1.0;;CHEMBL4209001;classCavinh;SMILES;CCNCCc1c(C(=O)NCc2ccccc2OCC(F)(F)F)nn(-c2ccccc2)c1-c1ccccc1;classCavinh;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
41;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccc2ccccc2c1;13;21;1.0;;CHEMBL3392230;classCavinh;SMILES;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccc2ccccc2c1;classCavinh;1.0;127.0;DRAFQLUUZHHPFJ-RUZDIDTESA-N;1.0;;CHEMBL3392230;classCavinh;SMILES;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccc2ccccc2c1;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
42;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1cccc2ccccc12;11;19;1.0;;CHEMBL3392229;classCavinh;SMILES;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1cccc2ccccc12;classCavinh;1.0;316.0;PFMILRPAGKLHTO-RUZDIDTESA-N;1.0;;;classCavinh;SMILES;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1cccc2ccccc12;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
