ID_all;SMILES;ID_chEMBL;orig_ID_chEMBL;yorig_chEMBL;CAS_chEMBL;NAME_chEMBL;units_chEMBL;smilessource_chEMBL;SMILES_chEMBL;desired_units_chEMBL;y_chEMBL;ID_CtoxPred;orig_ID_CtoxPred;yorig_CtoxPred;CAS_CtoxPred;NAME_CtoxPred;units_CtoxPred;smilessource_CtoxPred;SMILES_CtoxPred;desired_units_CtoxPred;y_CtoxPred;comparison_chEMBL_CtoxPred;onlyequal_chEMBL_CtoxPred;y_chEMBL_nonambiguous;y_CtoxPred_nonambiguous;y_consensus;valid/outlier
42;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1cccc2ccccc12;11;;1.0;;;classCavinh;SMILES;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1cccc2ccccc12;classCavinh;1.0;316.0;;1.0;;;classCavinh;SMILES;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1cccc2ccccc12;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
43;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccccc1;55;;1.0;;;classCavinh;SMILES;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccccc1;classCavinh;1.0;141.0;;1.0;;;classCavinh;SMILES;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccccc1;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
44;CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl;[165, 143];;1.0;;;classCavinh;SMILES;CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl;classCavinh;1.0;138.0;;1.0;;;classCavinh;SMILES;CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
45;CCOC(=O)N1CC/C(=C\C#Cc2cccc(C)n2)C1;175;;0.0;;;classCavinh;SMILES;CCOC(=O)N1CC/C(=C\C#Cc2cccc(C)n2)C1;classCavinh;0.0;461.0;;0.0;;;classCavinh;SMILES;CCOC(=O)N1CC/C(=C\C#Cc2cccc(C)n2)C1;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
46;CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C23CCC(C(=O)O)(CC2)CC3)n2ccnc(N)c12;51;;0.0;;;classCavinh;SMILES;CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C23CCC(C(=O)O)(CC2)CC3)n2ccnc(N)c12;classCavinh;0.0;447.0;;0.0;;;classCavinh;SMILES;CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C23CCC(C(=O)O)(CC2)CC3)n2ccnc(N)c12;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
47;CCOc1ccc(Oc2ccc(OCc3cc(F)ccc3F)cc2)c(N)c1;104;;1.0;;;classCavinh;SMILES;CCOc1ccc(Oc2ccc(OCc3cc(F)ccc3F)cc2)c(N)c1;classCavinh;1.0;;;;;;;;;;;1;1.0;1.0;;1.0;valid
48;CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1;96;;0.0;;;classCavinh;SMILES;CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1;classCavinh;0.0;376.0;;0.0;;;classCavinh;SMILES;CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
49;CCc1cc(CC(=O)Nc2ccn(Cc3ccc(C#N)cn3)n2)ccc1OCC(F)(F)F;142;;1.0;;;classCavinh;SMILES;CCc1cc(CC(=O)Nc2ccn(Cc3ccc(C#N)cn3)n2)ccc1OCC(F)(F)F;classCavinh;1.0;204.0;;1.0;;;classCavinh;SMILES;CCc1cc(CC(=O)Nc2ccn(Cc3ccc(C#N)cn3)n2)ccc1OCC(F)(F)F;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
50;CN(C)c1ccc(CC(=O)Nc2ccn(Cc3ccc(F)c(F)c3)n2)cc1;155;;1.0;;;classCavinh;SMILES;CN(C)c1ccc(CC(=O)Nc2ccn(Cc3ccc(F)c(F)c3)n2)cc1;classCavinh;1.0;;;;;;;;;;;1;1.0;1.0;;1.0;valid
51;CN(CCCc1nc2ccccc2[nH]1)CC[C@@]1(OC(=O)C2CC2)C[C@@H]2CC[C@H]1c1ccccc12;71;;1.0;;;classCavinh;SMILES;CN(CCCc1nc2ccccc2[nH]1)CC[C@@]1(OC(=O)C2CC2)C[C@@H]2CC[C@H]1c1ccccc12;classCavinh;1.0;390.0;;1.0;;;classCavinh;SMILES;CN(CCCc1nc2ccccc2[nH]1)CC[C@@]1(OC(=O)C2CC2)C[C@@H]2CC[C@H]1c1ccccc12;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
