ID_all;SMILES;ID_ChEMBL;orig_ID_ChEMBL;y_original_ChEMBL;CAS_ChEMBL;NAME_ChEMBL;orig_UNITS_ChEMBL;smilessource_ChEMBL;yorig_ChEMBL;units_ChEMBL;SMILES_ChEMBL;desired_units_ChEMBL;y_ChEMBL;zscore_ChEMBL;zscore_ChEMBL_thres;y_ChEMBL_nointraoutliers;zscore_ChEMBL_nointraoutliers;zscore_ChEMBL_nointraoutliers_thres;y_consensus;valid/outlier
1822;CCCCCCCCCCCCCCCC(=O)NC(CCCN)C(=O)NC(CCCN)C(=O)NC(CCCN)C(=O)NC(CCCN)C(N)=O;[11297, 6835];CHEMBL3355087;2.25;;;ug.mL-1;Smiles;3159.9437108693646;nM;CCCCCCCCCCCCCCCC(=O)NC(CCCN)C(=O)NC(CCCN)C(=O)NC(CCCN)C(=O)NC(CCCN)C(N)=O;nM;3159.9437108693646;-0.16918759563139552;0;3159.9437108693646;-0.3491919518048699;0;3159.9437108693646;valid
1823;CCCCCCCCCCCCCCCC(=O)NCC(NC(=O)CCCCCCCCCCCCCCC)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O;15190;CHEMBL4471144;512.0;;;ug.mL-1;Smiles;530856.0053085604;nM;CCCCCCCCCCCCCCCC(=O)NCC(NC(=O)CCCCCCCCCCCCCCC)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O;nM;530856.0053085604;1.0579583198292777;0;530856.0053085604;3.4610859004675465;1;530856.0053085604;valid
1824;CCCCCCCCCCCCCCCC(=O)NCCC(=O)N[C@@H](CS(=O)(=O)O)C(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2ccc(O)c(c2)-c2cc1cc(O)c2O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O;4686;CHEMBL4799440;8.0;;;ug.mL-1;Smiles;7720.4576687306;nM;CCCCCCCCCCCCCCCC(=O)NCCC(=O)N[C@@H](CS(=O)(=O)O)C(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2ccc(O)c(c2)-c2cc1cc(O)c2O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O;nM;7720.4576687306;-0.15858221787123813;0;7720.4576687306;-0.31626234214281074;0;7720.4576687306;valid
1825;CCCCCCCCCCCCCCCC(=O)NCCC(=O)N[C@@H](CS(=O)(=O)O)C(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2O;9596;CHEMBL4744171;4.0;;;ug.mL-1;Smiles;4576.308223511469;nM;CCCCCCCCCCCCCCCC(=O)NCCC(=O)N[C@@H](CS(=O)(=O)O)C(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2O;nM;4576.308223511469;-0.16589387022205695;0;4576.308223511469;-0.3389649618271065;0;4576.308223511469;valid
1826;CCCCCCCCCCCCCCCC(=O)NCCC(NC(=O)CCCCCCCCCCCCCCC)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O;13033;CHEMBL4460902;256.0;;;ug.mL-1;Smiles;261623.0645258544;nM;CCCCCCCCCCCCCCCC(=O)NCCC(NC(=O)CCCCCCCCCCCCCCC)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O;nM;261623.0645258544;0.4318628689959781;0;261623.0645258544;1.5170647374886705;0;261623.0645258544;valid
1827;CCCCCCCCCCCCCCCC(=O)NCCCCN;2055;CHEMBL3335326;16.0;;;ug.mL-1;Smiles;48994.240114646505;nM;CCCCCCCCCCCCCCCC(=O)NCCCCN;nM;48994.240114646505;-0.06260091872951311;0;48994.240114646505;-0.018241207292878987;0;48994.240114646505;valid
1828;CCCCCCCCCCCCCCCC(=O)NCCCC[C@H](N)C(=O)OC;1937;CHEMBL565188;148.0;;;nM;Smiles;148.0;nM;CCCCCCCCCCCCCCCC(=O)NCCCC[C@H](N)C(=O)OC;nM;148.0;-0.17619180637194992;0;148.0;-0.3709399678485564;0;148.0;valid
1829;CCCCCCCCCCCCCCCC(=O)NCCCN;13822;CHEMBL3335322;4.0;;;ug.mL-1;Smiles;12798.279911179934;nM;CCCCCCCCCCCCCCCC(=O)NCCCN;nM;12798.279911179934;-0.14677385074909033;0;12798.279911179934;-0.27959746052591605;0;12798.279911179934;valid
1830;CCCCCCCCCCCCCCCC(=O)NCCN(C(=O)CCC(C)C)[C@@H](CCCCN)C(=O)NCCN(C(=O)CCC(C)C)[C@@H](CCCCN)C(N)=O;11588;CHEMBL2151183;10.0;;;ug.mL-1;Smiles;12590.90634380226;nM;CCCCCCCCCCCCCCCC(=O)NCCN(C(=O)CCC(C)C)[C@@H](CCCCN)C(=O)NCCN(C(=O)CCC(C)C)[C@@H](CCCCN)C(N)=O;nM;12590.90634380226;-0.14725609354887842;0;12590.90634380226;-0.2810948204048841;0;12590.90634380226;valid
1831;CCCCCCCCCCCCCCCC(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(N)=O;9277;CHEMBL2151187;10.0;;;ug.mL-1;Smiles;6126.677637504088;nM;CCCCCCCCCCCCCCCC(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(N)=O;nM;6126.677637504088;-0.16228851927803822;0;6126.677637504088;-0.3277703771582516;0;6126.677637504088;valid
1832;CCCCCCCCCCCCCCCC(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(N)=O;3824;CHEMBL2151185;8.0;;;ug.mL-1;Smiles;7397.119931354732;nM;CCCCCCCCCCCCCCCC(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)NCCN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(N)=O;nM;7397.119931354732;-0.15933413287044007;0;7397.119931354732;-0.3185970319561041;0;7397.119931354732;valid
1833;CCCCCCCCCCCCCCCC(=O)NCCN(C(=O)CCc1ccccc1)[C@@H](CCCCN)C(=O)NCCN(C(=O)CCc1ccccc1)[C@@H](CCCCN)C(=O)NCCN(C(=O)CCc1ccccc1)[C@@H](CCCCN)C(N)=O;4582;CHEMBL2151186;20.0;;;ug.mL-1;Smiles;17157.602876986854;nM;CCCCCCCCCCCCCCCC(=O)NCCN(C(=O)CCc1ccccc1)[C@@H](CCCCN)C(=O)NCCN(C(=O)CCc1ccccc1)[C@@H](CCCCN)C(=O)NCCN(C(=O)CCc1ccccc1)[C@@H](CCCCN)C(N)=O;nM;17157.602876986854;-0.13663633834191552;0;17157.602876986854;-0.24812056889017736;0;17157.602876986854;valid
1834;CCCCCCCCCCCCCCCC(=O)NCCN(C(=O)CCc1ccccc1)[C@@H](CCCCN)C(=O)NCCN(C(=O)CCc1ccccc1)[C@@H](CCCCN)C(N)=O;7151;CHEMBL2151184;15.0;;;ug.mL-1;Smiles;17396.185364473287;nM;CCCCCCCCCCCCCCCC(=O)NCCN(C(=O)CCc1ccccc1)[C@@H](CCCCN)C(=O)NCCN(C(=O)CCc1ccccc1)[C@@H](CCCCN)C(N)=O;nM;17396.185364473287;-0.13608151986528524;0;17396.185364473287;-0.24639786213876202;0;17396.185364473287;valid
1835;CCCCCCCCCCCCCCCC(=O)NCCN(C(C)=O)[C@@H](C)C(=O)NCCN(C(C)=O)[C@@H](C)C(=O)NCCN(C(=O)CCCN)[C@@H](CCCCN)C(=O)NCCN(C(=O)CCCN)[C@@H](CCCCN)C(=O)NCCN(C(=O)CCCN)[C@@H](CCCCN)C(N)=O;2792;CHEMBL2151189;10.0;;;ug.mL-1;Smiles;7480.181259752288;nM;CCCCCCCCCCCCCCCC(=O)NCCN(C(C)=O)[C@@H](C)C(=O)NCCN(C(C)=O)[C@@H](C)C(=O)NCCN(C(=O)CCCN)[C@@H](CCCCN)C(=O)NCCN(C(=O)CCCN)[C@@H](CCCCN)C(=O)NCCN(C(=O)CCCN)[C@@H](CCCCN)C(N)=O;nM;7480.181259752288;-0.15914097552610215;0;7480.181259752288;-0.3179972800098506;0;7480.181259752288;valid
