ID_all;SMILES;ID_ChEMBL;orig_ID_ChEMBL;yorig_ChEMBL;CAS_ChEMBL;NAME_ChEMBL;units_ChEMBL;smilessource_ChEMBL;SMILES_ChEMBL;desired_units_ChEMBL;y_ChEMBL;zscore_ChEMBL;zscore_ChEMBL_thres;y_ChEMBL_nointraoutliers;zscore_ChEMBL_nointraoutliers;zscore_ChEMBL_nointraoutliers_thres;y_consensus;valid/outlier
61;N=C(N)c1ccc(OCCN(CCOc2ccc(C(=N)N)cc2)S(=O)(=O)c2ccccc2)cc1;28;;1330.0;;;nM;Smiles;N=C(N)c1ccc(OCCN(CCOc2ccc(C(=N)N)cc2)S(=O)(=O)c2ccccc2)cc1;nM;1330.0;-0.507962624762851;0;1330.0;-0.5069798230233911;0;1330.0;valid
62;N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2)cc1;29;;2130.0;;;nM;Smiles;N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2)cc1;nM;2130.0;-0.4375050995441179;0;2130.0;-0.4202561368054305;0;2130.0;valid
63;N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2N)c(N)c1;19;;11.0;;;nM;Smiles;N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2N)c(N)c1;nM;11.0;-0.6241294694672372;0;11.0;-0.6499655006752537;0;11.0;valid
64;N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1;30;;14.0;;;nM;Smiles;N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1;nM;14.0;-0.623865253747667;0;14.0;-0.6496402868519363;0;14.0;valid
65;N=C(N)c1ccc(OCCSCCOc2ccc(C(=N)N)cc2)cc1;31;;1180.0;;;nM;Smiles;N=C(N)c1ccc(OCCSCCOc2ccc(C(=N)N)cc2)cc1;nM;1180.0;-0.5211734107413635;0;1180.0;-0.5232405141892588;0;1180.0;valid
66;N=C(N)c1ccc(OCc2ccc(COc3ccc(C(=N)N)cc3)cc2)cc1;110;;1300.0;;;nM;Smiles;N=C(N)c1ccc(OCc2ccc(COc3ccc(C(=N)N)cc3)cc2)cc1;nM;1300.0;-0.5106047819585535;0;1300.0;-0.5102319612565647;0;1300.0;valid
67;N=C(N)c1ccc(OCc2cccc(COc3ccc(C(=N)N)cc3)c2)cc1;111;;2600.0;;;nM;Smiles;N=C(N)c1ccc(OCc2cccc(COc3ccc(C(=N)N)cc3)c2)cc1;nM;2600.0;-0.3961113034781122;0;2600.0;-0.3693059711523786;0;2600.0;valid
68;N=C(N)c1ccc(OCc2ccccc2COc2ccc(C(=N)N)cc2)cc1;112;;1400.0;;;nM;Smiles;N=C(N)c1ccc(OCc2ccccc2COc2ccc(C(=N)N)cc2)cc1;nM;1400.0;-0.5017975913062118;0;1400.0;-0.49939150047931957;0;1400.0;valid
69;N=C(N)c1cccc(NC(=O)CCCCC(=O)Nc2cccc(C(=N)N)c2)c1;119;;33700.0;;;nM;Smiles;N=C(N)c1cccc(NC(=O)CCCCC(=O)Nc2cccc(C(=N)N)c2)c1;nM;33700.0;2.342924989400138;0;33700.0;3.0020773305708404;1;33700.0;valid
70;N=C(NC1CC1)c1ccc(N2CCCN(c3ccc(C(=N)NC4CC4)cc3)CC2)cc1;120;;1400.0;;;nM;Smiles;N=C(NC1CC1)c1ccc(N2CCCN(c3ccc(C(=N)NC4CC4)cc3)CC2)cc1;nM;1400.0;-0.5017975913062118;0;1400.0;-0.49939150047931957;0;1400.0;valid
71;N=C(NC1CC1)c1ccc(N2CCN(c3ccc(C(=N)NC4CC4)cc3)CC2)cc1;121;;5400.0;;;nM;Smiles;N=C(NC1CC1)c1ccc(N2CCN(c3ccc(C(=N)NC4CC4)cc3)CC2)cc1;nM;5400.0;-0.14950996521254628;0;5400.0;-0.06577306938951646;0;5400.0;valid
72;c1cc(C2=NCCN2)ccc1SCCOCCSc1ccc(C2=NCCN2)cc1;17;;10.0;;;nM;Smiles;c1cc(C2=NCCN2)ccc1SCCOCCSc1ccc(C2=NCCN2)cc1;nM;10.0;-0.6242175413737606;0;10.0;-0.6500739052830261;0;10.0;valid
73;c1cc(N2CCCN(c3ccc(C4=NCCCN4)cc3)CC2)ccc1C1=NCCCN1;0;;4500.0;;;nM;Smiles;c1cc(N2CCCN(c3ccc(C4=NCCCN4)cc3)CC2)ccc1C1=NCCCN1;nM;4500.0;-0.22877468108362103;0;4500.0;-0.16333721638472218;0;4500.0;valid
