ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_DeepPK;NAME_DeepPK;CAS_DeepPK;y_DeepPK_nointraoutliers_nointeroutliers;ID_DSSTOX;NAME_DSSTOX;CAS_DSSTOX;y_DSSTOX_nointraoutliers_nointeroutliers;units
1538;Cc1cc(O)c2ccccc2c1O;-0.7772835288524167;;valid;;;;;706.0;10209.0;;-0.7772835288524167;logmg/kg/day
1539;O=[N+]([O-])c1cc(Cl)cc(-c2cc(Cl)cc([N+](=O)[O-])c2O)c1O;0.3010299956639812;;valid;;;;;708.0;5284586.0;;0.3010299956639812;logmg/kg/day
1540;C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO;-0.09691001300805639;;valid;;;;;719.0;5284587.0;;-0.09691001300805639;logmg/kg/day
1541;S=c1nc[nH]c2nc[nH]c12;0.3979400086720376;;valid;;;;;722.0;667490.0;;0.3979400086720376;logmg/kg/day
1542;CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21;0.6989700043360189;;valid;;;;;724.0;4078.0;;0.6989700043360189;logmg/kg/day
1543;C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C;;;outlier;;;;;725.0;6291.0;;;logmg/kg/day
1544;C[C@H](N)[C@H](O)c1cccc(O)c1;0.9206450014067876;;valid;;;;;727.0;5906.0;;0.9206450014067876;logmg/kg/day
1545;CN(C)C(=N)N=C(N)N;1.6989700043360187;;valid;;;;;729.0;4091.0;;1.6989700043360187;logmg/kg/day
1546;C=C1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12;1.1760912590556813;;valid;;;;;731.0;54675785.0;;1.1760912590556813;logmg/kg/day
1547;C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O;-1.175874166083451;;valid;;;;;735.0;6300.0;;-1.175874166083451;logmg/kg/day
1548;CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1;-1.8761483590329142;;valid;;;;;742.0;8226.0;;-1.8761483590329142;logmg/kg/day
1549;COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12;2.3010299956639813;;valid;;;;;743.0;6087.0;;2.3010299956639813;logmg/kg/day
1550;CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1;-0.3010299956639812;;valid;;;;;747.0;126941.0;;-0.3010299956639812;logmg/kg/day
1551;COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2;0.5224442335063199;;valid;;;;;748.0;72287.0;;0.5224442335063199;logmg/kg/day
1552;CO[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)O[C@@H]1C;-2.175874166083451;;valid;;;;;753.0;443946.0;;-2.175874166083451;logmg/kg/day
1553;C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O;1.5224442335063197;;valid;;;;;754.0;38853.0;;1.5224442335063197;logmg/kg/day
1554;CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1;0.8129133566428556;;valid;;;;;755.0;6099.0;;0.8129133566428556;logmg/kg/day
1555;C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12;0.6201360549737575;;valid;;;;;759.0;6741.0;;0.6201360549737575;logmg/kg/day
1556;CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C;0.6201360549737575;;valid;;;;;760.0;63019.0;;0.6201360549737575;logmg/kg/day
1557;CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C;0.6201360549737575;;valid;;;;;761.0;5877.0;;0.6201360549737575;logmg/kg/day
