ID_all;SMILES;y_consensus;valid/outlier;NAME_DeepPK;CAS_DeepPK
45;CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C;0.0;valid;;
46;CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C;0.0;valid;;
47;CC(=O)OCC(COC(C)=O)OC(C)=O;0.0;valid;;
48;CC(=O)OC[C@H]1O[C@@H](S)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O;1.0;valid;;
49;CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O;0.0;valid;;
50;CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)C(=O)C3C(C)[C@@H](OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C;0.0;valid;;
51;CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1;0.0;valid;;
52;CC(=O)O[C@]1(C(C)=O)CC[C@H]2C3=CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C;1.0;valid;;
53;CC(=O)O[C@]1(C(C)=O)CC[C@H]2C3=CC(Cl)=C4CC(=O)C5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C;0.0;valid;;
54;CC(=O)O[C@]1(C(C)=O)CC[C@H]2C3=CC(Cl)=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C;1.0;valid;;
55;CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C;0.0;valid;;
56;CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1;0.0;valid;;
57;CC(=O)Oc1ccccc1C(=O)O;0.0;valid;;
58;CC(=O)S[C@@H]1C=C2CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]34CCC(=O)O4)[C@H]12;1.0;valid;;
59;CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C;1.0;valid;;
60;CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1;0.0;valid;;
61;CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1;0.0;valid;;
62;CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1;0.0;valid;;
63;CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;0.0;valid;;
64;CC(C)(C(=O)c1cccnc1)c1cccnc1;0.0;valid;;
65;CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1;1.0;valid;;
66;CC(C)(C)NC(=O)C1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C;1.0;valid;;
67;CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1C[C@@H](O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2C[C@H]1O;0.0;valid;;
68;CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2;0.0;valid;;
69;CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1;0.0;valid;;
70;CC(C)(C)NCC(O)c1cc(O)cc(O)c1;1.0;valid;;
71;CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O;0.0;valid;;
72;CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1;0.0;valid;;
73;CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1;0.0;valid;;
74;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;0.0;valid;;
75;CC(C)(C)c1ccc(S(=O)(=O)/C=C\C#N)cc1;0.0;valid;;
76;CC(C)(CO)C(O)C(=O)NCCC(=O)O;0.0;valid;;
77;CC(C)(O)C(Cl)(Cl)Cl;0.0;valid;;
