ID_all;SMILES;ID_chEMBL;orig_ID_chEMBL;yorig_chEMBL;CAS_chEMBL;NAME_chEMBL;units_chEMBL;smilessource_chEMBL;SMILES_chEMBL;desired_units_chEMBL;y_chEMBL;ID_CtoxPred;orig_ID_CtoxPred;yorig_CtoxPred;CAS_CtoxPred;NAME_CtoxPred;units_CtoxPred;smilessource_CtoxPred;SMILES_CtoxPred;desired_units_CtoxPred;y_CtoxPred;comparison_chEMBL_CtoxPred;onlyequal_chEMBL_CtoxPred;y_chEMBL_nonambiguous;y_CtoxPred_nonambiguous;y_consensus;valid/outlier
1597;Cc1cc(C#N)ccc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21;;;;;;;;;;;1628;;1.0;;;classNavinh;SMILES;Cc1cc(C#N)ccc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21;classNavinh;1.0;1;1.0;;1.0;1.0;valid
1598;Cc1cc(C(=O)N2CCOc3ccc(-c4ccc(OC(F)(F)F)cc4)cc3C2)nn1C;;;;;;;;;;;1848;;1.0;;;classNavinh;SMILES;Cc1cc(C(=O)N2CCOc3ccc(-c4ccc(OC(F)(F)F)cc4)cc3C2)nn1C;classNavinh;1.0;1;1.0;;1.0;1.0;valid
1599;Cc1cc(C(F)(F)F)ccc1-c1ccc2c(c1)C(=O)N(Cc1ncccn1)CCO2;;;;;;;;;;;1972;;1.0;;;classNavinh;SMILES;Cc1cc(C(F)(F)F)ccc1-c1ccc2c(c1)C(=O)N(Cc1ncccn1)CCO2;classNavinh;1.0;1;1.0;;1.0;1.0;valid
1600;Cc1cc(C)cc(NC(=O)c2cncc(-c3ccc(C#N)cc3)c2)c1;;;;;;;;;;;1356;;0.0;;;classNavinh;SMILES;Cc1cc(C)cc(NC(=O)c2cncc(-c3ccc(C#N)cc3)c2)c1;classNavinh;0.0;0;0.0;;0.0;0.0;valid
1601;Cc1cc(Cl)ccc1-c1ccnc2cc(S(=O)(=O)Nc3ncns3)ccc12;;;;;;;;;;;1529;;0.0;;;classNavinh;SMILES;Cc1cc(Cl)ccc1-c1ccnc2cc(S(=O)(=O)Nc3ncns3)ccc12;classNavinh;0.0;0;0.0;;0.0;0.0;valid
1602;Cc1cc(Cl)ccc1-c1ncnc2cc(S(=O)(=O)Nc3ncns3)ccc12;;;;;;;;;;;36;;0.0;;;classNavinh;SMILES;Cc1cc(Cl)ccc1-c1ncnc2cc(S(=O)(=O)Nc3ncns3)ccc12;classNavinh;0.0;0;0.0;;0.0;0.0;valid
1603;Cc1cc(F)cnc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21;;;;;;;;;;;10;;1.0;;;classNavinh;SMILES;Cc1cc(F)cnc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21;classNavinh;1.0;1;1.0;;1.0;1.0;valid
1604;Cc1cc(N2CCOc3cc(S(=O)(=O)Nc4nccs4)ccc32)c(C)cn1;;;;;;;;;;;1634;;1.0;;;classNavinh;SMILES;Cc1cc(N2CCOc3cc(S(=O)(=O)Nc4nccs4)ccc32)c(C)cn1;classNavinh;1.0;1;1.0;;1.0;1.0;valid
1605;Cc1cc(N2CCOc3cc(S(=O)(=O)Nc4nccs4)ccc32)ccc1F;;;;;;;;;;;1627;;1.0;;;classNavinh;SMILES;Cc1cc(N2CCOc3cc(S(=O)(=O)Nc4nccs4)ccc32)ccc1F;classNavinh;1.0;1;1.0;;1.0;1.0;valid
1606;Cc1cc(OC(F)(F)F)ccc1-c1ccc2c(c1)C(=O)N(Cc1ncccn1)CCO2;;;;;;;;;;;1851;;1.0;;;classNavinh;SMILES;Cc1cc(OC(F)(F)F)ccc1-c1ccc2c(c1)C(=O)N(Cc1ncccn1)CCO2;classNavinh;1.0;1;1.0;;1.0;1.0;valid
1607;Cc1cc(Oc2cncnc2)cc(C(=O)Nc2ccc(F)cn2)n1;;;;;;;;;;;393;;0.0;;;classNavinh;SMILES;Cc1cc(Oc2cncnc2)cc(C(=O)Nc2ccc(F)cn2)n1;classNavinh;0.0;0;0.0;;0.0;0.0;valid
1608;Cc1cc(S(=O)(=O)Nc2ccncn2)c(F)cc1O[C@H]1CCCC[C@@H]1c1ccnn1C;;;;;;;;;;;1769;;0.0;;;classNavinh;SMILES;Cc1cc(S(=O)(=O)Nc2ccncn2)c(F)cc1O[C@H]1CCCC[C@@H]1c1ccnn1C;classNavinh;0.0;0;0.0;;0.0;0.0;valid
1609;Cc1cc(S(=O)(=O)Nc2ccncn2)c(F)cc1O[C@H]1CCC[C@@H]1c1ccnn1C;;;;;;;;;;;941;;0.0;;;classNavinh;SMILES;Cc1cc(S(=O)(=O)Nc2ccncn2)c(F)cc1O[C@H]1CCC[C@@H]1c1ccnn1C;classNavinh;0.0;0;0.0;;0.0;0.0;valid
1610;Cc1cc2c(cc1CN(C)C)CCN(C(=O)c1cc3cc(Cl)ccc3n1C)C2;;;;;;;;;;;260;;0.0;;;classNavinh;SMILES;Cc1cc2c(cc1CN(C)C)CCN(C(=O)c1cc3cc(Cl)ccc3n1C)C2;classNavinh;0.0;0;0.0;;0.0;0.0;valid
1611;Cc1cc2nnc(C(F)(F)F)n2cc1-c1ccc(OC(F)(F)F)cc1;;;;;;;;;;;1978;;1.0;;;classNavinh;SMILES;Cc1cc2nnc(C(F)(F)F)n2cc1-c1ccc(OC(F)(F)F)cc1;classNavinh;1.0;1;1.0;;1.0;1.0;valid
