ID_all;SMILES;y_consensus;valid/outlier;ID_Bocci;NAME_Bocci;CAS_Bocci;y_Bocci_nonambiguous;ID_Metrabase;NAME_Metrabase;CAS_Metrabase;y_Metrabase_nonambiguous;ID_Sedykh;NAME_Sedykh;CAS_Sedykh;y_Sedykh_nonambiguous;ID_Livertox;NAME_Livertox;CAS_Livertox;y_Livertox_nonambiguous
51;COc1cc2c(=O)n(CCN(CCO)CCO)c3c4cc5c(cc4ncc3c2cc1OC)OCO5;1.0;valid;51.0;Benzo[c][1,3]benzodioxolo[5,6-h][1,6]naphthyridin-13(12H)-one, 12-[2-[bis(2-hydroxyethyl)amino]ethyl]-2,3-dimethoxy-;;1.0;7.0;Benzo[c][1,3]benzodioxolo[5,6-h][1,6]naphthyridin-13(12H)-one, 12-[2-[bis(2-hydroxyethyl)amino]ethyl]-2,3-dimethoxy-;;1.0;;;;;1385.0;mol_0422;;1.0
52;CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1;1.0;valid;52.0;Bicalutamide;;1.0;175.0;Bicalutamide;;1.0;17.0;Bicalutamide;90357065.0;1.0;1502.0;mol_0241;;1.0
53;COC1=CC(=O)c2c(c(O)c3oc4cc(OC)cc(C)c4c(=O)c3c2O)C1=O;1.0;valid;53.0;Bikaverin;;1.0;392.0;Bikaverin;;1.0;;;;;11.0;215139;;1.0
54;COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1;0.0;valid;54.0;Biochanin A;;0.0;57.0;Biochanin A;;0.0;;;;;1362.0;mol_0045;;0.0
55;COc1ccc(-c2coc3cc(OS(=O)(=O)O)cc(O)c3c2=O)cc1;1.0;valid;55.0;Biochanin A sulfate;;1.0;;;;;;;;;;;;
56;C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12;;outlier;56.0;Bisantrene;;;;;;;18.0;Bisantrene;78186342.0;;1063.0;337766;;
57;CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21;0.0;valid;57.0;Bisindolylmaleimide I;;0.0;103.0;Bisindolylmaleimide I;;0.0;;;;;1416.0;mol_0068;;0.0
58;CN1CCCC1CCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21;0.0;valid;58.0;Bisindolylmaleimide II;;0.0;237.0;Bisindolylmaleimide II;;0.0;;;;;1414.0;mol_0111;;0.0
59;NCCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21;0.0;valid;59.0;Bisindolylmaleimide III;;0.0;165.0;Bisindolylmaleimide III;;0.0;;;;;1417.0;mol_0112;;0.0
60;O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12;0.0;valid;60.0;Bisindolylmaleimide IV;;0.0;326.0;Bisindolylmaleimide IV;;0.0;;;;;1413.0;mol_0113;;0.0
61;Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21;0.0;valid;61.0;Bisindolylmaleimide IX;;0.0;220.0;Bisindolylmaleimide IX;;0.0;;;;;1519.0;mol_0072;;0.0
62;CN1C(=O)C(c2c[nH]c3ccccc23)=C(c2c[nH]c3ccccc23)C1=O;0.0;valid;62.0;Bisindolylmaleimide V;;0.0;252.0;Bisindolylmaleimide V;;0.0;;;;;1402.0;mol_0114;;0.0
63;O=C1NC(=O)C(c2cn(CCC3CCCCN3)c3ccccc23)=C1c1c[nH]c2ccccc12;0.0;valid;63.0;Bisindolylmaleimide VI;;0.0;350.0;Bisindolylmaleimide VI;;0.0;;;;;1415.0;mol_0115;;0.0
64;O=C1NC(=O)C(c2cn(CCCN3CCNCC3)c3ccccc23)=C1c1c[nH]c2ccccc12;0.0;valid;64.0;Bisindolylmaleimide VII;;0.0;266.0;Bisindolylmaleimide VII;;0.0;;;;;1419.0;mol_0116;;0.0
65;Cn1cc(C2=C(c3cn(CCCN)c4ccccc34)C(=O)NC2=O)c2ccccc21;0.0;valid;65.0;Bisindolylmaleimide VIII;;0.0;258.0;Bisindolylmaleimide VIII;;0.0;;;;;1418.0;mol_0117;;0.0
66;Cn1cc(C2=C(c3c4n(c5ccccc35)CCC(CN)C4)C(=O)NC2=O)c2ccccc21;0.0;valid;66.0;Bisindolylmaleimide X;;0.0;28.0;Bisindolylmaleimide X;;0.0;;;;;1421.0;mol_0118;;0.0
67;CN(C)CC1CCn2c(c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)C1;0.0;valid;67.0;Bisindolylmaleimide XI;;0.0;208.0;Bisindolylmaleimide XI;;0.0;;;;;1420.0;mol_0119;;0.0
68;CC(C)NC[C@@H](O)COc1ccc(COCCOC(C)C)cc1;0.0;valid;68.0;Bisoprolol;;0.0;;;;;;;;;;;;
69;Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12;1.0;valid;69.0;BMS 536924;;1.0;88.0;BMS 536924;;1.0;;;;;;;;
70;COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl;0.0;valid;71.0;Bosutinib;;0.0;316.0;bosutinib;;0.0;;;;;1207.0;mol_0168;;0.0
71;CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1;1.0;valid;72.0;Budesonide;;1.0;;;;;;;;;;;;
72;CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5;0.0;valid;73.0;Buprenorphine;;0.0;23.0;buprenorphine;;0.0;;;;;;;;
73;CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1;1.0;valid;74.0;Bupropion;;1.0;142.0;Bupropion;;1.0;;;;;1213.0;mol_0265;;1.0
74;CCCC(=O)O;1.0;valid;75.0;Butyrate;;1.0;;;;;;;;;;;;
75;CN(C)CCNc1ccc2ncn3c4ccccc4c(=O)c1c23;0.0;valid;76.0;C 1176;;0.0;312.0;C 1176;;0.0;;;;;1441.0;mol_0140;;0.0
76;CN(C)CCCNc1ccc2ncn3c4ccccc4c(=O)c1c23;0.0;valid;77.0;C 1212;;0.0;374.0;C 1212;;0.0;;;;;1440.0;mol_0135;;0.0
77;Cc1nc2ccc(NCCN(C)C)c3c(=O)c4ccccc4n1c23;0.0;valid;78.0;C 1213;;0.0;346.0;C 1213;;0.0;;;;;252.0;645834;;0.0
78;CN(C)CCCCCNc1ccc2ncn3c4ccccc4c(=O)c1c23;0.0;valid;79.0;C 1266;;0.0;250.0;C 1266;;0.0;;;;;1439.0;mol_0142;;0.0
79;Cc1nc2ccc(NCCN(C)C)c3c(=O)c4cc(O)ccc4n1c23;1.0;valid;80.0;C 1309;;1.0;317.0;C 1309;;1.0;;;;;1485.0;mol_0411;;1.0
80;CCCCN(CCCC)CNc1ccc2nc(C)n3c4ccc(O)cc4c(=O)c1c23;0.0;valid;81.0;C 1315;;0.0;408.0;C 1315;;0.0;;;;;1487.0;mol_0130;;0.0
81;CCN(CC)CCNc1ccc2ncn3c4ccc(OC)cc4c(=O)c1c23;0.0;valid;82.0;C 1330;;0.0;309.0;C 1330;;0.0;;;;;831.0;645812;;0.0
82;CCN(CC)CCCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23;1.0;valid;83.0;C 1335;;1.0;204.0;C 1335;;1.0;;;;;1484.0;mol_0416;;1.0
83;CN(C)CCCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23;1.0;valid;84.0;C 1371;;1.0;59.0;C 1371;;1.0;;;;;;;;
