SMILES	AATS7se	AATSC2dv	GATS2se	BELpe-1	HATS0u	HATS5v	HATS0s	R1m+	F02[N-O]	F03[C-N]	B03[O-O]	F04[N-N]	B07[N-F]	EState_VSA8	SaasC	observed	predicted
C=CCSSCC=C	-1.48	-1.46	1.39	1.21	1.28	-0.41	-0.36	2.27	-0.49	-0.83	-0.57	-0.31	-0.16	-0.38	-0.66	1	1
CN1CCN2c3cc(O)ccc3Cc3ccccc3[C@@H]2C1	-0.76	-0.9	0.9	-0.28	-0.11	0.6	-0.38	-0.46	-0.49	0.63	-0.57	-0.31	-0.16	1.11	1.91	0	1
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12	0.16	1.36	-0.76	-0.66	-0.81	-0.43	-0.52	1.51	4.73	3.07	1.76	1.13	-0.16	0.94	0.84	0	0
CC(C(O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1	-0.4	-0.89	0.06	-0.1	-0.41	0.05	-0.32	-0.72	-0.49	-0.34	-0.57	-0.31	-0.16	-0.74	0.22	0	1
CCn1nnc(C2=CCCN(C)C2)n1	-0.18	0.91	0.64	0.65	0.38	-0.31	-0.44	-0.12	-0.49	1.85	-0.57	2.57	-0.16	0.51	-0.31	1	1
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC1COP(=O)(O)O1	-0.45	1.06	-0.93	-2.15	-0.6	-0.9	-0.27	0.73	-0.49	-0.83	1.76	-0.31	-0.16	0.61	-0.66	0	0
COc1cc2c(CCN3CCN(c4cccc(Cl)c4C)CC3)nn(Cc3c[nH]cn3)c2cc1OC	0.09	-0.53	1.6	-0.28	-0.54	-0.65	-0.48	-0.27	-0.49	2.34	1.76	4.01	-0.16	0.48	2.32	1	1
CCCCCN(CCCCC)N=O	-0.36	-0.23	-1.03	2.33	0.05	-0.39	0.33	1.08	0.38	0.14	-0.57	-0.31	-0.16	-0.12	-0.66	1	0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1	-0.86	-0.84	0.15	-0.1	-0.31	-0.75	-0.43	-0.55	-0.49	-0.83	-0.57	-0.31	-0.16	1.05	-0.66	1	0
CC(=O)C[C@@H](c1ccccc1)c1c(O)oc2ccccc2c1=O	0.36	0.11	-0.9	-0.47	-0.09	0.21	-0.18	-0.32	-0.49	-0.83	-0.57	-0.31	-0.16	-0.96	-0.44	1	1
CN(C)CCc1c[nH]c2cccc(O)c12	-0.42	-0.28	0.67	-0.47	0.18	0.18	-0.39	-0.62	-0.49	0.14	-0.57	-0.31	-0.16	0.09	0.03	0	1
CCOc1ccc2cc(C#N)c(=O)oc2c1	0.73	1.24	0.15	-0.47	0.99	0.39	0.54	0.29	-0.49	-0.34	-0.57	-0.31	-0.16	-0.96	-0.37	1	1
CC(C)[C@]12CC(=O)[C@H](C)[C@H]1C2	-1.91	-0.46	-1.13	1.58	0.38	0.5	-0.13	-0.1	-0.49	-0.83	-0.57	-0.31	-0.16	-0.05	-0.66	0	0
CC[C@H]1C[C@@H]2C[C@H]3c4[nH]c5ccc(OC)cc5c4CCN(C2)[C@@H]13	-0.78	-0.04	1.37	-0.47	-0.41	0.14	-0.54	-0.62	-0.49	1.61	-0.57	1.13	-0.16	0.58	1.17	1	1
CNC(=O)CSP(=S)(OC)OC	2.16	-1.23	0.97	-3.27	0.78	0.24	-0.09	1.6	0.38	-0.83	-0.57	-0.31	-0.16	-0.72	-0.66	1	1
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1	-0.64	-0.55	1.88	-0.47	-0.5	-0.65	-0.51	-0.19	-0.49	-0.83	-0.57	-0.31	-0.16	2.45	1.34	0	1
Clc1ccc(Cl)c(Cl)c1	1.19	-2.1	-0.39	-0.1	0.68	0.29	0.91	1.37	-0.49	-0.83	-0.57	-0.31	-0.16	-0.96	0.07	0	0
CCCCCCCS	-1.33	-0.85	1.07	2.14	0.72	-0.59	-0.43	0.34	-0.49	-0.83	-0.57	-0.31	-0.16	-0.1	-0.66	0	0
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	1.68	-0.26	-0.29	-0.1	0.21	1.35	0.95	1.15	0.38	-0.1	-0.57	-0.31	-0.16	-0.72	-0.59	1	1
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)SCF	0.61	-0.27	-0.48	0.09	-0.56	1.01	0.05	-0.15	-0.49	-0.83	1.76	-0.31	-0.16	-0.96	-0.66	1	0
COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	-0.38	-0.09	1.81	-0.1	-0.66	-0.44	-0.53	-0.73	-0.49	0.39	1.76	-0.31	-0.16	0.41	1.57	0	0
O=C1Nc2c(O)cc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1	2.38	3.12	-1.28	-0.66	0.26	3.14	1.55	1.2	1.25	-0.1	-0.57	-0.31	-0.16	-0.23	-1.4	1	1
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	0.95	1.03	-0.92	-0.28	-0.54	-0.08	0.8	-0.13	1.25	-0.1	-0.57	1.13	-0.16	-0.29	-2.01	1	1
CN1[C@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2	-0.98	-0.9	2.3	-0.1	-0.27	-0.77	-0.52	-0.68	-0.49	-0.59	-0.57	-0.31	-0.16	2.22	0.47	1	1
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1	-0.24	-0.07	-1.61	-0.1	0.31	2.19	0.53	0.35	2.12	0.63	-0.57	-0.31	-0.16	-0.49	0.0	1	1
CCC1O[C@@]2(C)OCCC1O2	-1.91	1.34	0.45	2.14	0.62	0.47	-0.42	-0.34	-0.49	-0.83	-0.57	-0.31	-0.16	-0.65	-0.66	0	0
CN(C)c1cn(C)n(-c2ccccc2)c1=O	-1.15	0.57	0.78	0.09	0.31	0.21	-0.42	-0.67	0.38	0.14	-0.57	-0.31	-0.16	-0.96	0.04	1	1
COc1cc(O)c2c(=O)c3cc(OC)ccc3oc2c1	0.91	-0.15	0.98	-0.84	1.36	-0.47	-0.15	-0.45	-0.49	-0.83	-0.57	-0.31	-0.16	-0.96	-0.3	0	1
CCC(C)C(N)C(=O)NC(CCC(=O)O)C(=O)[O-]	0.5	1.12	-1.43	1.77	0.0	0.58	0.81	0.1	0.38	0.14	-0.57	-0.31	-0.16	-0.72	-0.66	0	0
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C=O)CC21	0.06	0.31	-0.37	-0.28	-0.45	-0.23	-0.26	-0.12	-0.49	-0.83	-0.57	-0.31	-0.16	0.22	0.76	1	1
COC(OC)[C@]1(C)Oc2ccc(N)cc2[C@@H](N(Cc2nnn(C)n2)c2ccc(Cl)cc2)[C@@H]1O	0.51	-0.28	1.1	-0.1	-0.54	-0.49	-0.41	0.35	-0.49	1.61	1.76	2.57	-0.16	-0.28	1.0	1	1
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	-0.38	1.09	0.78	-0.47	-0.5	-0.3	-0.49	2.74	-0.49	-0.83	-0.57	-0.31	-0.16	2.15	1.55	1	1
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1	0.19	-1.48	0.97	-0.1	0.02	-0.31	-0.12	1.04	0.38	-0.34	-0.57	-0.31	-0.16	-0.51	-0.09	1	1
C=C1C[C@]23CC1C(O)CC2[C@@]12CCC[C@@](C)(C(=O)OC1)C2C3C(=O)O	-0.14	-0.13	-1.13	0.84	-0.45	1.51	-0.16	-0.56	-0.49	-0.83	-0.57	-0.31	-0.16	-0.67	-0.66	0	0
CC(=O)Nc1ccc(C(=O)O)cc1N	-0.22	0.08	-1.33	-0.1	1.95	-0.13	0.17	-0.28	0.38	0.14	-0.57	-0.31	-0.16	-0.72	-0.33	0	0
COc1ccc2[nH]c3c(c2c1)CCNC3	-0.01	-0.44	1.59	-0.47	0.7	-0.08	-0.45	-0.48	-0.49	0.14	-0.57	-0.31	-0.16	0.03	1.0	0	1
CC(C)(O)/C=C/C[C@](C)(O)C1C(=O)C[C@]2(COC3OC(COC4OCC(O)C(O)C4O)C(O)C(O)C3O)C1CCC1[C@@]3(C)CCC(OC4OCC(O)C(O)C4O)C(C)(C)C3CC[C@]12C	0.15	-0.71	0.36	0.65	-1.06	-1.27	-0.48	-1.01	-0.49	-0.83	1.76	-0.31	-0.16	0.26	-0.66	0	0
CCC1(c2ccccc2)NC(=O)N(C)C1=O	-0.96	1.47	-1.32	-0.1	0.33	1.48	0.45	0.37	2.12	0.63	-0.57	-0.31	-0.16	-0.72	-0.29	1	1
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2	0.37	0.11	-0.41	-0.28	0.14	1.4	-0.16	1.48	-0.49	1.85	-0.57	1.13	-0.16	-0.51	1.9	0	1
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12	-1.16	0.42	0.27	-1.03	1.07	0.55	-0.43	-0.64	-0.49	0.88	-0.57	-0.31	-0.16	1.41	0.51	0	0
CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(SC)O1	-0.16	0.48	-0.17	0.28	-0.68	0.37	-0.3	-0.52	-0.49	-0.83	-0.57	-0.31	-0.16	-0.35	-0.66	0	1
O=[N+]([O-])c1ccc(O)cc1	3.97	-0.03	-1.04	0.09	4.35	0.05	1.95	1.0	-0.49	-0.34	-0.57	-0.31	-0.16	-0.96	-0.66	0	0
CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O	-0.43	1.7	-1.47	-0.1	0.16	1.62	0.1	-0.16	2.99	0.88	-0.57	-0.31	-0.16	-0.72	-0.39	1	1
C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O	-0.8	-0.67	-0.81	0.28	-0.47	0.5	-0.41	-0.55	-0.49	-0.83	-0.57	-0.31	-0.16	-0.08	-0.66	1	0
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	-0.95	-0.96	-1.45	0.65	-0.41	-0.83	-0.31	-0.46	-0.49	-0.83	-0.57	-0.31	-0.16	2.01	-0.66	0	0
CC1(C)C=C2c3cc4[nH]c5c(c4cc3C(O)C2C(C)(C)O1)CC1CC[C@@]2(O)C3=CC(O)C(C(C)(C)O)OC3CC[C@]2(C)[C@@]51C	-0.36	0.41	0.15	-0.47	-0.9	-0.44	-0.52	-0.98	-0.49	0.63	1.76	-0.31	-0.16	1.88	1.41	0	0
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1	-0.36	-0.36	-0.6	-0.1	1.4	-0.9	0.04	1.37	1.25	0.39	-0.57	-0.31	-0.16	-0.72	0.02	1	1
O=[N+]([O-])c1cc2ccc3cccc4ccc(c1)c2c34	0.59	-0.21	-1.67	-1.4	-0.61	-0.07	-0.03	0.22	-0.49	-0.34	-0.57	-0.31	-0.16	-0.43	-0.6	0	0
Nc1cccc(-c2cnn3ccc(Nc4cccc(Cl)c4)nc23)c1	0.17	-0.53	-0.24	-0.1	0.02	-0.0	-0.27	0.82	-0.49	2.58	-0.57	1.13	-0.16	-0.28	1.54	0	0
