SMILES	GATS2Z	ATSC0c	SLogP_VSA2	F02(O-O)	GATS2v	GATS1se	ATSC1se	ATSC7c	GATS2se	ATSC1dv	MINssCH2	VSA_EState2	AATS4s	EState_VSA5	ZMIC1	observed	predicted
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21	-0.57642	0.13319	0.36376	0.09362	-1.35089	-0.71033	-0.00346	0.08946	-0.26617	0.69248	0.36297	0.54377	0.46528	-0.03853	-0.32958	1	1
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1	-1.11987	0.68554	0.05633	0.09362	-1.9908	0.01359	-0.2994	1.02217	-0.08547	1.20006	-0.9472	0.81708	0.25655	-0.921	-0.15698	1	1
CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O	0.60681	2.06796	0.99494	0.75254	-0.17897	0.01229	-0.85114	1.55692	-0.63906	0.87697	-0.04044	2.4733	0.62797	1.66162	-0.10454	0	0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	0.63081	-0.09773	-0.22991	-0.5653	1.04908	0.67025	-0.08959	1.31098	0.34022	-0.41024	-0.18336	-0.47519	-0.71635	-0.921	-0.85576	1	1
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3C(O)C12	-1.60145	2.26405	1.4208	-0.5653	-1.32926	0.74137	-2.29825	1.71389	-0.35538	0.25607	-0.65065	1.27647	1.77272	2.25377	0.09232	1	1
Cn1c(=O)c2c(ncn2CCO)n(C)c1=O	-0.93211	-0.15515	-0.43096	-0.5653	-2.80571	0.19205	-0.34941	-0.62166	-0.13239	0.21615	-0.81499	0.52822	1.66564	0.69878	-0.91955	1	1
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12	-0.3223	-0.64564	0.14286	-0.5653	0.19767	0.48134	0.30234	-0.12702	0.71177	-0.06265	-0.17122	-0.72128	-1.02067	-0.921	-0.43613	1	1
CCCC(NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)OCC	0.29669	0.46553	0.52891	0.75254	1.49612	-0.41577	0.13185	-0.90759	-0.76926	0.78994	-0.04395	1.18978	-0.29823	-0.921	0.37167	0	0
COCc1c(C(=O)OC(C)C)[nH]cc2nc3ccc(OCc4ccccc4)cc3c1-2	-0.00315	0.2295	-0.47339	0.09362	-0.97265	-0.01621	0.32278	-0.04455	1.07703	0.84037	-0.1164	0.1014	-0.18755	-0.921	0.31454	1	1
CC(Cc1ccc(O)cc1)NC(O)Cc1cc(O)cc(O)c1	0.11834	0.65289	-0.35285	-0.5653	1.01434	1.41922	-0.70011	-1.50883	-0.4636	-0.80703	-0.06856	-1.12022	-0.3336	0.38862	0.1087	0	0
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1	1.66647	-0.63295	-0.36404	0.09362	0.86486	-0.75734	0.78525	-0.16882	-0.4354	-1.05518	0.31768	-1.12022	-0.47811	-0.921	-0.72012	1	1
Nc1nc2c(ncn2COCCO)c(=O)[nH]1	0.08263	0.16871	-0.17795	-0.5653	-1.09315	1.38712	-1.16982	0.3126	0.70195	-0.64982	-0.77583	0.17691	0.87816	-0.13703	-1.19834	0	0
NC(=O)c1cn(Cc2c(F)cccc2F)nn1	-1.34313	-0.66906	-0.75393	-0.5653	-0.20443	-1.22764	0.30912	-0.55557	-0.38036	-0.52571	-0.95411	-0.47445	2.90496	-0.03853	-0.909	1	1
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1	-0.96551	0.10765	0.49575	0.09362	-0.41754	-0.59691	-0.12715	1.15906	-0.15215	1.31974	-2.06752	0.38583	-0.20008	-0.04653	0.00192	0	0
COc1ccccc1OCCNCC(O)OCc1cccc2[nH]c3ccccc3c12	0.99695	0.40414	0.00389	0.09362	-0.1626	0.8393	-0.02167	-0.17426	1.4775	-0.07615	0.011	-0.91478	-0.52303	-0.921	0.85074	0	0
COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1	0.66056	-0.21701	-0.59191	-0.5653	0.6104	-0.19197	0.43809	0.10987	0.51064	0.03853	0.51355	-0.43918	-0.66039	0.0031	-0.55775	1	0
Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O	-0.92513	-0.13901	-0.8039	0.09362	-1.09002	-0.86638	0.30841	-1.6805	-1.01305	-0.81438	-0.03188	-0.40279	0.90646	-0.921	-0.34243	1	1
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1	-0.4061	0.35206	0.62433	-0.5653	-0.90238	-0.20951	-0.03687	0.48289	1.11023	0.55322	0.5015	-0.45787	-0.51672	0.4074	0.10215	1	1
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1	0.65163	-0.22176	0.14162	-0.5653	0.06119	-0.42317	0.52108	-0.02677	0.49028	0.57666	0.70124	-0.67431	-0.86821	0.35243	1.14851	0	0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	-0.37453	0.66226	-0.4004	-0.5653	-2.18594	1.22785	-0.34923	3.02828	1.56458	0.46098	0.44392	-0.64602	0.01166	-0.921	-0.34196	1	1
