SMILES	Mor12u	C-005	C-019	ATSC6p	AATSC8Z	MATS1c	MATS1se	BELpe-1	R1s	Vu	TDB04v	Mor09m	Mor13m	JGI1	B02[O-O]	B09[C-C]
C=C(CC)C(=O)COC	-0.248	1	0	-0.9030977029957511	5.4444444444444455	-0.2785734171829939	0.000750133685045726	2.29	4.703	0.332	0.205	-0.542	-0.246	0.25	0	0
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1	-1.507	1	1	0.6966051576269361	-0.17609466444529884	-0.2710907979489641	0.08730809503152608	2.21	5.345	0.375	0.185	-0.817	-1.317	0.16666666666666669	0	1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C	-1.702	0	0	3.688318428248592	-0.32248245810771836	-0.5342276522464443	-0.08787392886491256	2.22	6.271	0.467	0.265	-0.797	-1.331	0.24000000000000002	0	1
CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)NCC(=O)O	-2.829	0	2	2.451976416478454	0.5846994535519126	-0.6755837476141655	-0.03635684467071971	2.34	5.145	0.506	0.095	-0.655	-0.979	0.25	1	1
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3=CCC2(C)C1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1	-3.398	0	0	7.047578386869862	-0.11915366084901799	-0.45460276541958483	0.03985167419663546	2.24	4.9	0.424	0.114	-2.56	-2.742	0.20754716981132076	0	1
C=C1C(O)[C@]23C[C@@]1(O)CCC2[C@]1(C=O)CCC[C@](C)(C(=O)O)C1C3C(=O)O	-1.926	0	2	-1.7085928498598535	0.3183886288845087	-0.5953103284436964	-0.10763391353501497	2.29	7.878	0.574	0.285	-1.978	-1.292	0.33333333333333337	1	0
CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21	-1.584	0	1	-1.93962424906703	-0.4798014569301779	-0.4793907029118621	-0.011059535881427841	2.24	5.808	0.428	0.126	-2.086	-1.423	0.1891891891891892	1	1
NC(=O)CCC(NC(=O)C(N)Cc1ccccc1)C(=O)O	-1.726	0	3	-1.3697551087729352	1.185	-0.7063423600334625	-0.1575987522816756	2.24	7.476	0.492	0.176	-1.11	-0.821	0.23809523809523808	1	1
O=C(/C=C/c1ccc(O)c(O)c1)OC1C[C@@](O)(C(=O)O)CC(O)C1OC(=O)/C=C/c1ccc(O)c(O)c1	-1.071	0	3	1.4172421712988372	0.09485192152647132	-0.5864442486503715	-0.19293980820182383	2.24	10.121	0.466	0.143	-1.111	-0.466	0.282051282051282	1	1
CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	-1.893	0	3	10.951345528801056	-0.20996575192012756	-0.7746106884083647	-0.33650239398847687	2.12	7.965	0.403	0.093	-1.856	-1.023	0.3125	1	1
CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1	-0.961	0	0	0.21706630785038428	0.8266356738494615	-0.41299062235630957	-0.12829269345305935	2.23	7.123	0.47	0.171	-1.263	-2.497	0.19999999999999998	0	1
O=c1oc2ccccc2cc1O	0.308	0	1	-0.012187288566000015	13.444444444444446	-0.5702826570973741	-0.12113244475698988	2.22	7.914	0.399	0.356	-1.199	-0.587	0.19230769230769232	1	0
CC(N)Cc1ccc2c(c1)OCO2	-0.742	0	0	-0.9723839659814811	-6.549556213017752	-0.49812662265078306	-0.07381438955421583	2.24	5.351	0.367	0.241	-1.116	-0.702	0.21428571428571425	1	0
CC(=O)C[C@H](c1ccccc1)c1c(O)oc2ccccc2c1=O	-1.03	0	0	-3.738867916343326	-0.17303465765004192	-0.5174565018833646	-0.05025309037600806	2.22	6.858	0.337	0.259	-1.9	-0.928	0.16	1	1
OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2	-2.484	0	0	-6.523531916433999	0.5072254335260116	-0.25625310806999174	0.003953142959521919	2.23	5.794	0.424	0.16	-2.312	-1.612	0.18055555555555555	0	1
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C	-0.372	3	1	-2.1579480027602838	0.5630701478452342	-0.257563618350328	0.12224229145988032	2.25	5.03	0.354	0.255	-1.376	-1.034	0.16666666666666669	0	0
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O	-1.947	0	0	2.159836916448292	-0.7968595041322313	-0.4960028903676439	-0.08609184606277108	2.23	5.384	0.448	0.25	-1.033	-1.265	0.21739130434782605	0	0
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1	-0.923	0	0	-1.2046399860818893	1.5072280257465447	-0.7638658924870199	-0.0009351905017836293	2.24	6.81	0.546	0.273	-0.95	-0.424	0.25	1	1
CC(=O)OC1C=CC2C3Cc4ccc(O)c5c4[C@]2(CCN3C)C1O5	-1.18	1	1	-3.0260362595499806	1.2496185737976784	-0.45276857625404643	-0.04763474242865169	2.23	6.213	0.347	0.289	-1.766	-1.888	0.21428571428571427	1	1
CNCCC[C@]12CC[C@H](c3ccccc31)c1ccccc12	-1.35	1	0	-2.2931125398014385	-0.38408003479773783	-0.18705703935398732	0.01566819648546596	2.22	5.097	0.392	0.257	-0.984	-1.17	0.125	0	1
CC(C)CCCC(C)C1CCC2C3C(O)C[C@]4(C(=O)O)CC(O)CC[C@]4(C)C3CC(O)[C@]12C	-2.941	0	1	4.766168179592704	0.3509813018088527	-0.5562303824829931	-0.079928108480211	2.29	5.271	0.454	0.153	-0.194	-2.208	0.2916666666666666	1	1
CC1CC[C@@]2(C(=O)OC3OC(CO)C(O)C(O)C3O)CC[C@@]3(C)C(=CCC4[C@]3(C)CCC3[C@@](C)(CO)C(OC5OC(C(=O)O)C(O)C(O)C5O)CC[C@@]34C)C2C1C	-3.825	0	2	5.032858804993935	0.05079448059816879	-0.5042282785095636	-0.10926363864036143	2.26	7.615	0.606	0.107	-1.824	-3.673	0.2777777777777778	1	1
CCC(/C=C/C(C)C1CCC2C3CC(=O)C4=CC(=O)CC[C@]4(C)C3CC[C@@]12C)C(C)C	-3.591	0	0	8.457372584256385	0.45323817427385904	-0.3233000155438539	0.005335877267882029	2.26	4.716	0.52	0.155	-0.986	-1.43	0.2647058823529411	0	1
