ID;NAME;CAS;CAS.Checksum;DSSTox.GSID;SMILES;All.Compound.Names;logMA;logMA.Reference;logP;logP.Reference;logPwa;logPwa.Reference;MW;MW.Reference;pKa_Accept;pKa_Accept.Reference;pKa_Donor;pKa_Donor.Reference;All.Species;DSSTox.GSID.Reference;Human.Clint;Human.Clint.pValue;Human.Clint.pValue.Reference;Human.Clint.Reference;Human.Fgutabs;Human.Fgutabs.Reference;Human.Funbound.plasma;Human.Funbound.plasma.Reference;Human.Rblood2plasma;Human.Rblood2plasma.Reference;Rat.Clint;Rat.Clint.pValue;Rat.Clint.pValue.Reference;Rat.Clint.Reference;Rat.Fgutabs;Rat.Fgutabs.Reference;Rat.Funbound.plasma;Rat.Funbound.plasma.Reference;Rat.Rblood2plasma;Rat.Rblood2plasma.Reference;SMILES.desalt.Reference;smiles_source;orig_ID;experimental_column;UNITS
246;Azelaic acid di(2-ethylhexyl) ester;103-24-2;True;26697.0;O=C(CCCCCCCC(=O)OCC(CC)CCCC)OCC(CCCC)CC;Azelaic acid di(2-ethylhexyl) ester|Bis(2-ethylhexyl) nonanedioate;;;9.4;EPISuite;1.992756896289961;EPISuite;412.6462;DSSTox;;Strope 2015;;Strope 2015;Human;DSSTox;3.152;0.002;Wetmore 2015;Wetmore 2015;;;0.031258;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
247;Acetaminophen;103-90-2;True;20006.0;Oc1ccc(NC(C)=O)cc1;Acetaminophen|Paracetamol;;;0.46;Tonnelier 2012;10.202296059686677;EPISuite;151.17;Tonnelier 2012;;Riley 2005;9.4;Jones 2002;Human|Rat;DSSTox;2.442;0.084;Wetmore 2015;Wetmore 2015;1.0;Paixao 2012;1.0;Wetmore 2015;1.0;Naritomi 2003;14.854166666666664;;;Naritomi 2003;1.0;Naritomi 2003;0.82;Naritomi 2003;1.0;Naritomi 2003;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
248;5-heptyldihydro-2(3h)-furanone;104-67-6;True;34287.0;O=C1CCC(CCCCCCC)O1;5-heptyldihydro-2(3h)-furanone;;;3.06;EPISuite;1.201732926951378;EPISuite;184.2753;DSSTox;;Strope 2015;;Strope 2015;Human;DSSTox;296.0;0.0001;Wetmore 2015;Wetmore 2015;;;0.0;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
249;Tamoxifen;10540-29-1;True;34187.0;CN(C)CCOc1ccc(cc1)/C(c2ccccc2)=C(/CC)c3ccccc3;Tamoxifen;;;6.3;EPISuite;7.422219650148034;EPISuite;371.5146;DSSTox;8.76;Strope 2015;;Strope 2015;Human;DSSTox;8.52;0.0011;Wetmore 2015;Wetmore 2015;;;0.0;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
250;Dibutyl hexanedioate;105-99-7;True;21866.0;O=C(CCCCC(=O)OCCCC)OCCCC;Dibutyl hexanedioate;;;4.33;EPISuite;3.346322508037826;EPISuite;258.3538;DSSTox;;Strope 2015;;Strope 2015;Human;DSSTox;14.034;0.0238;Wetmore 2015;Wetmore 2015;;;0.587203;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
251;Methyl 1h-benzimidazol-2-ylcarbamate;10605-21-7;True;24729.0;O=C(OC)Nc1nc2ccccc2n1;Methyl 1h-benzimidazol-2-ylcarbamate|Carbendazim;;;1.5200000000000002;TNO;8.527958076102221;EPISuite;191.19;TNO;9.7;TNO;4.28;TNO;Human;DSSTox;24.0;0.0049;Wetmore 2015;Wetmore 2015;;;0.487231;Wetmore 2015;0.916592811923;TNO;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
252;4-methylphenol;106-44-5;True;21869.0;Cc1ccc(O)cc1;4-methylphenol|P-cresol;2.42;Endo 2011;1.94;EPISuite;3.9442700902178647;EPISuite;108.1378;DSSTox;;Strope 2015;10.36;Strope 2015;Human;DSSTox;39.66;0.0001;Wetmore 2015;Wetmore 2015;;;0.32589;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
253;1,4-dichlorobenzene;106-46-7;True;20431.0;Clc1ccc(Cl)cc1;1,4-dichlorobenzene;3.57;Endo 2011;3.44;EPISuite;0.801705090521088;EPISuite;147.002;DSSTox;;Strope 2015;;Strope 2015;Human;DSSTox;;;Wetmore 2015;Wetmore 2015;;;0.02291;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
254;Dimethyl succinate;106-65-0;True;25152.0;COC(=O)CCC(=O)OC;Dimethyl succinate;;;0.35;EPISuite;4.330694380719736;EPISuite;146.1412;DSSTox;;Strope 2015;;Strope 2015;Human;DSSTox;364.4;0.0001;Wetmore 2015;Wetmore 2015;;;0.9999429999999999;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
255;Tebuconazole;107534-96-3;True;32113.0;OC(Cn1cncn1)(CCc2ccc(Cl)cc2)C(C)(C)C;Tebuconazole;;;3.7;EPISuite;7.684604089197146;EPISuite;307.8184;DSSTox;2.27;Strope 2015;13.86;Strope 2015;Human;DSSTox;5.278;0.001;Wetmore 2015;Wetmore 2015;;;0.06600500000000001;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
256;Resorcinol;108-46-3;True;21238.0;Oc1cccc(O)c1;Resorcinol;;;0.8;EPISuite;8.021006127376555;EPISuite;110.1106;DSSTox;;Strope 2015;9.26,10.73;Strope 2015;Human;DSSTox;14.48;0.0001;Wetmore 2015;Wetmore 2015;;;0.744792;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
257;Phenol;108-95-2;True;21124.0;Oc1ccccc1;Phenol;1.95;Endo 2011;1.46;EPISuite;4.539022186305361;EPISuite;94.1112;DSSTox;;Strope 2015;10.02;Strope 2015;Human;DSSTox;5.496;0.0022;Wetmore 2015;Wetmore 2015;;;0.620064;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
258;Mepanipyrim;110235-47-7;True;42121.0;Cc2cc(nc(Nc1ccccc1)n2)C#CC;Mepanipyrim;;;3.28;EPISuite;5.636816280624083;EPISuite;223.2731;DSSTox;2.81;Strope 2015;13.4;Strope 2015;Human;DSSTox;12.42;0.0513;Wetmore 2015;Wetmore 2015;;;0.034186999999999995;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
