ID;orig_ID;SMILES;Property;smiles_source;experimental_column;UNITS
92;hERG093;Clc1cc(N2CCN(CCCN3C(=O)N(C4=N3)C=CC=C4)CC2)ccc1;1;Smiles;Property;classhERGinh
93;hERG094;CN1C2c(c3CC1)c(c(c4C2)c(O)c(O)cc4)ccc3;1;Smiles;Property;classhERGinh
94;hERG095;FC1C(c2c(c3[nH]c2c4ccccc4)cccc3F)CNCC1;1;Smiles;Property;classhERGinh
95;hERG096;Clc1c(C(n2cncc2)(c3ccccc3)c4ccccc4)cccc1;1;Smiles;Property;classhERGinh
96;hERG097;CNCCCC(c(c12)cccc1)(c(c34)cccc3)CCC24;1;Smiles;Property;classhERGinh
97;hERG098;O=C1N(c2ccncc2)CCC1NCc3n(Cc4ccc(C#N)cc4)cnc3;1;Smiles;Property;classhERGinh
98;hERG099;Cc1c(CN2C(=O)c3c(n(C)c(c34)cccc4)CC2)[nH]cn1;1;Smiles;Property;classhERGinh
99;hERG100;Cc1c(NC(CN2CCN(CCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2)=O)c(C)ccc1;1;Smiles;Property;classhERGinh
100;hERG101;CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(CCc4ccc(Cl)cc4)CC3)C2)CC;1;Smiles;Property;classhERGinh
101;hERG102;CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(CCC4CCCCC4)CC3)C2)CC;1;Smiles;Property;classhERGinh
102;hERG103;CN(CCCN1c(c2CCc(c13)cccc3)cccc2)C;1;Smiles;Property;classhERGinh
103;hERG104;NC(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)C4CC4;1;Smiles;Property;classhERGinh
104;hERG105;CCc1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2;1;Smiles;Property;classhERGinh
105;hERG106;CN1CCN(CCCN2c(c3Sc(c24)cccc4)cc(C(F)(F)F)cc3)CC1;1;Smiles;Property;classhERGinh
106;hERG107;FC(Oc1cc(c2cc1)OC(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)=CC2=O)F;1;Smiles;Property;classhERGinh
107;hERG108;Clc1cc(c2cc1)OC(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)=CC2=O;1;Smiles;Property;classhERGinh
108;hERG109;Nc1ccc(C(N2CC3CC(CN(Cc4ccccc4)C3)C2)=O)cc1;1;Smiles;Property;classhERGinh
109;hERG110;CCC(OC(c1ccccc1)(C(CNC)C)Cc2ccccc2)=O;1;Smiles;Property;classhERGinh
110;hERG111;Fc1ccc(C(c2ccc(F)cc2)CCCN3CCC([N+](C4=O)=C5C(=N4)C=CC=C5)CC3)cc1;1;Smiles;Property;classhERGinh
111;hERG112;CN(C1CCC2)C2CC(NC(c3c(c4n(C)n3)cccc4)=O)C1;1;Smiles;Property;classhERGinh
112;hERG113;COCCCCC(c1ccc(C(F)(F)F)cc1)=NOCCN;1;Smiles;Property;classhERGinh
113;hERG114;FC(COc1cc(C(NCC2NCCCC2)=O)c(OCC(F)(F)F)cc1)(F)F;1;Smiles;Property;classhERGinh
114;hERG115;O=C1N(CCCCN2CCN(c3ncccn3)CC2)C(=O)CC4(CCCC4)C1;1;Smiles;Property;classhERGinh
115;hERG116;CN(CCCC1(c2ccc(F)cc2)c(c3CO1)ccc(C#N)c3)C;1;Smiles;Property;classhERGinh
116;hERG117;Fc1ccc(CCN2CC(=O)N(C3Cc(c4CC3)ccc(Cn5cncc5)c4)CC2)cc1;1;Smiles;Property;classhERGinh
117;hERG118;Fc1cc(c2cc1)C(=O)C=C(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)O2;1;Smiles;Property;classhERGinh
118;hERG119;Clc1cc(c2cc1)N=C(N3CCNCC3)c(c4N2)cccc4;1;Smiles;Property;classhERGinh
119;hERG120;FC1C(c2c(c3[nH]c2c4ccccc4)ccc(F)c3)CNCC1;1;Smiles;Property;classhERGinh
120;hERG121;COCCCN1CCC(NC(c2c(c3c(N)c(Cl)c2)OCC3)=O)CC1;1;Smiles;Property;classhERGinh
121;hERG122;C1C(N(c2ccccc2)C3C1)CC(c4c(c5[nH]c4c6ccccc6)cccc5)C3;1;Smiles;Property;classhERGinh
122;hERG123;CN1CCC(CC(Nc2nc(c3ccc(C)o3)nc(n4c(C)ccn4)c2)=O)CC1;1;Smiles;Property;classhERGinh
123;hERG124;CC(C(Cl)(Cl)Cl)(O)C;1;Smiles;Property;classhERGinh
124;hERG125;Clc1cc(c2cc1)CCc(c3C2=C4CCNCC4)cccn3;1;Smiles;Property;classhERGinh
125;hERG126;COc1c(N2CC(O)CC2)ccc(N3C(=O)c(c4N=C3)sc(c5ccc(Cl)cc5)c4)c1;1;Smiles;Property;classhERGinh
126;hERG127;CC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)O;1;Smiles;Property;classhERGinh
127;hERG128;CN1C(=O)c(c2N(C)C1=O)n(C)cn2;1;Smiles;Property;classhERGinh
128;hERG129;C1CC(c2c(c3[nH]c2c4ccccc4)cccc3)CNC1;1;Smiles;Property;classhERGinh
129;hERG130;O=C(C(Oc(c1C2=O)cc(C#N)cc1)=C2)NC3CCN(Cc4cc(c5cc4)OCO5)CC3;1;Smiles;Property;classhERGinh
130;hERG131;Clc1cc(c2cc1)C(N3CCNCC3)=Nc(c4O2)cccc4;1;Smiles;Property;classhERGinh
131;hERG132;COc1cc(c2cc1)C3(C4C(N(C)CC3)C2)CCCC4;1;Smiles;Property;classhERGinh
132;hERG133;COC1C(NC(c2c(OC)cc(N)c(Cl)c2)=O)CCN(CCCOc3ccc(F)cc3)C1;1;Smiles;Property;classhERGinh
133;hERG134;COCCOCC#Cc1scc(c2c(c3[nH]n2)C(=O)c(c34)cc(CN5CCN(C)CC5)cc4)c1;1;Smiles;Property;classhERGinh
