ID;orig_ID;idx_separated;SMILES;Index;Binary_Characterization;old_ID;subset;NAME;Characterization;smiles_source;experimental_column;UNITS
1446;1446;1446;COC1=C[C@@H]2[C@@H]3Cc4ccc(OC)c(O)c4[C@@]2(CCN3C)CC1=O;1447.0;0;O(C)C1=C[C@H]2[C@]3(CC1=O)c1c(C[C@@H]2[N@@](CC3)C)ccc(OC)c1O;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1447;1447;1447;CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O;1448.0;0;O1[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@@](O)(C)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)CC=C1CN;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1448;1448;1448;CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](OC(C)=O)CC[C@@]4(C)[C@@H]3CC[C@@]21C)C(C)C;1449.0;0;O(C(=O)C)[C@@H]1CC2=CC[C@@H]3[C@H]4CC[C@H]([C@@H](CC[C@H](C(C)C)CC)C)[C@]4(CC[C@H]3[C@@]2(CC1)C)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1449;1449;1449;CC(=O)N[C@H](C(=O)O)C(C)(C)SN=O;1450.0;0;S(N=O)C([C@H](NC(=O)C)C(O)=O)(C)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1450;1450;1450;O=C(O)CF;1451.0;0;FCC(O)=O;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1451;1451;1451;O=C(O)c1ccccc1O;1452.0;0;Oc1ccccc1C(O)=O;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1452;1452;1452;C[C@@H]1CC[C@@]2(NC1)O[C@H]1C[C@H]3[C@H]4CC=C5C[C@@H](O)CC[C@@]5(C)[C@@H]4CC[C@]3(C)[C@H]1[C@@H]2C;1453.0;0;O1[C@@H]2[C@H]([C@H](C)[C@]13NC[C@@H](CC3)C)[C@@]1([C@H]([C@@H]3[C@@H](CC1)[C@]1(C(C[C@@H](O)CC1)=CC3)C)C2)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1453;1453;1453;CC1=CC(=O)[C@H]2C(C)(C)CCC[C@@]2(C)[C@@]1(O)CCc1ccoc1;1454.0;0;o1cc(cc1)CC[C@]1(O)[C@]2([C@H](C(CCC2)(C)C)C(=O)C=C1C)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1454;1454;1454;CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O;1455.0;0;OC(=O)CC[C@H](NC(=O)[C@@H](NC(=O)C)CC(O)=O)C(O)=O;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1455;1455;1455;C1CCN2C[C@@H]3C[C@H](CN4CCCC[C@@H]34)[C@H]2C1;1456.0;0;[N@@]12[C@H]([C@H]3C[C@@H]([C@@H]4N(CCCC4)C3)C1)CCCC2;training;;;SMILES;Binary_Characterization;classOATP1B3inh
