ID;NAME;SMILES;Property;smiles_source;orig_ID;experimental_column;UNITS
33;pgps034;c1c(\C=C\C(O[C@H]2C[C@@]3(O[C@H](C[C@@H](C(O[C@H]4[C@H](O[C@H]5[C@@H]([C@@H](OC(C)=O)[C@H](O)[C@@H](C)O5)O)[C@@H](OC(C)=O)[C@H](O)[C@@H](C)O4)=O)CC6)[C@@H]6[C@]37CO7)OC[C@H]2C)=O)cccc1;1;Smiles;;Property;classPsub
34;pgps035;CC(OCOc1c(cc2c(OC(=C3)C(C=C(Cl)C3=O)=C2c4ccc(N(CC(OCOC(C)=O)=O)CC(OCOC(C)=O)=O)c(OCCOc5c(N(CC(OCOC(C)=O)=O)CC(OCOC(C)=O)=O)ccc(C)c5)c4)c1)Cl)=O;1;Smiles;;Property;classPsub
35;pgps036;C1C([C@@H]2[C@@]3([C@](O)(CC2)[C@H](CC[C@@H]4[C@@]5(CC[C@H](O[C@@H]6O[C@H](C)[C@@H](O[C@@H]7O[C@H](C)[C@@H](O[C@@H]8O[C@H](C)[C@@H](O)[C@@H](O)C8)[C@@H](O)C7)[C@@H](O)C6)C4)C)[C@@H]5CC3)C)=CC(=O)O1;1;Smiles;;Property;classPsub
36;pgps037;C1N(C(=O)[C@H](Cc2ccc(N(C)C)cc2)N(C)C(=O)[C@H]3N(CCC3)C(=O)[C@H](CC)NC(=O)[C@@H](NC(c4c(O)cccn4)=O)[C@@H](C)OC(=O)[C@H](c5ccccc5)NC6=O)[C@H]6CC(=O)C1;1;Smiles;;Property;classPsub
37;pgps038;CC(OCOC(c1oc(c2oc3c(cc(OCCOc4cc(C)ccc4N(CC(OCOC(C)=O)=O)CC(OCOC(C)=O)=O)c(N(CC(OCOC(C)=O)=O)CC(OCOC(C)=O)=O)c3)c2)nc1)=O)=O;1;Smiles;;Property;classPsub
38;pgps039;CC(OCOC(c1ccc2c([nH]c(c3cc(OCCOc4c(N(CC(OCOC(C)=O)=O)CC(OCOC(C)=O)=O)ccc(C)c4)c(N(CC(OCOC(C)=O)=O)CC(OCOC(C)=O)=O)cc3)c2)c1)=O)=O;1;Smiles;;Property;classPsub
39;pgps040;CO[C@H]1[C@@H](CC[C@@H](\C=C(\[C@@H]2[C@@H]([C@H](CC([C@@H](\C=C(\C[C@@H](C[C@@H]([C@H]3O[C@@]([C@H](C)C[C@@H]3OC)(O)C(=O)C(=O)N4[C@@H](CCCC4)C(=O)O2)OC)C)/C)CC=C)=O)O)C)/C)C1)O;1;Smiles;;Property;classPsub
40;pgps041;N#C\C=C(/C=C/C=C(/C(=C/[C@H]([C@H]([C@H]([C@H](C[C@@H]([C@H]1O[C@@]2(O[C@@H](C\C=C\c3coc([C@H](CCNC([C@H]([C@H]([C@H](COC)N(C)C)O)O)=O)C)n3)[C@@H](C)[C@H](O)C2)C(C)(C)[C@H]1OP(O)(O)=O)OC)O)C)O)C)/C)\C)\C;1;Smiles;;Property;classPsub
41;pgps042;O1[C@@H](O[C@@H]2[C@H]([C@H](O[C@@H]3O[C@H]([C@H](O)[C@@](OC)(C)C3)C)[C@H](C(O[C@H](CC)[C@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@]2(OC)C)=O)C)C)[C@H](O)[C@@H](N(C)C)C[C@H]1C;1;Smiles;;Property;classPsub
42;pgps043;C1N(\N=C\c(c23)c(c(c(c4c(C)c5O)C([C@@](O\C=C\[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)\C=C\C=C(\C)/C(=O)N2)(C)O4)=O)c5c3O)O)CCN(C)C1;1;Smiles;;Property;classPsub
43;pgps044;c1c(C[C@@H]2NC(CNC([C@H](NC([C@@H](NC(\C=C/c3c(cccc3)OCOC(=O)[C@@H](CC(C)C)NC2=O)=O)Cc4ccc(O)cc4)=O)C)=O)=O)cccc1;1;Smiles;;Property;classPsub
44;pgps045;O1[C@H](C[C@]2(C\C(=N\OC)\[C@H](C)[C@@H](\C(=C\C(C)C)\C)O2)O3)C[C@H]3C\C=C(/C)\C[C@@H](C)\C=C\C=C(/CO4)\[C@](O)([C@@H]5C1=O)[C@@H]4[C@H](O)C(C)=C5;1;Smiles;;Property;classPsub
45;pgps046;O[C@@]1([C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H]([C@H](O)[C@@](OC)(C)C2)C)[C@H](C)[C@@H](O[C@@H]3[C@@H](O)[C@H](N(C)C)C[C@H](C)O3)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@H]1O)C;1;Smiles;;Property;classPsub
46;pgps047;COc1c(cc2c([C@@]3(C(=O)OC[C@H]4c5c(c(OC(C)=O)c(C)c6c5OCO6)[C@@H]([C@H]7N4[C@@H](O)[C@@H](N(C)[C@@H]78)Cc9c8c(O)c(OC)c(C)c9)SC3)NCC2)c1)O;1;Smiles;;Property;classPsub
47;pgps048;c1c(\C=C\C(O[C@H]2C[C@@]3(O[C@H](C[C@@H](C(O[C@H]4[C@H](O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)C)[C@@H](OC(C)=O)[C@H](O)[C@@H](C)O4)=O)CC6)[C@@H]6[C@]37CO7)OC[C@H]2C)=O)cccc1;1;Smiles;;Property;classPsub
48;pgps049;c1c(C(=O)c2c(c(O)c3c(C[C@](C(CO)=O)(O)C[C@@H]3O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)C4)c2O)C5=O)c5c(OC)cc1;1;Smiles;;Property;classPsub
49;pgps050;COc1c(C(c2c(c(O)c3c([C@@H](O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)C[C@@](\C(=N\NC(c5ccccc5)=O)\C)(O)C3)c2O)C6=O)=O)c6ccc1;1;Smiles;;Property;classPsub
50;pgps051;c1c(C[C@@H](O)[C@H]2NC([C@@H](C[C@@H](CN3CCN(Cc4cccnc4)C[C@H]3C(NC(C)(C)C)=O)O)Cc5ccc(O)cc5)=O)c2ccc1;1;Smiles;;Property;classPsub
51;pgps052;c1c(C(=O)c2c(c(O)c3c(C[C@](C(CO)=O)(O)C[C@@H]3O[C@@H]4O[C@@H](C)[C@@H](I)[C@@H](N)C4)c2O)C5=O)c5c(OC)cc1;1;Smiles;;Property;classPsub
52;pgps053;COc1c(C(c2c(c(O)c3c([C@@H](O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)C[C@@](C(C)=O)(O)C3)c2O)C5=O)=O)c5ccc1;1;Smiles;;Property;classPsub
53;pgps054;c1c(C(c2c(c(c3c(C[C@](C(CO)=O)(O)C[C@@H]3O[C@H]4O[C@H](C)C[C@H](N)C4)c2O)O)C5=O)=O)c5c(OC)cc1;1;Smiles;;Property;classPsub
54;pgps055;c1c([C@@H](O)[C@@H](O)[C@H]2NC([C@@H](C[C@@H](CN3CCN(Cc4cccnc4)C[C@H]3C(NC(C)(C)C)=O)O)Cc5ccccc5)=O)c2ccc1;1;Smiles;;Property;classPsub
55;pgps056;COc1c(C(c2c(c(O)c3c([C@@H](O[C@H]4C[C@H](NC(C)=O)[C@H](O)[C@H](C)O4)C[C@@](C(C)=O)(O)C3)c2O)C5=O)=O)c5ccc1;1;Smiles;;Property;classPsub
56;pgps057;c1c(C(=O)c2c(c(O)c3c(C[C@](C(C)=O)(O)C[C@@H]3O[C@@H]4O[C@@H](C)[C@@H](N)[C@@H](O)C4)c2O)C5=O)c5c(OC)cc1;1;Smiles;;Property;classPsub
57;pgps058;c1c(oc(CN2CCN(C[C@H](C[C@H](C(N[C@H]3c(cccc4)c4C[C@H]3O)=O)Cc5ccccc5)O)[C@H](C(NC(C)(C)C)=O)C2)c6)c6ccc1;1;Smiles;;Property;classPsub
58;pgps059;c1c(\C=C/C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](C)C(=O)NCC(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@H](CC(C)C)C(=O)O4)c4ccc1;1;Smiles;;Property;classPsub
59;pgps060;c1c(C[C@@H](O)[C@H]2NC([C@@H](C[C@@H](CN3CCNC[C@H]3C(NC(C)(C)C)=O)O)Cc4ccccc4)=O)c2ccc1;1;Smiles;;Property;classPsub
60;pgps061;c1c(C[C@@H]2NC(CNC([C@H](NC([C@H](Cc3ccc(O)cc3)NC(OCOC(=O)[C@@H](CC(C)C)NC2=O)=O)=O)C)=O)=O)cccc1;1;Smiles;;Property;classPsub
61;pgps062;c1c(P(=CC(c2ccccc2c3c(C(C=P(c4ccccc4)(c5ccccc5)c6ccccc6)=O)cccc3)=O)(c7ccccc7)c8ccccc8)cccc1;1;Smiles;;Property;classPsub
62;pgps063;COc1c(C(c2c(c(O)c3c([C@@H](O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)C[C@@]([C@@H](CO)O)(O)C3)c2O)C5=O)=O)c5ccc1;1;Smiles;;Property;classPsub
63;pgps064;c1c(C[C@@H](C(N[C@H](C(N[C@@H](C(N[C@@H](C(NCC(N[C@H](C(N[C@@H](C(N[C@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](CSC\C=C(\CC\C=C(\CCC=C(C)C)/C)/C)C(OC)=O)=O)C)=O)CC(O)=O)=O)Cc2c3c(cccc3)[nH]c2)=O)Cc4ccccc4)=O)C(C)C)=O)=O)CCCCN)=O)[C@@H](CC)C)=O)[C@H](CC)C)=O)N)ccc(O)c1;1;Smiles;;Property;classPsub
64;pgps065;c1c([C@@H](O)[C@@H](O)[C@H]2NC([C@@H](C[C@@H](CN3CCNC[C@H]3C(NC(C)(C)C)=O)O)Cc4ccccc4)=O)c2ccc1;1;Smiles;;Property;classPsub
65;pgps066;FC(C(NC1(C(N[C@@H](c2c(F)cc(c3cccc(F)c3c4nc(C)on4)cc2)C)=O)CC1)=O)(F)F;1;Smiles;;Property;classPsub
66;pgps067;COc1c(cc2c([C@H]3N(C[C@H](CC)[C@@H](C[C@@H]4c(cc(OC)c(OC)c5)c5CCN4)C3)CC2)c1)OC;1;Smiles;;Property;classPsub
67;pgps068;FC(C(NC1(C(N[C@@H](c2c(F)cc(c3cccc(F)c3c4n(C)nnn4)cc2)C)=O)CC1)=O)(F)F;1;Smiles;;Property;classPsub
68;pgps069;C1c(cc2c(C(c3c(c(O[C@H]4O[C@@]5([C@H](O)[C@@H](N(C)C)[C@@H]4O)C)c5cc3O)C2=O)=O)c6O)c6[C@H](OC)C[C@@]1(O)C;1;Smiles;;Property;classPsub
69;pgps070;c1c(c(Nc2cc(CN3CCCC3)c(O)c(CN4CCCC4)c2)c5c(ccc(OC)n5)n6)c6cc(Cl)c1;1;Smiles;;Property;classPsub
70;pgps071;s1c([C@H]2O[C@H]3[C@H](O[C@@H](O[C@H]4[C@H](COC5=O)[C@H]5[C@H](c6cc(OC)c(O)c(OC)c6)c(cc7c(OCO7)c8)c48)[C@H](O)[C@H]3O)CO2)ccc1;1;Smiles;;Property;classPsub
71;pgps072;FC(C(C(NC1(C(NCc2c(F)cc(c3cccc(F)c3C(OC)=O)cc2)=O)CC1)=O)(F)F)(F)F;1;Smiles;;Property;classPsub
72;pgps073;COc1c(cc2c([C@@H](C[C@@H]3[C@H](CN4[C@@H](C3)c(cc(OC)c(OC)c5)c5CC4)CC)NCC2)c1)O;1;Smiles;;Property;classPsub
73;pgps074;CC(CC(N[C@H](C(N[C@H](C(N[C@H]([C@H](CC(N[C@H](C(N[C@@H](CC(C)C)[C@H](CC(=O)O)O)=O)C)=O)O)CC(C)C)=O)C(C)C)=O)C(C)C)=O)C;1;Smiles;;Property;classPsub
74;pgps075;c1c(C(=O)c2c(c(O)c3c([C@@H](O[C@H]4C[C@@H]([C@H](O)[C@H](C)O4)N)C[C@@]([C@H](C)O)(O)C3)c2O)C5=O)c5ccc1;1;Smiles;;Property;classPsub
75;pgps076;FC(CC(NC1(C(N[C@@H](c2c(F)cc(c3cccc(F)c3C(OC)=O)cc2)C)=O)CC1)=O)(F)F;1;Smiles;;Property;classPsub
76;pgps077;FC(C(NC1(C(N[C@@H](c2c(F)cc(c3cccc(Cl)c3c4nn(C)nn4)cc2)C)=O)CC1)=O)(F)F;1;Smiles;;Property;classPsub
77;pgps078;c1c(ccc(C(N[C@H](C(N[C@H]([C@@H](CN2[C@@H](C[C@@H]3[C@@H](CCCC3)C2)C(NC(C)(C)C)=O)O)Cc4ccccc4)=O)CC(N)=O)=O)n5)c5ccc1;1;Smiles;;Property;classPsub
78;pgps079;C1[C@@]([C@@H]2O3)([C@]([C@H]4C2)([C@@](COC(=O)C[C@@H](C)[C@@H](O)CO[C@@H]([C@@H](C)O)\C=C\C=C\C(=O)O4)(C[C@H](O)C(C)=C5)[C@H]35)C)O1;1;Smiles;;Property;classPsub
79;pgps080;Cc1c(C(N[C@H]([C@@H](CN2[C@@H](C[C@@H]3[C@@H](CCCC3)C2)C(NC(C)(C)C)=O)O)CSc4ccccc4)=O)cccc1O;1;Smiles;;Property;classPsub
80;pgps081;COC([C@]12[C@@H]([C@@H](OC(\C=C(\C(C)C)/C)=O)C(=O)O3)[C@]([C@H]3C[C@H]4[C@@]5(CC(=O)C(O)=C4C)C)([C@H]5[C@@H](O)[C@@H]1O)CO2)=O;1;Smiles;;Property;classPsub
81;pgps082;CC([C@H]1[C@]([C@H]([C@@]23O)[C@]([C@H]4C(=C)[C@H]2O)(CO3)[C@H](OC(=O)[C@@H]4OC(C\C=C(\CCCCC)/C)=O)C1)(C)CC5=O)=C5O;1;Smiles;;Property;classPsub
82;pgps083;FC(C(NC1(C(N[C@@H](c2c(F)cc(c3cccc(F)c3C(F)(F)F)cc2)C)=O)CC1)=O)(F)F;1;Smiles;;Property;classPsub
83;pgps084;Oc1ccc(CN([C@H]2CCc(cc(OC)c(OC)c3OC)c3C(=CC=C(OC)C4=O)C2=C4)C)cc1;1;Smiles;;Property;classPsub
84;pgps085;FC(C(NC1(C(N[C@@H](c2c(F)cc(c3cccc(F)c3C(OC)=O)cc2)C)=O)CC1)=O)F;1;Smiles;;Property;classPsub
85;pgps086;FC(C(NC1(C(NCc2c(F)cc(c3cccc(F)c3C(OC)=O)cc2)=O)CC1)=O)(F)F;1;Smiles;;Property;classPsub
86;pgps087;C1=C2C([C@H](CCc3c2c(OC)c(OC)c(OC)c3)NC(C(F)(F)F)=O)=CC(=O)C(OC)=C1;1;Smiles;;Property;classPsub
