SMILES	SLogP	PEOE_VSA6	EState_VSA2	O-056	ATSC6v	ATSC8d	ATSC5s	PEOE_VSA10	GATS2c	ATS0dv	ATS0Z	X3A	ATSC5se	GATS5Z	ATSC8v	observed	predicted
COC(=O)C[C@H]1[C@@]2(C)C[C@]34O[C@]5(C)O[C@@]6([C@H](OC(C)=O)[C@@]3(O)[C@H]2OC(=O)C(C)C)[C@H]2/C(=C(/O)C(C)C)C(=O)O[C@@H](c3ccoc3)[C@]2(C)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@]6(O5)[C@]14C	0.18	0.86	-0.72	-0.01	0.24	-6.88	0.69	0.49	0.18	2.2	1.3	-1.57	0.37	-0.6	0.03	1	1
CC(=O)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C(=O)O)CC[C@]23C)C1(C)C	1.43	1.1	2.35	-0.34	0.18	0.97	-0.57	-0.62	-1.04	-0.2	-0.04	-0.89	-0.31	0.15	0.22	1	1
CC(=O)OC1CC(OC(C)=O)[C@]2(C)C(C[C@H](OC(C)=O)[C@]3(C)[C@@H]2CC[C@@]2(C)[C@H](c4ccoc4)OC(=O)[C@@H]4O[C@]432)C1(C)C	0.58	0.28	-0.73	-0.66	0.97	0.75	0.34	0.9	0.21	0.66	0.3	-1.25	-0.03	-0.43	-1.83	0	0
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1	-0.13	-1.17	-0.74	-0.66	0.22	0.19	-0.15	0.46	-0.32	-0.61	-0.57	1.54	-0.05	0.01	-0.65	0	0
Cc1cc(=O)oc2cc(O)c(O)cc12	-0.67	-1.17	-0.42	-0.01	-0.21	0.46	-0.22	-0.66	-0.95	-0.86	-1.02	0.44	-0.14	1.02	0.35	0	0
O=C(O)COc1ccc(Cl)cc1Cl	-0.3	-0.2	-1.44	-0.34	0.04	0.34	0.18	-0.65	0.47	-1.07	-0.54	1.51	0.16	0.82	0.2	0	0
CC(=O)OC1CC(OC(C)=O)[C@]2(C)C(CC(=O)[C@]3(C)[C@@H]2CC[C@@]2(C)[C@H](c4ccoc4)OC(=O)[C@@H]4O[C@@]423)C1(C)C	0.44	-0.01	0.0	-0.66	0.35	0.22	0.36	0.88	0.19	0.48	0.15	-1.22	0.01	-0.43	0.11	0	0
COC(=O)c1cc(OC)c(=O)c2c(OC)c(OC)ccc2c1	-0.47	-0.92	-0.09	-0.66	-1.23	0.22	-0.13	-1.01	1.96	-0.32	-0.63	0.32	0.23	0.47	-0.89	0	0
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl	1.34	1.75	2.11	-0.01	0.36	0.6	0.15	-0.28	-1.18	-0.9	0.85	0.74	0.06	1.09	-0.12	1	1
CC(C)c1c(O)ccc2c1CC[C@H]1[C@@](C)(CO)CCC[C@@]21C	0.52	0.51	-0.39	-0.01	0.89	-0.39	-0.37	-0.65	-1.36	-1.01	-0.74	-0.44	-0.25	1.08	0.54	1	1
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1	0.01	0.34	-1.09	-0.66	-0.67	-0.71	0.5	-0.65	1.56	-0.68	-0.7	0.31	0.51	-1.45	-1.55	0	0
CC(=O)Oc1ccc2c(c1)Oc1cc(OC(C)=O)ccc1C21OC(=O)c2cc(C(=O)O)ccc21	0.23	-0.92	0.61	-0.34	-0.5	-1.49	-1.04	0.45	-0.57	0.6	-0.07	-0.72	-1.16	0.1	0.25	1	1
COc1ccc(-c2cc(=O)c3ccc(OC)cc3o2)cc1	0.1	-1.17	-1.12	-0.66	0.31	-0.03	0.05	0.44	1.3	-0.53	-0.74	0.47	0.03	-0.62	-0.5	0	0
CC(=O)O[C@H]1C[C@]2(C)[C@H](C[C@@H](O)[C@H]3[C@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@]32C)/C1=C(/CCC=C(C)C)C(=O)O	0.97	0.48	0.97	0.31	1.37	0.46	-0.05	-0.62	-1.14	-0.17	-0.01	-0.71	0.32	-0.03	-0.83	0	1
CC(C)=CCC[C@@]1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)O[C@@]12C(=CCC[C@H]1C(C)(C)O[C@@]2(C/C=C(\C)C(=O)O)C(=O)O)C3=O	1.7	0.32	0.64	0.31	-0.54	-3.41	-0.57	0.8	-0.19	0.75	0.47	-0.71	-0.83	-0.27	-2.39	1	1
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1	-0.4	-0.59	-0.81	-0.34	-0.43	0.14	-1.01	-1.01	-1.01	-0.81	-0.55	0.79	-1.02	2.55	0.38	0	0
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	0.07	-0.3	0.69	0.31	0.62	0.24	0.38	-1.01	-1.11	-0.38	0.12	-0.27	0.57	-1.54	0.23	1	1
C=C1C2CC[C@@]3(C)[C@@H](c4ccoc4)OC(=O)C[C@@]13O[C@H]1CC(=O)C(C)(C)C(CC(=O)OC)[C@@]21C	0.53	0.27	1.49	-0.66	1.0	0.94	0.83	0.1	0.31	0.09	-0.11	-0.73	0.66	-0.76	1.77	1	1
CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]54[C@]2(C)C(=O)C[C@@H]13	-0.03	-0.88	1.13	-0.66	0.95	0.2	0.6	0.52	0.32	0.24	-0.09	-1.4	0.42	-0.47	1.28	0	0
CC1(C)OC(=O)NC1=O	-1.26	-1.17	-1.09	-0.66	-0.06	0.28	-0.47	-1.01	-0.87	-1.15	-1.23	1.1	-0.25	1.76	0.08	0	0
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1	-0.6	-1.17	-0.85	-0.66	-0.58	0.21	-0.73	-1.01	-1.07	-0.94	-0.69	0.85	-0.21	-1.31	-0.26	0	0
CC(=O)Oc1c2c(c(CC=C(C)C)c3c1C(=O)C1=C[C@H]4C[C@@H]5C(C)(C)O[C@](C/C=C(\C)C(=O)O)(C4=O)[C@]15O3)O[C@@](C)(CCC=C(C)C)C=C2	1.68	0.32	0.99	-0.34	-0.23	-4.53	-0.06	0.43	0.17	0.93	0.55	-0.89	-0.19	-0.75	-2.83	1	1
CC(=O)Oc1cc2c(c(C)c1OC(C)=O)C[C@H]1O[C@]13[C@@]1(C)CCC4(C)CCC(C)(C(=O)O)C[C@@H]4[C@]1(C)CC[C@]23C	1.22	-0.01	0.91	-0.34	-1.23	-0.51	0.91	-0.66	-0.83	0.26	0.13	-1.04	0.87	-0.53	-0.83	1	1
C[C@@H]1O[C@H](O[C@H]2[C@H](OC(=O)[C@]34CCC(C)(C)C[C@H]3C3=CC[C@@H]5[C@]6(C)CC[C@H](O[C@H]7O[C@@H](C)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@@H](O)[C@H]7O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]3(C)C[C@@H]4O)OC[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	-2.02	1.35	1.41	3.88	1.05	2.05	0.23	5.16	0.45	2.85	2.42	-0.25	1.98	-0.26	-1.07	1	1
O=C1C[C@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@@H]5[C@H]2[C@H]3C[C@H]46	-0.44	0.08	-0.39	-0.66	-0.7	1.0	0.13	-1.01	1.16	-0.59	-0.6	-1.39	0.15	-0.02	0.63	0	0
Nc1ccc(C(=O)NCC(=O)O)cc1	-1.24	-1.17	-1.05	-0.34	-0.17	0.27	0.96	-0.6	-0.86	-0.94	-1.02	1.81	0.67	-1.14	0.05	0	0
O=C1OC(c2ccc(O)c(S(=O)(=O)O)c2)(c2ccc(O)c(S(=O)(=O)O)c2)c2c(Br)c(Br)c(Br)c(Br)c21	0.75	-0.66	0.43	0.64	0.37	-0.22	-1.77	0.34	-0.96	0.51	5.68	-0.57	-0.74	-1.87	-0.99	1	1
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@H]2O[C@H](C)[C@@H](O)[C@@H]([NH3+])[C@H]2O)C[C@@H]2O[C@](O)(C[C@H](O)C[C@H](O)[C@@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)[O-]	-1.8	2.98	0.46	2.58	0.86	0.26	-2.94	0.15	-0.51	1.66	1.46	1.1	-2.97	0.5	0.22	0	0
COc1cc2c3cc1Oc1cc(ccc1O)O[C@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CCN1C	1.24	-0.66	0.3	-0.01	-1.49	0.31	0.37	-0.28	0.99	0.67	0.31	-0.07	0.35	-0.71	0.4	0	0
COc1ccc2c(c1O)-c1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3	-0.02	-0.92	-0.73	-0.34	-1.62	0.42	-0.12	-1.01	1.47	-0.44	-0.55	-0.52	-0.04	0.11	-0.37	0	0
COc1cccc(O)c1O	-0.83	-0.92	-0.41	-0.01	0.04	0.28	-0.22	-1.01	0.51	-1.19	-1.2	1.75	-0.25	1.75	0.08	0	0
CCN(CCO)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12	0.23	-0.39	-1.04	-0.34	0.2	0.58	-0.0	-1.01	1.13	-0.9	-0.42	0.92	0.12	-1.48	0.41	0	0
COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1	0.66	1.01	0.0	0.31	-1.28	0.87	-0.68	-0.64	-0.54	-0.04	-0.15	0.19	-0.58	0.42	1.61	1	1
OC[C@@H](O)[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO	-3.55	-1.17	-1.44	2.26	-0.25	-0.16	-0.07	2.1	0.45	-0.3	-0.43	1.25	0.08	0.04	-0.44	0	0
Cc1cc(=O)c2c(O)cc(O)c(C)c2o1	-0.55	-1.17	0.23	-0.01	-0.98	0.59	-0.69	0.79	-0.87	-0.83	-0.97	0.09	-0.65	1.84	0.7	0	0
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1	-0.27	-0.92	0.99	1.61	0.32	-0.08	0.5	0.47	-0.61	0.37	-0.12	0.35	0.89	-0.08	-0.57	1	1
C[C@@H](CN1c2ccccc2Sc2ccccc21)N(C)C	0.41	0.34	-1.44	-0.66	-1.2	0.47	0.22	-1.01	3.86	-1.03	-0.62	0.2	0.05	-0.4	-0.92	0	0
CCCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C	-0.05	0.76	-0.02	-0.34	-0.65	-0.03	-0.39	-0.23	0.19	0.42	0.14	0.56	-0.28	0.98	-0.64	1	1
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12	-0.48	-1.17	0.59	0.96	-0.27	0.06	-0.82	1.15	-0.75	-0.25	-0.61	-0.02	-1.09	1.48	-0.37	1	1
Clc1ccccc1CN1CCc2sccc2C1	0.3	0.08	-1.44	-0.66	-0.24	0.23	0.09	-1.01	3.23	-1.2	-0.49	0.6	0.12	-1.97	0.28	0	0
C[C@H]1[C@H](C)CC[C@]2(CO)CC[C@@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@H]5CC[C@@]43C)[C@H]12	1.5	1.35	-0.1	-0.01	0.22	0.72	0.14	-1.01	-0.84	-0.82	-0.33	-0.68	0.15	-0.04	0.78	0	0
COc1cc(-c2coc3cc(OCc4ccccc4)c(OC)c(O)c3c2=O)cc(O)c1OC	0.5	0.1	1.68	-0.01	-0.28	-0.6	-1.15	0.51	1.29	0.31	-0.14	0.09	-1.65	1.33	-0.77	1	1
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O	-0.12	-0.15	0.97	-0.01	-0.15	-0.1	-0.88	0.43	-0.85	-0.14	-0.52	0.0	-1.0	0.69	0.06	1	1
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	0.02	3.4	1.91	-0.34	-4.98	-1.77	3.83	2.83	1.46	2.36	2.27	0.75	0.84	0.97	-1.77	1	1
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21	-1.24	-0.59	-0.77	-0.66	-0.44	1.16	-0.0	-0.66	-0.09	-0.84	-0.94	0.09	-0.16	1.42	1.36	0	0
COc1cc(OC)c2c(OC)c(-c3ccc4c(c3)OCO4)c(=O)oc2c1	0.0	-0.92	-0.7	-0.66	-1.01	0.75	-0.17	1.14	1.33	-0.01	-0.45	-0.27	-0.9	-0.24	0.82	0	0
C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	0.2	3.69	1.91	-0.66	-5.61	-2.16	3.79	2.45	1.53	2.46	2.31	0.71	0.72	0.99	-2.23	1	1
COc1ccc(C(=O)O)c(O)c1OC	-0.83	-1.17	-0.42	-0.01	-0.33	0.51	-0.68	-0.66	0.66	-0.82	-0.98	0.65	-0.67	2.56	0.12	0	0
