SMILES	SLogP	PEOE_VSA6	EState_VSA2	O-056	ATSC6v	ATSC8d	ATSC5s	PEOE_VSA10	GATS2c	ATS0dv	ATS0Z	X3A	ATSC5se	GATS5Z	ATSC8v	observed	predicted
CC(=O)O[C@@H]1CC2C(C)(C)C(=O)C3OC3[C@]2(C)[C@@H]2CC[C@]3(C)[C@@H](c4ccoc4)OC(=O)[C@H]4O[C@]43[C@@]12C	0.22	0.28	1.39	-0.66	1.97	0.77	0.12	0.51	0.36	0.29	-0.0	-1.38	-0.42	-0.09	-0.32	0	0
CC1(C)C(O)C=C[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312	0.31	0.5	0.3	-0.34	1.27	-0.01	0.5	0.1	0.15	-0.1	-0.22	-1.14	0.3	-0.35	1.46	1	1
O=C1C=CC(=C(c2ccc(O)cc2)c2ccc(O)cc2)C=C1	0.15	0.36	-0.4	-0.01	-0.84	0.43	0.25	-0.28	-1.47	-0.63	-0.73	0.6	0.26	-0.89	0.0	1	1
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]21C	0.61	0.15	0.97	-0.66	0.12	-0.14	0.6	-1.01	-0.18	-0.47	-0.17	-0.85	0.41	0.48	1.05	1	1
Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1	0.03	0.14	-1.09	-0.66	-0.29	-0.25	-0.3	-0.65	0.8	-0.6	-0.77	-0.5	-0.05	1.1	-0.3	0	0
C[C@@H](COc1ccccc1)N(CCCl)Cc1ccccc1	0.39	0.86	-1.44	-0.66	-0.66	0.44	0.1	-0.23	2.61	-1.01	-0.53	1.45	-0.05	-0.04	0.47	0	0
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(=O)c2c(O)c(O)cc([C@H]3Oc4cc(O)cc(O)c4C[C@H]3OC(=O)c3cc(O)c(O)c(O)c3)c2c1)c1cc(O)c(O)c(O)c1	0.38	-1.17	1.3	3.56	0.26	0.24	1.02	1.96	-0.6	2.63	1.42	0.0	1.61	-0.13	-0.44	1	1
NC(=O)c1cccc(N)c1	-1.12	-0.92	-1.44	-0.66	-0.08	0.28	0.4	-1.01	-1.67	-1.29	-1.24	1.58	0.32	-0.16	0.08	0	0
C[C@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O	-1.08	-1.17	0.24	1.61	0.18	-1.57	-0.86	1.58	-0.11	0.41	-0.09	0.18	-0.78	-0.01	-1.36	0	0
N=C(N)NCCCCN	-1.58	-1.17	-1.08	-0.66	-0.04	0.36	0.03	-1.01	-1.77	-1.51	-1.27	4.36	0.11	-0.49	0.06	0	0
CCC1(CC)C(=O)C=CNC1=O	-0.87	-0.59	-0.74	-0.66	0.51	0.28	-1.02	-0.67	-0.18	-1.19	-1.14	0.76	-0.72	2.36	0.08	0	0
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O	0.79	0.43	-0.0	-0.34	-1.44	0.73	-0.48	-0.29	0.11	-0.25	-0.21	0.34	-0.66	0.61	0.48	1	1
COc1cc(C(=O)O[C@@H]2CC[C@]3(C)[C@@H]4CC[C@H]5[C@]6(O)C[C@H](O)[C@@]7(O)[C@@H](CN8C[C@@H](C)CC[C@H]8[C@@]7(C)O)[C@]6(O)C[C@]53O[C@]42O)cc(OC)c1OC	-0.73	-0.59	1.13	1.29	0.32	-0.64	0.43	0.41	0.56	0.96	0.7	-1.0	0.6	0.18	1.03	0	0
C/C=C/c1ccc(OC)cc1	-0.19	-0.15	-1.44	-0.66	0.06	0.25	0.09	-0.65	2.05	-1.34	-1.22	1.9	0.16	-0.16	0.03	0	0
