SMILES	SLogP	ATS0d	ATSC5s	GATS2c	PNSA1	AATS2i	GATS7Z	ATSC5se	AATS5d	AATS7i	ww	ATS0Z	MAXDN	PEOE_VSA7	O-057	SIC3	ATSC1v	PEOE_VSA10	AATS5i	GATS6c	observed	predicted
CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21	-0.95	-0.63	-0.16	-0.22	-0.9	2.07	0.18	-0.41	0.27	0.36	-0.31	-0.59	-0.32	-1.13	-0.38	-0.42	-1.46	-0.41	-0.14	0.02	0	0
Nc1nc2c(ncn2[C@@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1	-1.67	-0.39	-0.68	-0.49	-0.19	1.52	0.34	-0.79	0.91	0.83	-0.28	-0.35	-0.25	-1.36	-0.38	1.25	-0.02	0.09	1.18	-0.52	0	0
CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(=O)O	0.07	-0.35	-1.6	-0.62	0.24	-0.96	0.16	-1.8	1.21	-1.05	-0.25	-0.22	0.44	-0.44	-0.0	-0.13	-0.42	0.86	-1.24	-0.63	0	0
C/C=C/c1ccc2c(c1)OCO2	0.03	-0.98	0.18	1.14	-0.55	-0.2	0.72	0.19	-0.54	0.3	-0.32	-0.85	-1.09	-0.43	-0.38	0.84	-0.74	-0.84	-0.57	-0.47	0	0
CCN1CC[C@@H](CNC(=O)c2cc(S(N)(=O)=O)ccc2OC)C1	-0.81	-0.11	-0.22	0.52	0.09	0.98	0.85	0.45	-0.22	-0.5	-0.26	0.12	2.99	0.29	-0.38	0.53	-0.35	-0.4	0.24	-0.19	0	0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N/OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O	-0.07	2.86	-0.22	0.9	0.38	1.05	-0.06	-1.4	0.02	-0.46	1.38	1.97	0.74	1.47	-0.38	-0.22	-2.22	0.96	0.04	0.08	0	1
[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-]	-1.81	-0.89	0.15	-1.38	-0.12	-0.23	0.2	0.0	-0.2	1.14	-0.33	-0.66	0.47	-0.69	1.13	0.53	0.74	-0.38	0.03	0.3	0	0
Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314	-0.27	0.55	0.37	0.01	-0.5	-0.5	0.15	0.0	0.52	0.09	0.02	-0.06	-0.22	1.01	0.37	0.71	1.6	-0.38	-0.24	-0.47	0	0
O=C(OC[C@@H](O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12	0.32	0.02	0.17	0.29	0.72	-0.59	-0.29	-0.23	1.51	-1.16	-0.14	0.28	0.03	0.02	-0.38	1.29	0.27	0.12	-1.06	-0.57	0	0
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1	1.71	-0.52	0.25	-0.13	1.81	-1.89	-1.71	-0.86	0.61	-0.79	-0.3	1.1	-1.55	-0.02	-0.38	-0.86	-0.4	-0.84	-1.32	1.15	0	0
CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1	-1.14	0.04	1.81	0.49	0.14	1.28	1.09	2.56	0.32	0.07	-0.23	0.18	3.19	-0.31	-0.38	-1.57	-1.05	1.03	0.16	0.21	0	0
O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O	-1.3	0.05	0.49	-0.29	-0.02	0.78	0.93	0.88	1.33	0.53	-0.21	-0.11	0.72	-0.42	-0.38	0.01	-0.17	-0.4	-0.33	0.08	0	0
CNC(=O)Oc1cccc2c1OC(C)(C)C2	-0.1	-0.62	0.33	-0.11	-0.78	0.48	0.03	0.45	0.7	0.4	-0.31	-0.6	-0.21	-0.61	-0.38	-0.33	-0.76	-0.42	-1.2	0.28	0	0
C=CCCCCCCCCCCC[C@H](O)C[C@H](O)CO	0.5	-0.45	0.56	-0.38	-0.53	0.24	-0.35	0.56	-1.39	0.05	-0.29	-0.4	-0.25	-0.63	-0.38	-2.2	-0.55	-0.84	0.53	-0.25	0	0
