ID_SET_COMPOUND;ID_SET;ID NUMBER;IRB PLATE;LIBRARY;ORIGINAL WELL;ID;ROMol;SMILES
64;set_4;HY-106450;PLATE_525;Clinical;A07;atoms 32 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x0000021377458EB0>;Nc1nc(N/N=C/C2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
65;set_4;HY-112318A;PLATE_525;Clinical;B07;atoms 29 bonds 30;<rdkit.Chem.rdchem.Mol object at 0x0000021377458F20>;CC[C@@H](/C=C/C(=O)N1CCc2ccccc21)NC(=O)C1(N)CCOCC1.Cl
66;set_4;HY-16911;PLATE_525;Clinical;C07;atoms 28 bonds 31;<rdkit.Chem.rdchem.Mol object at 0x0000021377458F90>;Cc1c(CN(C)C(=O)/C=C/C2=CNC3=NC(=O)CCC3=C2)oc2ccccc12
67;set_4;HY-138688;PLATE_525;Clinical;D07;atoms 24 bonds 25;<rdkit.Chem.rdchem.Mol object at 0x000002137428B040>;N#C/C(=C\c1ccc(O)c(O)c1)C(=O)OC/C=C/c1ccccc1
68;set_4;HY-132131;PLATE_525;Clinical;E07;atoms 50 bonds 55;<rdkit.Chem.rdchem.Mol object at 0x000002137428B0B0>;Cc1cc(C[C@@H](NC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12.Cl
69;set_4;HY-13008;PLATE_525;Clinical;F07;atoms 13 bonds 15;<rdkit.Chem.rdchem.Mol object at 0x000002137428B120>;C1Cc2[nH]nc(-c3nnn[nH]3)c2C1
70;set_4;HY-19519A;PLATE_525;Clinical;G07;atoms 25 bonds 24;<rdkit.Chem.rdchem.Mol object at 0x000002137428B190>;C[C@@H](C(=O)[N-]S(C)(=O)=O)c1ccc(OS(=O)(=O)C(F)(F)F)cc1.[Na+]
71;set_4;HY-100459;PLATE_525;Clinical;H07;atoms 33 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x000002137428B200>;CCOc1cc(=O)[nH]cc1-c1ccc(CC(=O)Nc2cc(C(C)(C)C(F)(F)F)on2)c(F)c1
72;set_4;HY-15252;PLATE_525;Clinical;I07;atoms 31 bonds 30;<rdkit.Chem.rdchem.Mol object at 0x000002137428B270>;CC(C)Cc1ccc([C@@H](C)C(=O)NS(C)(=O)=O)cc1.NCCCC[C@H](N)C(=O)O
73;set_4;HY-19762;PLATE_525;Clinical;J07;atoms 26 bonds 28;<rdkit.Chem.rdchem.Mol object at 0x000002137428B2E0>;Cc1c(C(=O)Nc2ccc(CO)cc2)nnn1Cc1ccc(Cl)c(Cl)c1
74;set_4;HY-127105;PLATE_525;Clinical;K07;atoms 33 bonds 36;<rdkit.Chem.rdchem.Mol object at 0x000002137428B350>;CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1
75;set_4;HY-12472;PLATE_525;Clinical;L07;atoms 32 bonds 36;<rdkit.Chem.rdchem.Mol object at 0x000002137428B3C0>;COc1cn(-c2ccc(-n3cccn3)cc2F)nc(-c2ccnn2-c2ccccc2)c1=O
76;set_4;HY-15257;PLATE_525;Clinical;M07;atoms 25 bonds 27;<rdkit.Chem.rdchem.Mol object at 0x000002137428B430>;COC(=O)N1CC[C@@H]2[C@H]1CCC[C@@]2(O)C#Cc1cccc(C)c1
77;set_4;HY-15676;PLATE_525;Clinical;N07;atoms 45 bonds 48;<rdkit.Chem.rdchem.Mol object at 0x000002137428B4A0>;COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F
78;set_4;HY-50845;PLATE_525;Clinical;O07;atoms 35 bonds 37;<rdkit.Chem.rdchem.Mol object at 0x000002137428B510>;NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1
79;set_4;HY-100527;PLATE_525;Clinical;P07;atoms 11 bonds 12;<rdkit.Chem.rdchem.Mol object at 0x000002137428B580>;OB1OCc2cc(Cl)ccc21
80;set_4;HY-135981;PLATE_525;Clinical;A08;atoms 24 bonds 27;<rdkit.Chem.rdchem.Mol object at 0x000002137428B5F0>;Oc1ccc(-c2cc(OC3CCCC3)c3ccccc3n2)cc1O
81;set_4;HY-104042;PLATE_525;Clinical;B08;atoms 29 bonds 30;<rdkit.Chem.rdchem.Mol object at 0x000002137428B660>;C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F
82;set_4;HY-119824;PLATE_525;Clinical;C08;atoms 17 bonds 17;<rdkit.Chem.rdchem.Mol object at 0x000002137428B6D0>;O=P1(N(CCCl)CCCl)OCCCN1CCCl
83;set_4;HY-12069;PLATE_525;Clinical;D08;atoms 39 bonds 41;<rdkit.Chem.rdchem.Mol object at 0x000002137428B740>;Cc1ccc(C(=O)N(CCCN)[C@@H](c2oc3cc(Cl)ccc3c(=O)c2Cc2ccccc2)C(C)C)cc1.Cl
