SMILES	SMR_VSA6	C-024	BELi0	RASA	VSA_EState5	GATS2c	SLogP_VSA3	MATS1dv	H-047	SaasC	AATS5dv	Mor08u	HATS2u	ATSC2dv	GATS2s	GATS7se	Mor19m	observed	predicted
CC1=CCC(C(C)C)CC1=O	-0.93	-0.92	-0.71	0.56	0.69	-0.59	-0.59	0.94	-1.32	-0.7	-1.13	-0.07	0.43	-0.43	-0.64	-1.6	0.5	0.0	0.0
CC(C)CC(N)C(=O)NC(CCC(=O)O)C(=O)[O-]	-0.93	-0.92	0.14	-1.62	-1.46	-1.34	0.31	0.09	-1.17	-0.7	0.72	0.08	-0.1	0.59	-1.08	-0.11	0.17	0.0	0.0
CCOC(=O)c1cncn1C(C)c1ccccc1	-0.42	0.47	0.16	0.44	-0.2	0.97	-0.6	0.74	-0.24	0.16	0.0	0.07	0.23	0.28	-0.26	0.44	-0.05	0.0	1.0
COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1	0.55	1.02	0.14	-0.43	0.32	-0.13	0.01	-0.42	0.69	0.83	-0.16	0.34	-0.38	-1.02	0.35	-0.35	-0.45	1.0	1.0
C[C@H](CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21	1.57	1.02	0.16	1.25	0.2	2.47	-1.04	0.63	1.16	2.29	0.05	-0.07	-0.07	-0.26	-0.85	-0.27	-1.0	1.0	1.0
C=C1C(OC(=O)CC(C)C)CC(C(C)C)C2C1CC(=O)C2C(C)O	-0.93	-0.92	-0.71	0.02	0.25	-0.5	0.3	0.64	-0.86	-0.7	-0.5	1.12	-0.4	0.21	-0.47	0.4	0.9	0.0	0.0
N[C@@H]1C[C@H]1c1ccccc1	-0.93	0.47	0.14	0.97	0.26	-0.53	-1.04	-0.73	-0.55	0.05	-0.81	-0.81	0.71	-0.83	1.23	0.11	-0.26	0.0	0.0
C[C@@]12CCC3c4ccc(OS(=O)(=O)O)c(O)c4CCC3C1CCC2=O	-0.93	-0.37	-0.69	-0.39	0.44	-1.6	0.98	-1.05	-1.17	-0.01	-0.16	-0.55	-0.32	1.83	-1.65	0.51	0.7	0.0	0.0
NC(=O)NN=Cc1ccc([N+](=O)[O-])o1	-0.93	-0.37	0.23	-1.95	-0.16	-0.04	-1.04	-0.65	-1.17	-0.84	2.18	-0.55	1.19	-0.35	-0.8	0.52	-0.19	1.0	0.0
COC1=CC(=O)OC(CCc2ccc(OC)c(OC)c2)C1	0.73	-0.09	-0.71	-0.06	0.76	1.11	0.89	0.54	0.69	0.64	-0.47	0.06	0.13	-0.61	0.37	-0.81	-0.69	0.0	0.0
Cc1ccc(C)cc1	-0.93	0.19	-2.65	1.29	-0.04	0.01	-1.04	1.0	-0.86	0.72	-1.27	-0.33	1.69	-0.71	0.0	-2.05	-0.27	0.0	0.0
COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13	-0.38	-0.92	-0.7	-0.32	-0.14	-0.37	1.63	0.81	-0.7	-0.7	-0.1	-0.17	-0.35	0.13	-0.86	0.68	0.88	0.0	0.0
O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1	-0.93	1.3	-0.71	0.04	-0.37	-0.81	-0.59	-0.06	-0.24	0.77	0.01	-0.21	-0.41	0.44	-0.53	0.16	-0.81	0.0	0.0
CC(C)(C)NCC(O)COc1ccccc1C1CCCC1	0.09	0.19	0.14	0.72	0.69	0.59	-1.04	0.38	-0.08	0.5	-0.45	-0.05	-0.24	-0.59	0.8	1.0	0.12	1.0	1.0
CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2	0.17	1.3	0.28	1.07	0.76	2.18	0.18	0.84	1.32	2.24	0.88	-0.85	-0.07	0.05	1.21	0.11	-0.92	0.0	1.0
COc1cc(/C=C/C(=O)OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(OC5OC(CO)C(O)C(O)C5O)cc(O)c4c3=O)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)ccc1O	1.16	1.58	-0.69	-2.32	-1.72	0.21	1.62	-1.27	3.49	-1.87	1.44	-5.53	-0.56	-1.87	1.15	-0.09	-1.62	0.0	0.0
CCCC(=O)OC	-0.38	-0.92	-0.71	0.05	-0.1	0.44	-0.15	0.81	-1.01	-0.7	-1.26	-0.04	1.9	-0.24	-0.41	-2.05	-0.03	0.0	0.0
O=C(O)C(c1ccccc1)C1CCCCN1	-0.42	0.47	0.14	-0.05	-0.57	-0.86	-0.59	-0.52	-0.24	-0.22	-0.13	0.31	0.01	-0.36	-1.18	-0.05	0.13	0.0	0.0
COc1ccc([C@H](CN(C)C)C2(O)CCCCC2)cc1	1.23	0.19	0.14	0.9	0.44	1.03	-1.04	0.38	0.85	0.41	-0.61	0.77	-0.05	-0.74	0.87	-1.2	0.3	1.0	1.0
