SMILES	C-017	H-046	H-050	AATSC1dv	MATS4s	GATS3d	BELd0	nR_3_True_False_None_False	H6m	R7p	RDF030m	JGI2	JGI3	B02[N-O]	PNSA4	observed	predicted
CC1Cc2ccc(/C(O)=N/C(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1	-0.25	-0.75	0.23	0.15	0.75	-0.43	-0.54	0.3	1.15	-0.12	-0.45	-0.52	0.16	1.68	-0.75	0	1
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C	-0.25	-0.75	-0.13	0.62	1.1	1.75	1.04	-0.37	-0.43	0.69	0.13	0.42	0.68	1.68	0.48	1	1
CCCCN(CCCC)N=O	-0.25	0.0	-0.84	0.62	-0.52	-0.58	-1.06	-1.05	-0.71	-0.28	-1.01	-0.82	-0.88	1.68	0.97	0	0
CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	-0.25	-0.75	-0.84	0.6	0.78	0.36	1.04	0.3	2.26	0.32	0.39	-0.33	-0.43	-0.59	-0.29	1	1
O=C1NS(=O)(=O)c2ccccc21	-0.25	-0.75	-0.48	-2.53	1.66	0.19	1.06	-0.37	-0.73	-0.79	-0.86	0.62	2.78	1.68	-0.42	0	0
C/C=C(/C)C(=O)OC1C2=C(C)C(=O)O[C@]2(OC)CC2CCC(OC(=O)/C=C/SC)C(C)[C@]21C	1.34	0.6	-0.84	1.7	-0.56	1.64	1.04	0.3	0.09	0.75	1.21	0.82	0.73	-0.59	-0.1	0	0
C=C1C[C@]23CC1CCC2[C@@]12OC(=O)[C@@](C)(C(O)CC1O)C2C3C(=O)O	-0.25	0.15	0.23	0.24	0.11	0.43	1.08	1.65	0.45	0.21	1.07	0.83	1.79	-0.59	0.12	0	0
O=C(O)C(c1ccccc1)C1CCCCN1	-0.25	-0.6	-0.13	-0.45	1.09	0.04	-0.73	-0.37	-0.65	-0.02	-0.5	-1.02	0.38	-0.59	0.49	0	0
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NC(CO)CO	-0.25	0.82	0.23	-0.91	0.48	-0.85	-1.02	-1.05	-0.3	-0.09	-0.25	-1.92	-1.37	1.68	0.38	0	0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1	-0.25	-0.67	-0.48	0.71	-0.34	0.31	-0.54	0.3	0.37	0.51	-0.13	-0.58	-0.09	-0.59	-0.43	1	1
BrCCBr	-0.25	-0.75	-0.84	-1.69	-0.12	-4.78	-3.0	-1.05	-0.73	-0.78	-0.94	0.62	-2.76	-0.59	0.84	0	0
O=C(CO)C(O)C(O)C(O)COP(=O)(O)O	1.34	-0.75	1.3	-3.89	-0.79	-0.56	1.04	-1.05	0.43	-0.3	-0.27	1.13	0.38	-0.59	-1.6	0	0
CNC(=O)Oc1cccc2c1OC(C)(C)C2	-0.25	-0.75	-0.48	1.84	-0.08	-1.27	1.02	-0.37	-0.58	-0.21	-0.72	-0.39	0.9	1.68	0.45	1	1
NC(Cc1ccc(O)c(Cl)c1)C(=O)O	-0.25	-0.75	0.59	-0.81	-1.16	-0.95	-0.75	-0.37	-0.53	-0.34	-0.58	0.43	-0.49	-0.59	-0.65	0	0
CSCCC(N)C(=O)NC(CC(C)C)C(=O)O	-0.25	-0.22	0.59	0.36	-0.68	-0.68	-0.85	-1.05	-0.18	-0.04	-0.41	0.26	0.06	1.68	0.11	0	0
CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1	-0.25	-0.75	0.23	0.18	0.42	-0.62	-0.52	0.3	0.3	0.06	0.07	-0.47	0.04	1.68	-1.14	1	1
CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21	-0.25	-0.3	-0.48	0.56	-0.58	0.21	1.04	0.3	0.21	0.19	-0.23	-0.07	-0.69	-0.59	0.08	0	1
CC(=O)OCCC(C)CCC=C(C)C	1.34	0.3	-0.84	0.24	0.29	-0.63	-1.02	-1.05	-0.44	-0.11	-0.42	-0.58	-0.14	-0.59	0.8	0	0
O=C(O)CNC(=O)C1CCCN1	-0.25	-0.75	0.23	-0.15	-1.01	-0.63	-0.88	-1.05	-0.66	-0.42	-0.76	-0.1	-0.92	1.68	0.17	0	0
O=[N+]([O-])OC1COC2C(O)COC12	-0.25	-0.75	-0.48	-0.38	-0.48	-0.45	-0.75	-1.05	-0.72	-0.64	-0.74	-0.1	0.2	-0.59	-0.36	1	0
CCCCCCC(=O)CCO	1.34	0.07	-0.48	-0.67	1.39	-0.64	-1.04	-1.05	-0.7	-0.41	-0.79	-0.82	-0.67	-0.59	0.9	0	0
COCCc1ccc(OCC(O)CNC(C)C)cc1	-0.25	-0.75	-0.13	-0.16	0.23	-1.14	-1.0	-0.37	-0.4	-0.18	-1.04	-0.79	-1.86	-0.59	0.55	0	0
C=C(C)C1CC=C(C)CC1	-0.25	0.22	-0.84	-0.36	-0.08	0.71	-0.88	-0.37	-0.72	-0.56	-0.9	0.34	-0.48	-0.59	1.03	1	0
