SMILES	ATSC6dv	X3sol	VSA_EState3	X2sol	PEOE_VSA8	H-050	GATS1c	SLogP	observed	predicted
CCOC(=O)CS	0.78	-0.55	-0.55	-0.74	-0.82	0.85	0.67	-1.14	2.6336199272367296	2.635141686893832
Cc1cccc(C)c1C(=O)O	2.04	0.35	1.34	0.29	-0.82	0.85	0.63	-0.18	2.7385030920054088	2.7335196761181817
COc1ccccc1-c1ccccc1	-0.49	1.12	-0.55	0.66	0.05	-0.53	-0.68	0.68	2.738106403558114	2.7391540920899766
FC(F)(Cl)CCl	0.1	-0.95	-1.24	-1.22	-0.82	-0.53	1.48	-0.15	2.50508211450511	2.4887893738694564
Cc1ccc(O)c(Cl)c1C	0.08	0.84	1.51	0.23	-0.82	0.85	-0.03	0.24	2.663842212973794	2.701165241352734
Cc1cccc(/N=C/c2ccccc2)c1	-0.23	1.12	-0.55	0.99	0.16	-0.53	-0.9	0.92	2.769488101355888	2.7714383118288253
COc1cccc(S)c1	0.45	0.06	-0.55	-0.07	-0.05	0.85	-0.55	-0.19	2.696924008405422	2.6916204534640005
C#CC(C)(C)O	0.1	-0.99	1.31	-0.55	-0.82	0.85	0.47	-1.2	2.576514112051963	2.5875471747442034
Oc1c(F)c(F)c(F)c(F)c1F	-0.24	-0.51	1.24	-0.63	-0.82	0.85	-0.83	-0.13	2.6219548200449014	2.6544230988546795
Brc1cccc(I)c1	0.1	0.41	-0.55	0.62	0.44	-0.53	-1.03	0.48	2.720283369820714	2.706521306221261
CC(C)CCO[N+](=O)[O-]	-1.54	-0.7	1.35	-0.18	-0.82	-0.53	1.75	-0.66	2.622369470494735	2.6364607270544376
Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F	-0.07	-0.28	-0.55	-0.34	-0.82	2.23	0.45	0.35	2.661954588653016	2.6694417674719917
CCCC(C)N	0.29	-1.1	-0.55	-0.9	0.13	2.23	1.44	-0.73	2.562471304977469	2.5455112586410773
CCCCCCCCCCCCCCCCCCCCCC	0.08	1.24	-0.55	1.53	-0.82	-0.53	0.51	4.13	2.807365877343481	2.805757364393695
O=C(Cc1ccccc1)c1ccccc1	-0.67	1.2	-0.55	0.95	1.06	-0.53	-1.3	0.52	2.773164534737837	2.7654716499369214
Cc1cnc(C)cn1	0.29	-0.28	-0.55	-0.34	1.12	-0.53	-0.71	-0.76	2.631595948357801	2.6494995571480606
Brc1sc(Br)c(Br)c1Br	0.1	3.72	-0.55	1.78	-0.82	-0.53	0.1	1.59	2.777535563653136	2.771379651248018
CC(C)C(C)O	0.1	-0.83	1.32	-0.75	-0.82	0.85	0.14	-0.8	2.5856299021972218	2.589080043031787
CCOc1cccc(N(CC)CC)c1	-1.58	0.83	-0.55	0.5	3.07	-0.53	0.01	0.41	2.7475283292345005	2.7350233063000764
C/C=C/CC	0.23	-1.19	-0.55	-1.28	-0.82	-0.53	-0.2	-0.2	2.4911982189110766	2.481571340775073
CC(C)CCOC(=O)CC(C)C	-0.84	-0.25	-0.55	0.45	0.19	-0.53	0.79	0.21	2.6660965854124314	2.6692920930698705
CC1CCCCC1C	0.27	-0.14	-0.55	-0.4	-0.82	-0.53	0.41	0.34	2.6021142747455572	2.602706981351848
CCCCCCCCS	0.06	-0.52	-0.55	-0.5	-0.82	0.85	-0.04	0.62	2.674171966593871	2.667268772199223
CCCC(C(C)=O)C(=O)OCC	-1.91	0.09	-0.55	0.17	-0.82	-0.53	0.24	-0.46	2.6964874437507436	2.6966713776663758
O=C1OC(=O)c2ccccc21	-0.49	0.74	-0.55	0.33	-0.82	-0.53	0.64	-0.82	2.7544630110138644	2.7274002527417704
CCCCCCCCCCCCCCCCC1CCCCC1	0.1	1.66	-0.55	1.78	-0.82	-0.53	0.3	3.89	2.818324885632445	2.8176147057089316
CCCCCCCOC(=O)CCCCCCC	-0.24	0.61	-0.55	0.83	0.19	-0.53	0.76	1.63	2.751009511337491	2.738565999880255
CCCC=C(C)C	0.18	-0.95	-0.55	-0.73	-0.82	-0.53	-0.28	0.29	2.566496415535762	2.5625832784571774
CCOS(=O)(=O)OCC	0.45	-0.0	-0.55	0.42	-0.82	-0.53	3.0	-1.26	2.6822804901301343	2.6680371162287257
CC(C)CCCC(C)O	-0.12	-0.7	1.37	-0.18	-0.82	0.85	0.12	-0.06	2.650453235088312	2.6450243498766333
CCOC(=O)C(CC)(CC)C(C)=O	0.89	0.79	-0.55	0.32	-0.82	-0.53	0.32	-0.22	2.6894420578616383	2.6990613077359478
Cc1c(C)n(C)c2ccccc12	1.12	1.2	-0.25	0.51	2.88	-0.53	0.14	0.32	2.745191941557655	2.7437924091584707
C=Cc1ccccc1Br	0.33	0.45	-0.55	0.04	-0.12	-0.53	-0.75	0.51	2.6833622828602843	2.6663373232239396
CCC(O)C(C)C	0.44	-0.58	1.38	-0.69	-0.82	0.85	0.18	-0.55	2.6016798173058957	2.61781839275165
OCC(F)(F)C(F)(F)F	0.1	-1.31	1.06	-1.45	-0.82	0.85	1.04	-0.7	2.550411819008074	2.561032148220978
CCCCCCCCCCCCCCCCCCCCCCCC	0.08	1.53	-0.55	1.86	-0.82	-0.53	0.5	4.63	2.8224623057586706	2.812042516587606
C=COC	0.1	-1.31	-0.55	-1.45	-0.82	-0.53	-0.63	-0.96	2.445059047392219	2.4466760216289147
CCc1ccccc1	0.28	-0.28	-0.55	-0.55	-0.82	-0.53	-1.16	-0.03	2.611988688083979	2.6077669556338563
O=[N+]([O-])c1ccc(F)cc1	0.94	-0.11	1.61	-0.21	1.08	-0.53	-1.64	-0.35	2.679564160112239	2.6748357092190047
CCCCCCCCCCCS	0.07	-0.09	-0.55	-0.01	-0.82	0.85	0.01	1.36	2.7247263188704327	2.731992394914395
c1ccc(-c2ncc[nH]2)cc1	0.03	0.53	-0.55	0.16	1.99	0.85	0.49	-0.13	2.7875667325987648	2.76867343331848
CC(C)c1cccc2ccccc12	-0.29	0.97	0.04	0.68	-0.82	-0.53	-0.95	1.06	2.733317662782867	2.7362794650538036
Cc1ccc[nH]c1=O	0.44	-0.14	-0.55	-0.4	1.02	0.85	0.94	-1.02	2.749852215000048	2.744788359998923
CCC1=CCCCC1	0.34	-0.28	-0.55	-0.55	-0.82	-0.53	-0.6	0.38	2.61294271588699	2.6090457269861016
CCC(Br)C(C)Br	0.21	0.56	-0.55	0.09	0.69	-0.53	-0.37	0.41	2.6543209617036787	2.6823962417634672
C1CCC2NCCC2C1	0.48	0.24	0.22	-0.17	0.13	0.85	0.37	-0.48	2.6614813978436156	2.6796618906457867
CCc1ccccc1CC	0.78	0.19	-0.55	-0.22	-0.82	-0.53	-0.81	0.33	2.660058724103915	2.6511864873143827
BrCCC1CCCCC1	0.2	-0.04	-0.29	-0.14	0.02	-0.53	-0.83	0.67	2.68587603571674	2.678813105058505
