SMILES;Name;Cluster;Center
Nc1ccc(N=Nc2ccc(N=Nc3cc(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])ccc34)c3ccccc23)c2ccccc12;CNP0070158;659;No
O=C1OC(=O)C2C(c3ccccc3)C=CC(c3ccccc3)C12;CNP0245896;659;No
NC(=O)c1c(-c2ccccc2)nn(-c2ccccc2)c1N;CNP0058926;659;No
CC1=Nc2nn(-c3ccccc3)c(O)c2C(=O)CC1;CNP0051937;659;No
ON=C(CC(NO)c1ccccc1)c1ccccc1;CNP0063331;659;No
CC(=O)c1c(Cc2ccccc2)nc(O)c2cccn12;NPC472259;659;No
O=c1[nH]c(=O)c(-c2ccc(CO)o2)c2[nH]c3ccccc3cc1-2;CNP0353556;659;No
Clc1ccc(N2N=CCC2c2ccccc2)cc1;CNP0051299;659;No
CC(C)(COCc1ccccc1)C(O)CC(O)CO;CNP0315040;659;No
Brc1ccc(-c2cn3c(n2)sc2ccccc23)cc1;CNP0022928;659;No
O=C1c2ccccc2-c2[nH]c(=O)cc(CO)c21;CNP0124442;659;No
BrCc1cc(-c2ccccc2)no1;CNP0101676;659;No
CC(O)(c1ccccc1)C(C)(O)c1ccccc1;CNP0372409;659;No
Nc1ccc(-c2ccc3nn(-c4ccccc4)nc3c2)cc1;CNP0392556;659;No
O=S(=O)([O-])c1ccc(N=Nc2c(NNc3ccccc3)ccc3ccccc23)cc1;CNP0294150;659;No
c1ccc2cc3c(ccc4c5ccccc5ccc34)cc2c1;CNP0132828;659;No
CCOP(=O)(OCC)c1ccccc1OCOC;CNP0177724;659;No
O=C(O)CN=C(O)CCc1ccccc1;NPC325441;659;No
c1ccc2ncncc2c1;CNP0141742;659;No
Nc1c(Br)cc(Br)cc1C(O)c1ccccc1;CNP0204234;659;No
O=C1OCCC1Sc1nc([O-])c2ccccc2n1;CNP0031407;659;No
CC(C)(C)CC(C)(C)c1ccccc1O;['NPC152415',;659;No
CSc1nc(NCc2ccccc2)n2ncc(C(C)C)c2n1;CNP0278863;659;No
[O-][n+]1ccccc1-c1cccc[n+]1[O-];CNP0204992;659;No
C(=Cc1nn2c(COc3ccccc3)nnc2s1)c1ccccc1;CNP0041168;659;No
CN(C(=O)c1ccccc1C=Cc1ccccc1C(=O)N(C)c1ccc(Br)cc1)c1ccc(Br)cc1;CNP0031607;659;No
N#Cc1ccccc1CBr;CNP0046063;659;No
CC1=CC(Cc2ccccc2)C(C(C)(C)O)CC1O;CNP0101003;659;No
O=C(CCCCc1ccccc1)C1=C(O)CCCC1=O;CNP0319809;659;No
Cc1ccccc1Nc1nc2ccccc2c(=O)o1;CNP0101971;659;No
CCN(CC)c1ccc(C2C3(OC(c4ccccc4)C24C(=O)c2ccccc2C4=O)C(=O)c2ccccc2C3=O)cc1;CNP0397978;659;No
S=P1(Oc2ccccc2)N2CCCCN2P(=S)(Oc2ccccc2)N2CCCCN21;CNP0285871;659;No
N#CC1=C(N)Oc2c(oc(CO)cc2=O)C1c1ccnc2ccccc12;CNP0024419;659;No
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)O)c3)C=C2)c2ccccc2S(=O)(=O)O)cc1;CNP0308354;659;No
CCCC1NC(=O)C(CCC)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC1=O;CNP0237957;659;No
O=C(CCO)CCc1ccccc1;CNP0150058;659;No
CC(O)c1c2ccccc2cc2ccccc12;CNP0214654;659;No
Cc1ccccc1C(O)=NCC(=O)O;['CNP0079825',;659;No
Cc1nc(-c2ccccc2)nc2c1C1C(C2)C1(C)C;CNP0342649;659;No
OC(CC1CCCC(CC(O)c2ccccc2)N1)c1ccccc1;CNP0337534;659;No
O=C1C(=Cc2ccccc2)N=C(Cc2ccccc2)C(=O)N1O;CNP0319189;659;No
O=CNCc1ccccc1;CNP0021384;659;No
O=C(NNC(=O)c1cc2cc(Br)ccc2oc1=O)c1ccccc1I;CNP0010078;659;No
CC1(C)C(=O)OC(C=Cc2ccccc2)C(C)(C)C1=O;CNP0221260;659;No
O=C([O-])c1ccco1;CNP0028785;659;No
Nc1ccc(-c2ccc(N)c(C(=O)O)c2)cc1C(=O)O;CNP0354877;659;No
O=C(O)Cc1c[nH]c2c(Cl)cccc12;CNP0268467;659;No
Brc1ccccc1C(=NNc1cccc2ccccc12)c1ccccc1;CNP0059408;659;No
CC12CCC(C(=O)O)(c3nc4ccc5ncccc5c4nc31)C2(C)C;CNP0374448;659;No
O=C1CC(c2ccccc2)NCCCNCCCCNCCCN1;CNP0269379;659;No
CSCCC(CO)NC(=O)CCCc1nc2ccccc2c(=O)[nH]1;CNP0407438;659;No
CC1=Nc2scc(C)c2C(O)(c2ccccc2)N1N;CNP0061856;659;No
N=c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N)cc3oc-2c1;CNP0262352;659;No
O=C(O)CC1C2C=CC3C(c4ccccc4)C=CC4CC1C2C43;CNP0186005;659;No
Brc1ccc2n(-c3ccccc3)nc3ccccc3c1-2;CNP0174433;659;No
BrC(=NNc1ccccc1)c1ccccc1;CNP0186503;659;No
c1ccc2c(c1)c1cccc3c4cccc5ccc6ccc2c(c13)c6c54;CNP0307259;659;No
Clc1ccc(C2N(c3ccccc3)CCN2c2ccccc2)cc1;CNP0033897;659;No
CC1(C(O)c2ccccc2)C=CCCC1;CNP0059152;659;No
Cc1nn(C(=S)NCc2ccccc2)c2c1C1C(C2)C1(C)C;CNP0369557;659;No
CC(=O)OC1=NN(c2ccccc2)CC1;CNP0150521;659;No
CC1Oc2ccccc2C=C1C=O;CNP0411831;659;No
O=C1NC(C(F)(F)F)=CC(c2ccccc2)N1;CNP0060721;659;No
NC(=S)NN=C(C(=S)Nc1ccc(Cl)cc1)c1ccccc1;CNP0029607;659;No
CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21;CNP0340366;659;No
CC(N)(CC(=O)c1ccccc1N)C(=O)O;CNP0347020;659;No
Clc1ccc(C=NNc2ccccc2)cc1Cl;CNP0070167;659;No
COSC(=O)c1cccc(C(=O)SC)n1;CNP0210099;659;No
