SMILES	SLogP	EEig02d	VSA_EState2	ATSC8dv	FPSA4	VSA_EState9	ATSC8c	ATSC8se	F08(O-O)	H-051	observed	predicted
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1	-0.62	0.2	1.17	0.19	-0.51	-0.18	-0.01	0.12	-0.28	-0.63	1.44	1.4120528344097654
Nc1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1	1.08	-0.24	-1.07	0.44	0.07	-0.18	2.92	0.68	-0.28	-0.63	3.16	3.907107953531285
Clc1cc(Cl)c2oc3c(Cl)ccc(Cl)c3c2c1Cl	2.93	0.25	-1.07	0.6	-1.86	-0.18	0.01	0.17	-0.28	-0.63	6.59	6.5739766147150505
O=C(Nc1ccc(Cl)cc1[N+](=O)[O-])c1cc(Br)cc(Br)c1O	1.61	0.49	0.75	0.35	-1.28	-0.18	0.8	0.04	1.55	-0.63	5.05	4.603740694657636
NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1	-1.19	-0.03	0.51	0.04	1.51	-0.18	-1.06	-0.21	-0.28	-0.06	0.23	-0.2999094208832748
CCOC(=O)/C(C#N)=C/c1ccccc1	0.02	-0.14	-0.16	-0.29	-0.32	-0.18	-0.33	-0.08	-0.28	-0.63	2.43	2.60572259004685
CC1=CCC2C(C1)C2(C)C	0.54	-0.16	-1.07	0.19	-1.57	-0.18	-0.01	0.12	-0.28	-0.63	4.38	3.70728207474644
c1nc(N2CCOCC2)c2sccc2n1	-0.37	-0.1	-0.19	0.51	0.45	-0.18	-0.12	0.07	-0.28	-0.63	1.65	1.6621150232171624
COc1cc(Cc2cnc(N)nc2N)ccc1C	-0.35	-0.19	-0.43	-1.18	0.93	0.69	-1.72	-0.26	-0.28	-0.63	2.14	1.6847556431990094
CC(C)CC1=Nc2cc(Cl)ccc2S(=O)(=O)N1	0.36	0.01	-0.71	0.04	-0.89	-2.02	0.09	0.48	-0.28	0.51	2.35	2.019592580351486
COc1ccc(Cc2cnc(N)nc2N)cc1C(C)C	0.15	-0.19	-0.43	-0.6	0.64	0.71	2.65	1.08	-0.28	-0.63	2.79	2.462051981589883
CCCC(=O)Nc1ccccc1	0.19	-0.67	-0.17	0.41	-0.41	-0.18	0.0	0.28	-0.28	0.51	2.05	2.316186171460542
O=c1[nH]c2cc(Cl)c(Cl)c([N+](=O)[O-])c2[nH]c1=O	-0.43	0.41	1.87	0.19	-1.09	-0.18	-0.01	0.12	-0.28	-0.63	0.21	2.014305008333938
COc1ccc(CCNCC(O)COc2ccc(-c3nc(C)c(C)[nH]3)cc2)cc1OC	0.72	0.16	-0.44	0.12	0.45	1.53	-1.61	-0.33	-0.28	2.79	3.22	2.9188930461402864
CC(C)(C)C(COc1ccc(F)cc1)OC(=O)n1ccnc1	0.85	0.5	0.21	1.25	0.16	-0.18	0.34	1.23	-0.28	-0.63	3.68	3.435880850605429
O=C(Nc1ccccc1)Oc1ccccc1	0.73	-0.36	-0.15	0.0	-0.22	-0.18	0.07	0.34	-0.28	-0.63	3.3	3.48294787391849
CON(C)C(=O)Nc1ccc(C2CCCCC2)cc1	1.01	-0.11	0.26	-0.1	-0.22	1.42	0.23	0.08	-0.28	-0.63	4.08	3.593591188213326
CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-]	0.99	-0.02	0.65	-2.78	-0.51	-0.18	-0.8	-2.85	-0.28	-0.63	5.2	4.100379851686922
N=C(N)NC(=O)Nc1ccc(Cl)cc1	-0.47	-0.21	-0.18	0.43	0.64	-0.18	-0.64	-0.02	-0.28	-0.63	1.78	1.3935757007610206
COc1ccc(-c2cn3cc(N)cnc3n2)c(OC)c1	-0.08	-0.13	-0.37	-0.07	1.79	1.52	1.57	0.62	-0.28	-0.63	1.68	1.2623207296037031
CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(N)=O	-0.91	0.31	1.83	0.75	0.55	-0.18	2.61	1.71	1.55	2.22	0.54	-0.13935033769791497
CCOc1ccccc1NC(=O)OC1C(CN(CC)CC)C2CCC1(C)C2(C)C	2.04	0.18	0.17	-0.09	-0.41	-0.18	0.46	-0.4	-0.28	-0.63	5.8	5.556214515585692
O=S(=O)(Nc1cccc(C(F)(F)F)c1)C(F)(F)F	0.52	1.14	-1.07	1.47	-1.47	-3.2	1.09	5.13	-0.28	-0.63	4.5	4.44244223787781
CCOC(=O)c1ccccn1	-0.53	-0.87	0.12	0.81	0.55	-0.18	0.07	0.46	-0.28	-0.63	0.87	1.3540886405880643
O=c1[nH]c(=O)n(C2CC(F)C(CO)O2)cc1Br	-1.36	0.53	0.92	0.07	0.55	-0.18	-0.94	0.12	-0.28	-0.63	-0.04	-0.05233115990997793
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)CCl	1.7	1.39	1.97	-0.34	-0.61	-0.18	0.2	0.27	0.63	1.65	3.9	4.431643075635567
O=C(NC1CC1)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-]	-0.56	0.08	1.71	-3.58	0.35	-0.18	-1.23	-3.44	-0.28	-0.63	0.74	1.1534510085211154
C[n+]1cccc(Br)c1	-0.52	-1.78	-1.07	0.19	2.66	0.87	-0.01	0.12	-0.28	-0.63	-2.91	-1.0160735691928515
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1	0.15	0.28	0.82	-2.12	0.16	-0.18	0.76	-0.62	-0.28	2.22	1.71	2.21568837239319
COc1ccccc1C(N)=O	-0.82	-1.07	-0.2	0.19	1.31	0.61	-0.01	0.12	-0.28	-0.63	0.86	0.8258617619560749
Cc1ncc([N+](=O)[O-])n1C	-0.92	-0.17	0.02	0.19	1.12	0.67	-0.01	0.12	-0.28	1.08	0.31	0.16747158240259102
C=C(C)C1CC=C(C)C(O)C1	0.1	-0.36	-1.07	0.6	-0.8	-0.18	0.08	0.25	-0.28	-0.63	3.12	2.5558429182959466
COC(=O)c1ccc(NC(C)=O)cc1	-0.43	-0.58	0.68	0.15	0.74	0.52	0.99	1.24	1.55	1.08	1.79	1.2357837202098607
OCC1OC(Oc2ccc(I)c(OC3OC(CO)C(O)C(O)C3O)c2I)C(O)C(O)C1O	-3.01	0.46	-1.07	-0.42	1.12	-0.18	-0.1	-0.14	2.46	-0.63	-1.31	-1.420267040145965
C=CCNC(=O)N(CCCC(NC(C)=O)C(=O)NCc1ccccc1)Cc1ccccc1	0.53	0.02	2.04	1.77	-0.03	-0.18	0.35	1.71	0.63	1.65	1.44	2.5735203606029295
N=C(N)N/N=C/c1ccc(Cl)c([N+](=O)[O-])c1	-0.65	-0.12	-0.26	0.61	0.16	-0.18	-1.08	-0.1	-0.28	-0.63	0.53	0.9272828482963461
Cc1ccc(C(=O)N(C(C)C)C(C)C)cc1	0.7	-0.05	0.07	-0.17	-0.89	-0.18	0.15	0.28	-0.28	-0.63	2.5	3.3037879572343027
CC(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(N)=O)C(C)C	-1.39	0.32	2.78	-1.24	0.64	-0.18	1.92	0.5	1.55	2.79	0.06	-0.6811577355857045
COc1ccc(C2Cc3cc(C(F)(F)F)ccc3N(CCN(C)C)C(=O)C2NC(C)=O)cc1	0.82	0.27	1.27	2.05	-0.22	2.57	2.51	3.66	0.63	1.65	3.6	3.9208563768187217
CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]	1.01	1.14	0.72	-1.9	-0.7	-2.29	0.42	-3.21	-0.28	-0.63	2.9	3.8714859674467794
Cc1nonc1C	-0.89	-0.37	-1.07	0.19	-1.47	-0.18	-0.01	0.12	-0.28	2.79	0.71	0.198713600279728
CCCCOCCNc1ccccc1C(N)=O	-0.07	-1.05	-0.17	-0.39	0.35	-0.18	-0.72	-0.15	-0.28	-0.63	2.27	2.144252541405906
CCSCC	-0.22	-2.39	-1.07	0.19	-1.66	-0.18	-0.01	0.12	-0.28	-0.63	1.95	1.9383559851377514
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccccc1	-0.29	0.8	1.96	0.9	0.83	-1.66	-1.44	-0.05	1.55	-0.06	1.04	1.072914318851353
CCCc1ccc(O)cc1	0.14	-0.9	-1.07	-0.05	-0.41	-0.18	-0.22	-0.17	-0.28	-0.63	3.2	2.5818535884146505
CC(C)c1csc(-c2ccc(C(C)C(=O)O)cc2Cl)n1	1.64	0.35	0.19	0.31	-0.61	-0.18	1.51	0.46	-0.28	0.51	4.78	4.402962242068405
CC(=O)c1ccc(C)cc1	0.05	-0.18	-0.2	0.7	-1.18	-0.18	0.03	0.25	-0.28	1.08	2.1	2.0707716298897365
NNC(=O)c1ccc2c(c1)OCO2	-1.3	0.17	-0.18	0.07	1.51	-0.18	-0.44	-0.27	-0.28	-0.63	1.16	0.1473854524781173
COc1ccc(C2Cc3c(cccc3C(F)(F)F)N(CCN(C)C)C(=O)C2OC(C)=O)cc1	1.09	0.39	1.24	0.34	-0.03	2.51	0.17	-0.46	0.63	1.65	4.9	4.28213211998092
CC1CN(CC2CN=C(N)O2)CC(C)O1	-1.43	-0.2	-0.55	-0.25	1.03	-0.18	1.3	0.46	-0.28	-0.63	0.16	-0.11036354493355993
Clc1cc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl	4.47	0.65	-1.07	0.41	-2.24	-0.18	-0.04	0.16	-0.28	-0.63	8.07	7.75661760707154
Clc1ccc(Oc2cc(Cl)ccc2Cl)cc1	2.05	-0.07	-1.07	0.48	-1.57	-0.18	-0.05	0.24	-0.28	-0.63	5.66	5.923590937845507
O=C(O)c1ccc(Br)cc1	0.02	0.08	-0.24	0.19	-0.7	-0.18	-0.01	0.12	-0.28	-0.63	2.86	2.297995573998707
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1	2.38	0.04	-1.07	0.29	-2.14	-0.18	-0.11	-0.05	-0.28	-0.63	5.84	6.300699222208775
CCCN(C)N=O	-0.69	-1.93	-0.3	0.19	-0.8	0.7	-0.01	0.12	-0.28	-0.63	0.56	0.8636342401664072
Oc1cc(O)cc(O)c1	-0.81	-1.0	-1.07	0.19	3.71	-0.18	-0.01	0.12	-0.28	-0.63	0.16	-0.445878852215452
O=C1C=C(N2CC2)C(=O)C=C1N1CC1	-1.6	0.82	1.11	0.32	1.31	-0.18	0.15	0.27	-0.28	0.51	0.18	-0.5609460917521958
CCNC(=O)c1cccn1C	-0.83	-1.16	-0.17	1.0	0.64	0.8	0.1	0.46	-0.28	-0.63	1.09	1.2392364029322025
O=[N+]([O-])c1ccc2ccccc2c1	0.39	0.34	-0.26	-0.26	-0.99	-0.18	-0.18	-0.23	-0.28	-0.63	3.24	3.191198260602026
Fc1ccc(SCc2ccc(CCCN3CCOCC3)cc2)cc1	1.4	0.47	-0.78	0.57	-0.89	-0.18	0.27	0.41	-0.28	-0.63	3.51	4.208767948697338
Clc1c(Cl)c(Cl)c2[nH]nnc2c1Cl	0.9	-0.28	-1.07	0.19	-2.05	-0.18	-0.01	0.12	-0.28	-0.63	4.17	4.144048033946699
COC1CC(OC2CCC3(C)C2CCC2C3CCC3(C)C(C4=CC(=O)OC4)CCC23O)OC(C)C1O	1.01	1.25	-0.12	0.22	-0.13	0.68	-0.61	-0.53	-0.28	-0.06	2.37	3.0985549540364667
O=c1cnc2ccccc2[nH]1	-0.74	0.01	0.33	0.19	0.16	-0.18	-0.01	0.12	-0.28	-0.63	0.8	0.9473109264770336
O=NN(CCCl)C(=O)NC1C(O)OC(CO)C(O)C1O	-2.72	0.34	0.71	-1.01	1.41	-0.18	1.61	0.2	1.55	-0.63	-0.66	-1.49337450052161
O=NN(CCCl)C(=O)NC1CS(=O)(=O)CS(=O)(=O)C1	-1.87	3.99	0.69	1.22	-0.32	-4.17	-0.12	-0.17	3.37	-0.63	-0.94	-0.08516461056652494
CCC1(C)C(=O)NC(=O)NC1=O	-1.45	0.05	1.59	0.19	0.45	-0.18	-0.01	0.12	-0.28	-0.63	0.08	0.14375394487883605
c1ccc2c(c1)Cc1cccnc1-2	0.33	-0.46	-0.71	0.45	-1.09	-0.18	0.06	0.16	-0.28	-0.63	2.96	2.745847176924419
Nc1cccc2nccnc12	-0.56	-1.13	-0.41	0.19	0.93	-0.18	-0.01	0.12	-0.28	-0.63	1.29	1.1841640356409582
Cc1ccc(S(=O)(=O)CC(=O)c2ccccc2)cc1	0.33	1.02	-0.09	-0.28	-0.89	-2.07	-0.02	0.19	-0.28	0.51	2.45	2.3927276526885524
Cc1nc2ccccc2c(=O)n1CC(=O)NNc1ccccc1	-0.17	0.23	1.26	0.21	0.16	-0.18	0.22	-0.36	-0.28	2.22	1.34	1.5066050436693381
Clc1cc(Cl)c2c(c1)oc1cc(Cl)cc(Cl)c12	2.52	0.11	-1.07	0.45	-1.57	-0.18	-0.03	0.1	-0.28	-0.63	6.34	6.574905176156255
CCC1OCC(COc2ccc(Oc3ccccc3)cc2)O1	1.17	-0.05	-1.07	-0.18	0.07	-0.18	0.71	0.5	0.63	-0.63	4.35	4.1755469338688975
c1ccc(Nc2ccccc2)cc1	0.81	-0.67	-1.07	0.38	-0.8	-0.18	0.02	0.16	-0.28	-0.63	3.5	3.502187632401621
CCCCCCCCCCc1ccccc1	2.01	-0.86	-1.07	0.16	-1.38	-0.18	-0.01	0.12	-0.28	-0.63	7.35	6.868981090899002
CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl	1.39	0.39	-0.16	-0.6	-0.51	-0.18	0.23	0.92	-0.28	0.51	4.81	4.4530513145046715
CC(C)C(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)O	-0.56	0.27	1.91	0.41	0.35	-0.18	2.37	1.08	2.46	1.08	-1.37	-0.12869777286195108
CCCCNC(=N)NC(=O)c1ccc(Cl)cc1	0.17	-0.33	-0.13	-0.47	-0.32	-0.18	0.88	0.86	-0.28	-0.63	3.08	2.9111528094850727
N#CCN	-1.64	-3.27	-1.07	0.19	0.74	-0.18	-0.01	0.12	-0.28	0.51	-1.37	-1.2333181702096199
CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1	1.65	-0.2	0.36	-1.56	-1.09	-0.18	0.09	-0.39	-0.28	0.51	4.85	4.607578576037709
O=C1CC(Sc2ccc(Cl)cc2)N1	0.1	1.59	-0.12	0.12	-0.99	-0.18	-0.48	-0.71	-0.28	0.51	2.31	2.2352193458240706
CC(=O)NN1CC=CCC1	-1.13	-0.88	-0.22	0.33	0.35	-0.18	0.02	0.19	-0.28	1.08	0.52	-0.16299272446269777
CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc31)C2(C)C	0.68	0.79	-0.86	1.31	-0.7	-0.18	0.36	0.56	-0.28	-0.63	3.82	3.1265967735221194
COC(=O)/C(C#N)=N/Nc1cc(C(F)(F)F)ccc1Cl	0.43	1.0	-0.18	0.17	-0.32	0.36	-3.25	-1.8	-0.28	-0.63	4.42	3.426811788185073
c1ccc(-n2cccn2)cc1	-0.15	-1.12	-1.07	0.37	-0.7	-0.18	0.04	0.16	-0.28	-0.63	2.2	1.9257131761046928
O=C1CN=C(c2ccccc2)c2ccc(C(F)(F)F)cc2N1	0.85	1.14	0.21	-0.62	-0.61	-0.18	-0.02	-2.07	-0.28	0.51	3.18	3.2549052282043984
O=C(O)c1ccc(Cl)cc1[N+](=O)[O-]	-0.11	0.05	0.55	0.19	-0.41	-0.18	-0.01	0.12	-0.28	-0.63	2.08	1.9730013371549944
NS(=O)(=O)c1ccc(Cn2cnc3ccccc32)cc1	-0.24	0.04	-0.71	0.87	-0.51	-2.1	-1.06	0.3	-0.28	-0.63	1.04	1.5422563332235055
CCC(C)C1(CC)C(=O)NC(=O)NC1=O	-0.82	0.07	1.71	-0.29	0.16	-0.18	-0.1	-0.37	-0.28	-0.63	1.67	1.4460078129966598
COC(=O)c1ccc(O)cc1	-0.58	-0.37	-0.2	-0.16	1.12	0.51	-0.43	-0.43	-0.28	-0.63	1.96	1.40620631541082
O=C1Cc2ccccc2N=N1	-0.17	0.02	-0.2	0.19	-0.99	-0.18	-0.01	0.12	-0.28	0.51	0.68	1.5347289730649345
NC(=O)Nc1ccc(Cl)c(Cl)c1	0.22	-0.04	-0.23	0.33	-0.51	-0.18	-0.16	-0.21	-0.28	-0.63	2.65	2.548199561852946
Cn1cc([N+](=O)[O-])nc1Br	-0.64	-0.11	-0.01	0.19	1.51	0.7	-0.01	0.12	-0.28	-0.63	0.33	0.9588132819062654
O=c1ssc2ccccc12	0.13	2.6	-0.18	0.19	-1.57	1.32	-0.01	0.12	-0.28	-0.63	2.73	2.3570447733139175
O=C(O)c1c(F)cccc1Cl	0.03	0.16	-0.24	0.19	-0.13	-0.18	-0.01	0.12	-0.28	-0.63	2.11	2.272572595513744
O=[N+]([O-])/C=C1\NCCN1Cc1cccnc1	-0.96	-0.51	0.21	0.35	0.55	-0.18	0.7	0.1	-0.28	-0.63	-1.02	0.11164115545144718
O=C(NCCN1CCN2CCC3Nc4ccccc4C3=C2C1)c1ccccc1[N+](=O)[O-]	0.27	0.51	1.18	1.33	0.07	-0.18	1.84	1.01	-0.28	-0.63	1.8	2.1771414610030737
O=c1ccc2ccccc2o1	-0.2	0.15	-0.2	0.19	-0.22	-0.18	-0.01	0.12	-0.28	-0.63	1.39	1.7929715318985229
CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F	2.06	0.49	-1.07	-2.86	-1.18	-0.18	-0.7	-4.25	-0.28	-0.63	4.83	5.571395144553525
Oc1c(Cl)cc(Cl)cc1Cl	0.76	-0.69	-1.07	0.19	-1.66	-0.18	-0.01	0.12	-0.28	-0.63	3.69	4.020741635941159
Cc1ccc(S(=O)(=O)C2(C(=O)OC(C)C)CCC2)cc1	0.32	2.36	-0.07	-0.02	-0.61	-2.13	0.29	0.73	-0.28	-0.63	2.78	2.381058064505631
CCCN(CCC)C1CCOc2c(O)cccc21	0.75	-0.77	-0.87	-0.66	-0.13	-0.18	0.09	-0.46	-0.28	-0.63	3.3	3.2240034791228016
COc1ccccc1OC(=O)c1ccc(N)cc1O	0.05	0.07	-0.11	-1.0	1.6	0.6	-1.54	-0.41	-0.28	-0.63	2.88	2.2073251709958144
N#C/N=C1\NCCN1Cc1cnccc1Cl	-0.71	-0.04	-0.29	0.32	0.16	-0.18	0.34	0.54	-0.28	-0.63	0.77	1.011860647999334
CCCCCCN(SN(C)C(=O)O/N=C(\C)SC)C(=O)N(C)C	1.09	0.41	1.38	-1.49	-0.13	2.42	-0.92	-2.14	-0.28	1.08	3.3	3.8840310865956424
Nc1ccc(S(=O)(=O)Nc2cccc(Cl)n2)cc1	-0.0	-0.19	-0.75	0.39	-0.41	-2.12	1.14	0.46	-0.28	-0.63	0.82	1.7019439739759634
NC1=NCC(CN2CCOCC2)O1	-1.91	-1.18	-0.56	0.51	1.79	-0.18	0.8	0.46	-0.28	-0.63	-0.22	-0.8947943134435975
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1	0.46	0.5	0.91	0.31	-0.32	0.65	0.55	0.46	-0.28	-0.06	2.88	2.74867651987583
NC(=O)CCCc1ccccn1	-0.76	-0.44	0.1	-0.1	0.35	-0.18	-0.21	-0.19	-0.28	1.65	-0.01	0.42395125416438734
COc1ccc(Cc2cnc(N)nc2N)cc1Br	-0.07	-0.19	-0.43	0.7	0.64	0.68	2.03	1.0	-0.28	-0.63	1.88	2.1937926064026763
OC(CNCC(O)COc1ccccc1)COc1ccccc1	-0.41	-0.26	-1.07	0.32	0.45	-0.18	-0.45	0.21	0.63	-0.63	2.52	1.3825732077639006
Nc1ncnc2nn[nH]c12	-1.72	-1.2	-0.46	0.19	1.51	-0.18	-0.01	0.12	-0.28	-0.63	-0.96	-0.9789967311986825
CN(C)C(=O)OCc1cccc(N(C)C)c1	-0.1	-0.33	0.11	-1.03	0.64	3.66	0.48	0.19	-0.28	-0.63	2.28	1.7325500778597447
COC(=O)c1ccc(Br)cc1	0.07	0.04	-0.19	0.44	-0.51	0.54	-0.06	-0.14	-0.28	-0.63	2.95	2.555635555309717
CN(C)c1ccc2c(c1)C(=O)N(OS(C)(=O)=O)C2=O	-1.16	1.58	0.99	-1.58	0.16	-0.38	0.05	-1.73	-0.28	-0.63	1.65	1.424166538039043
N#C/N=[N+](\[O-])c1ncccn1	-0.97	-0.63	-0.49	0.07	1.31	-0.18	-0.07	0.03	-0.28	-0.63	-0.13	0.415501288055803
CC1OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(O)CC43O)C2)CC(O)C1O	0.21	1.22	-0.12	0.08	-0.03	-0.18	0.07	-0.86	0.63	-0.06	1.77	2.245070181915405
CCC(=O)c1ccc(S(=O)CC)c([N+](=O)[O-])c1	0.12	0.88	0.69	-1.99	-0.61	-0.92	-0.18	-1.84	-0.28	0.51	2.8	2.548516403300379
O=C(OCC#Cc1cccc(O)c1)c1c(O)c2ccc(Cl)cc2[nH]c1=O	0.42	0.41	1.08	0.18	0.35	-0.18	-1.49	0.69	-0.28	-0.63	3.65	2.59911426581318
O=C(O)c1c2ccccc2cc2ccccc12	0.97	0.51	-0.15	0.98	-0.8	-0.18	0.23	0.34	-0.28	-0.63	3.85	3.7812899430215
c1ccc(-c2ccccn2)nc1	0.01	-0.74	-0.39	0.5	-0.51	-0.18	0.06	0.19	-0.28	-0.63	1.5	2.250025471239215
COC(=O)c1cnc([N+](=O)[O-])n1C	-1.24	-0.01	0.87	-1.19	2.08	1.17	-0.86	-1.34	-0.28	-0.63	0.51	0.3543170656672696
O=C(O)/C=C/c1ccc([N+](=O)[O-])o1	-0.52	0.06	0.5	1.03	0.55	-0.18	2.29	1.96	3.37	0.51	0.68	0.9780729180966451
O=P(N1CC1)(N1CC1)N(/N=C/c1ccccc1)c1ccccc1	0.71	-0.11	-1.07	-0.71	-0.41	-1.66	-0.2	-0.0	-0.28	-0.63	0.56	2.402210786781774
CC(C)(C)C1CCCCC1	0.92	-0.74	-1.07	0.19	-1.57	-0.18	-0.01	0.12	-0.28	-0.63	5.04	4.321378404760117
CC(C)NC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C	0.46	1.45	0.95	2.72	-0.41	-0.18	0.43	0.69	-0.28	0.51	2.43	2.829927163616265
Cc1ccc(C)c(O)c1C	0.12	-0.33	-1.07	0.19	-0.61	-0.18	-0.01	0.12	-0.28	-0.63	2.67	2.5305265675997632
O=[N+]([O-])c1nccn1CCS(=O)(=O)c1ccccc1	-0.53	1.26	0.04	0.06	-0.03	-2.0	0.46	-0.18	-0.28	-0.63	0.52	1.1637620568866651
Cn1cccn1	-1.05	-2.32	-1.07	0.19	0.26	0.81	-0.01	0.12	-0.28	-0.63	0.23	0.2304188421795591
Fc1cccc(F)c1-c1nnc(-c2ccccc2Cl)nn1	0.87	0.5	-1.07	-0.26	-1.18	-0.18	-0.01	-0.14	-0.28	-0.63	3.3	3.8217829037917217
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1	1.43	0.84	-0.13	1.2	0.16	-0.18	0.66	2.07	1.55	-0.63	4.13	4.087732539518518
NC(=O)Nc1cccc(O)c1	-0.76	-0.27	-0.24	0.62	1.6	-0.18	0.62	0.33	-0.28	-0.63	0.36	0.8911113132069537
CCN1CCCC1CNC(=O)c1c(OC)ccc(Br)c1O	0.16	0.07	0.12	-2.07	0.26	0.6	-0.22	-0.71	-0.28	-0.63	2.0	2.631699143013493
CC(C)C(=O)Nc1ccccc1S(N)(=O)=O	-0.74	0.42	-0.15	-1.11	-0.32	-2.2	-0.58	-1.68	-0.28	-0.06	0.97	1.0844440284722154
CC(CC(=O)c1ccccc1)C(=O)O	-0.09	0.4	0.7	0.21	-0.13	-0.18	-0.13	-0.23	-0.28	1.08	1.62	1.7435952146743483
Cc1ccc(CO)c(/C=N/NC(=O)c2ccco2)c1O	-0.35	0.57	-0.14	0.32	0.83	-0.18	2.54	1.09	1.55	-0.63	2.67	1.8574343088557008
CNC(=S)OCCn1c([N+](=O)[O-])cnc1C	-0.93	-0.06	0.06	-0.67	1.22	0.69	1.34	0.36	-0.28	1.08	1.12	0.3334750009646134
CCc1cc2[nH]c(=O)c(=O)[nH]c2c([N+](=O)[O-])c1Br	-0.41	0.42	1.95	-0.66	-0.41	-0.18	0.07	-0.71	-0.28	-0.63	1.04	1.9097310701741381
O=CN(Cc1ccccc1)c1ccccc1	0.45	-0.51	-0.04	0.07	-0.61	-0.18	-0.12	0.11	-0.28	-0.63	2.62	2.9312976940490296
CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1	1.96	0.47	-1.07	5.56	-1.09	-0.18	1.09	1.63	-0.28	-0.63	6.06	5.5251758678584295
COc1ccc(CC#N)cc1	-0.22	-0.84	-1.07	0.34	-0.32	0.67	0.08	0.26	-0.28	0.51	1.7	1.3932519485719381
NC(COCc1ccccc1)C(=O)O	-0.93	-0.46	-0.24	0.0	0.83	-0.18	-0.09	-0.48	-0.28	-0.06	-0.96	0.005461538415284681
CC1(C(Cl)Cl)C2C(Cl)C(Cl)C1(C(Cl)Cl)C(Cl)C2Cl	2.19	0.28	-1.2	0.19	-2.53	-0.18	-0.01	0.12	-0.28	-0.63	5.52	5.5783454528698915
O=C1c2ccccc2C(=O)N1c1ccccc1	0.23	0.78	0.98	0.92	-0.61	-0.18	-0.04	0.47	-0.28	-0.63	2.4	2.3306401622005737
CCOCC1CO1	-1.05	-1.54	-1.07	0.19	0.55	-0.18	-0.01	0.12	-0.28	-0.63	0.36	-0.07353007285360555
CNC(=O)Oc1ccccc1C(C)(C)C	0.36	0.1	-0.17	1.15	-0.13	0.63	0.17	0.4	-0.28	-0.63	2.65	2.682919360510332
O=C(O)c1cn(-c2cccc([N+](=O)[O-])c2)c2cc(N3CCNCC3)c(F)cc2c1=O	0.02	0.86	1.89	-1.2	0.35	-0.18	-1.23	-1.01	-0.28	-0.63	-0.79	1.657865110769561
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC	-0.97	0.8	0.11	-2.95	0.26	-1.47	-1.09	-2.24	-0.28	-0.63	0.57	0.7013407144748302
FC(F)(F)COC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl	1.15	0.78	-1.07	-0.97	-1.57	-0.18	0.18	0.14	-0.28	-0.63	4.15	4.268422508311637
Nc1cccc2cc3ccccc3cc12	0.9	-0.05	-1.07	0.61	-0.89	-0.18	-0.01	0.14	-0.28	-0.63	3.69	3.6779546651686763
Cc1cccc(C)c1NC(=O)c1ccc(CN2CCCC2)cc1	1.26	0.36	0.13	0.09	-0.8	-0.18	-0.13	0.37	-0.28	-0.63	3.14	4.01526224735519
Nc1nc(N)nc(-c2ccccc2[N+](=O)[O-])n1	-0.93	-0.04	0.67	-0.47	1.31	-0.18	-1.85	-1.1	-0.28	-0.63	0.49	0.5214367328495257
C#CCOc1c(Cl)cc(N/C=N/OCC)cc1Cl	0.79	0.37	-0.68	0.45	-0.32	-0.18	1.73	1.38	0.63	-0.63	3.6	3.4435607496465725
CCC1CCCCC1	0.53	-1.38	-1.07	0.19	-1.47	-0.18	-0.01	0.12	-0.28	-0.63	4.56	3.792943630082911
CCCN	-1.09	-3.27	-1.07	0.19	-0.32	-0.18	-0.01	0.12	-0.28	-0.63	0.48	0.278873747154651
