SMILES	SLogP	EEig02d	VSA_EState2	ATSC8dv	FPSA4	VSA_EState9	ATSC8c	ATSC8se	F08(O-O)	H-051	observed	predicted
Clc1cnc(Cl)cn1	-0.21	-0.74	-0.48	0.19	-0.99	-0.18	-0.01	0.12	-0.28	-0.63	1.58	1.7940298505200072
NC(=O)Nc1ccccc1F	-0.5	-0.05	-0.24	0.45	0.55	-0.18	0.1	0.25	-0.28	-0.63	0.88	1.4538044996934147
Nc1ccc2cc3ccc(N)cc3nc2c1	0.27	-0.03	-0.7	0.13	-0.03	-0.18	1.01	0.33	-0.28	-0.63	1.83	2.468523193083349
Cc1cc(=O)[nH]c2c1cc(C)c1occ(C)c12	0.67	0.67	0.1	1.08	-0.22	-0.18	0.02	0.1	-0.28	-0.63	3.13	3.081343264521346
O=C(Nc1ccccc1C(=O)O)c1ccccc1O	0.14	0.89	0.78	-0.13	0.64	-0.18	2.63	1.06	1.55	-0.63	3.94	2.3746835973504905
C=C(C)C(=O)OC(C)C	-0.37	-0.87	-0.21	0.19	-0.22	-0.18	-0.01	0.12	-0.28	-0.63	2.25	1.5494102179749485
COc1ccccc1N1CCN(CCCCc2ccc(F)cc2)CC1	1.15	-0.12	-0.67	-0.8	-0.41	0.73	-0.8	-0.44	-0.28	-0.63	4.8	3.8864487511000383
CC(C)c1ccccc1	0.43	-1.02	-1.07	0.19	-1.38	-0.18	-0.01	0.12	-0.28	-0.63	3.66	3.6689436041568224
CCCCCCCCCCCC[n+]1ccc(C)c(C)c1	2.1	-0.81	-1.07	0.18	0.07	-0.18	-0.15	0.12	-0.28	-0.63	1.75	2.6809727423631178
O=C(O)c1cccc(Cl)n1	-0.42	-0.22	0.04	0.19	-0.22	-0.18	-0.01	0.12	-0.28	-0.63	1.5	1.4581984364569218
CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl	1.18	-0.48	-1.07	3.38	-0.8	-2.13	0.02	0.92	-0.28	-0.63	2.59	3.52827857959877
CCc1ccc(OC(=O)NC)cc1	-0.09	-0.2	-0.2	-0.57	0.26	0.63	0.17	-0.15	-0.28	-0.63	2.23	2.26566550634975
CC1(C)CC(NC(=O)NP(=O)(N2CC2)N2CC2)CC(C)(C)N1	-0.49	0.83	-0.07	1.35	0.26	-1.68	3.13	1.8	-0.28	-0.63	-0.8	0.6149681516514108
CC(C)(C)C(=O)c1ccccc1	0.49	0.16	-0.13	0.57	-1.18	-0.18	0.06	0.22	-0.28	-0.63	3.0	3.2425024219064538
CNC(=O)NS(=O)(=O)c1cccnc1	-1.5	-0.02	0.09	0.22	1.03	-1.48	-0.31	0.28	-0.28	-0.63	-0.45	-0.4815505953944111
COc1ccccc1NC(=O)Nc1ccccc1OC	0.76	-0.14	-0.1	0.01	1.03	1.46	2.29	0.87	0.63	-0.63	2.98	3.1767515570059555
CC(C(=O)O)(c1ccccc1)c1ccccc1	0.59	-0.18	-0.13	0.62	-0.51	-0.18	0.21	0.31	-0.28	-0.63	2.69	3.2557933542566864
Cc1ccc2c(c1)C(NC(=O)CN1CCCCC1)CO2	-0.06	0.04	0.09	-1.23	0.07	-0.18	-0.13	-0.67	-0.28	0.51	2.78	2.097478469021291
Cc1c([N+](=O)[O-])ncn1C	-0.92	-0.21	-0.0	0.19	0.55	0.72	-0.01	0.12	-0.28	1.08	-0.11	0.018546779482862454
Cc1ncc(CO)c(CN)c1O	-1.28	-0.53	-0.75	0.39	1.6	-0.18	0.09	0.22	-0.28	1.08	-1.3	-0.4720448585197469
CC(C)(C)c1cc(C(O)CCC2CCNCC2)c2ccccc2n1	1.38	0.41	-0.68	0.61	-0.89	-0.18	0.11	0.39	-0.28	-0.63	3.63	4.1952577527755635
Cc1sc(S(C)=O)c([N+](=O)[O-])c1C	-0.07	2.6	-0.18	0.19	-0.8	-0.85	-0.01	0.12	-0.28	1.08	2.65	1.790302612298841
COc1cc(C(=O)Nc2ccc3nn(C4CCCC4)nc3c2)cc(OC)c1OC	1.05	0.42	0.11	0.61	0.74	2.22	-0.67	-0.79	-0.28	-0.63	3.87	3.53191859397568
NC(=O)COC(=O)c1ccccc1	-1.11	0.04	0.66	0.26	0.93	-0.18	-0.08	-0.11	-0.28	0.51	0.69	-0.12003633474133221
C=CCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCN(C)CC1)C(=O)NC(CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1	-0.79	0.82	3.58	-5.71	0.26	-1.36	4.04	-5.22	3.37	1.08	2.73	2.0851520068143166
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21	-0.09	-0.19	-1.07	-0.02	2.18	0.89	1.11	0.32	-0.28	-0.63	-1.78	-0.3529434137274291
COC(=O)c1cccnn1	-1.15	-0.89	-0.21	0.6	0.83	0.51	0.08	0.33	-0.28	-0.63	-0.43	0.2499617463837639
CNC(=O)c1ccc[nH]1	-1.08	-1.2	0.02	0.19	1.31	0.66	-0.01	0.12	-0.28	-0.63	0.42	0.2221969192773774
O=C(O)COc1cc(F)cc(Cl)c1	-0.11	0.32	-0.26	-0.31	0.07	-0.18	-0.76	-0.85	-0.28	0.51	2.2	1.7848894562507913
CNC(=O)OCc1ccccc1	-0.36	-0.49	-0.21	0.24	0.74	0.63	-0.14	0.18	-0.28	-0.63	1.68	1.6848044224649497
CCCOC/C(=N\c1ccc(Cl)cc1C(F)(F)F)n1ccnc1	1.51	0.1	-0.42	-0.7	-0.32	-0.18	0.46	0.31	-0.28	0.51	1.4	4.401639233772992
CC1=CC=C(C(C)C)CC1	0.73	-0.56	-1.07	0.53	-1.47	-0.18	0.05	0.18	-0.28	-0.63	4.25	4.133113971250809
CC(=O)Nc1cccc(OC(=O)CNC(=O)c2ccccc2)c1	-0.09	0.69	1.72	-0.16	0.45	-0.18	-1.05	-0.18	0.63	2.22	1.7	1.655681458320971
Cc1c2ccoc2cc2oc(=O)ccc12	0.45	0.58	-0.18	-0.06	0.35	-0.18	-0.2	-0.19	-0.28	-0.63	2.33	2.820648512275032
Cc1nc(NCCN)c(C#N)cc1-c1ccncc1	-0.26	-0.16	-0.39	0.03	0.07	-0.18	0.15	0.14	-0.28	1.08	1.91	1.5008846480253046
