SMILES	AATSC0c	AATS1s	IC2	D/Dr5	AATS3s	AATS4s	SdssC	AATS0s	X2A	SIC0	AATSC1Z	nR_3_True_True_False_None	SMR_VSA7	MATS1c	VSA_EState5	nR_3_True_False_None_False	observed	predicted
Cc1ccsc1C(=CCCN1CCCC(C(=O)O)C1)c1sccc1C	-0.72	-0.88	0.6	2.45	-0.89	-0.81	0.76	-0.68	-0.17	-0.41	0.26	-0.73	0.54	-0.12	-0.32	-1.19	0.0293837777	-0.1275669834013416
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1	-0.66	-0.69	0.24	-0.57	-0.41	-0.31	-0.18	-0.66	-0.12	-0.96	-0.01	-0.73	-0.01	0.16	2.85	0.39	-0.4775557665	-0.21019305851522427
CCOC(=O)CCCCCCCCC(C)c1ccccc1I	-1.07	-1.18	-0.55	-0.57	-1.12	-1.04	0.21	-0.94	0.82	-0.98	-0.07	-0.73	-0.11	-0.14	0.43	-0.4	2.096910013	1.6501822857908919
CCOP(=O)(OCC)SCC[N+](C)(C)C	-0.51	-1.75	-1.11	-0.57	-0.96	-0.87	0.25	-0.73	1.57	0.19	2.52	-0.73	-1.42	-0.99	0.52	-1.19	-0.7772835289	-0.25446754586765824
c1ccc(C2(N3CCCCC3)CCCCC2)cc1	-1.48	-1.64	-1.87	-0.57	-1.33	-1.3	0.25	-1.4	-0.58	-1.3	0.1	-0.73	-0.01	2.06	0.12	0.39	-0.6989700043000001	-0.15724771104893345
CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21	-1.29	-0.98	-0.57	-0.57	-0.9	-1.05	0.25	-1.25	-0.39	-1.16	0.1	1.25	0.93	1.9	0.12	0.39	1.0	0.6212466871519198
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1	-1.18	-0.73	-0.12	-0.57	-0.61	-0.8	0.33	-0.26	0.35	-0.5	0.01	-0.73	-0.02	1.34	0.47	-0.4	0.8241258339	0.5620544842808228
CCC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C	-1.22	-1.47	0.11	0.02	-0.92	-1.07	1.66	-0.83	-1.13	-1.29	0.04	1.25	-0.96	0.56	1.86	1.97	-0.3010299957	-0.20114619840430215
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F	-0.42	-0.42	0.83	0.19	0.31	-0.07	0.37	0.46	-1.26	-0.7	-0.09	1.25	-0.96	0.42	-0.59	1.97	-2.7772835289	-1.807534791966011
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I	0.97	1.32	-0.2	-0.57	0.7	0.64	-0.64	1.21	0.39	2.19	-0.76	-0.73	-0.54	-1.18	-0.51	-0.4	2.0	1.9109158024656294
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2	-1.29	-1.35	0.19	-0.57	-1.16	-1.19	0.25	-1.32	-0.62	-0.73	0.38	1.25	0.25	1.71	0.12	0.39	1.123851641	0.4389781181625825
CCCC=c1ncc(=CC(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1	0.05	0.22	1.59	3.23	-0.26	-0.12	-1.11	0.04	0.0	-0.26	0.03	-0.73	1.53	-0.77	-1.18	-0.4	1.123851641	0.6140272835349674
CNCCCN1c2ccccc2CCc2ccccc21	-1.19	-0.93	-0.5	-0.57	-1.0	-1.0	0.25	-1.23	-0.45	-0.99	0.07	1.25	0.93	1.42	0.12	0.39	0.6989700043000001	0.5567630136342802
CCOC(=O)n1ccn(C)c1=S	0.57	0.28	-0.51	0.09	-0.02	0.65	-0.07	-0.15	0.15	1.72	0.07	-0.73	-0.75	-1.69	0.12	-1.19	0.0	0.39180684903028995
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2	0.31	0.87	0.87	0.1	0.75	0.94	-0.38	0.79	-0.6	0.7	0.07	1.25	0.44	0.0	-0.58	-0.4	-1.3010299957	-0.28982087434656456
CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1	-1.35	-0.84	0.39	0.3	-0.9	-1.08	2.52	-1.2	-0.25	-1.1	0.07	1.25	1.38	2.43	0.3	0.39	-1.0	-0.6263296352926104
O=C(O)c1cccnc1	1.51	2.43	-0.82	-0.57	1.23	2.37	-0.45	1.45	0.94	2.18	-0.26	-0.73	-0.24	-0.73	-0.37	-1.19	1.096910013	1.2870192532155096
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1	0.22	1.29	-0.45	-0.57	0.4	0.43	0.25	-0.35	-0.17	1.52	-0.37	-0.73	-0.31	-1.53	0.21	-0.4	0.8241258339	0.8674228643119226
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1	0.71	1.8	-0.72	-0.57	1.15	1.67	-0.61	2.59	0.34	0.96	-0.21	-0.73	0.93	-0.84	-0.48	0.39	1.0	1.0991958389385599
C=CCC1(CC=C)C(=O)NC(=O)NC1=O	0.31	1.18	-0.98	-0.57	0.69	2.4	-1.22	1.13	-0.17	0.78	-0.13	-0.73	-0.42	-1.63	-0.51	-1.19	0.5224442335	0.7269040177243093
Oc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(CC2CCC2)CCC314	-0.02	-0.83	0.73	-0.06	-0.49	-0.59	0.25	-0.55	-1.45	-0.71	0.05	1.25	-0.51	0.47	0.86	1.97	0.0	-0.09596806442114456
O=C(O)CCC(=O)O	3.54	3.43	-2.76	-0.57	1.52	2.2	-1.35	3.4	3.42	1.56	-0.6	-0.73	-1.42	-1.48	-1.0	-1.19	2.0	1.9990425631927318
CC(C)(N)Cc1ccccc1	-1.22	-0.71	-1.53	-0.57	-0.72	-1.36	0.25	-1.08	1.5	-0.68	-0.17	-0.73	-0.01	0.14	0.12	-0.4	-0.2041199827	0.08736924522998407
CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	-1.48	-1.83	-0.47	0.37	-1.31	-1.38	1.44	-1.3	-0.78	-1.87	0.02	1.25	-0.96	0.82	3.4	1.97	2.0	1.1145328526227458
NC(Cc1ccc(O)c(O)c1)C(=O)O	2.49	2.04	-0.35	-0.57	1.66	0.51	-0.57	1.38	0.64	0.84	-0.51	-0.73	-0.49	-0.76	-0.72	-0.4	2.123851641	1.9735163283332868
CC(=O)OC1CCC2(C)C(=CCC3C4CCC(=O)C4(C)CCC32)C1	-0.98	-1.25	0.22	0.16	-0.89	-1.01	1.64	-0.65	-0.86	-1.16	0.09	1.25	-0.96	0.01	1.33	1.97	0.5224442335	0.005352199973581102
CCOC(=O)CCCCCCCCC(C)c1cccc(I)c1	-1.07	-1.18	-0.49	-0.57	-1.11	-1.03	0.21	-0.94	0.93	-0.98	-0.07	-0.73	-0.11	-0.14	0.43	-0.4	2.096910013	1.6935904215964077
CNCC12CCC(c3ccccc31)c1ccccc12	-1.37	-1.0	-0.76	-0.57	-1.03	-0.98	0.25	-1.23	-1.27	-1.1	0.08	1.25	1.37	1.77	0.44	2.75	0.0	0.13537510279014295
Nc1ccc(C(=O)O)c(O)c1	2.89	2.74	-0.79	-0.57	1.48	3.14	-0.61	1.73	0.64	1.61	-0.56	-0.73	-0.49	-0.79	-0.65	-0.4	2.3010299957	2.133984059252826
OCc1ccccc1	-0.58	0.3	-2.2	-0.57	-0.47	-0.37	0.25	-0.34	0.73	0.29	-0.23	-0.73	-0.01	0.5	0.12	-0.4	0.6989700043000001	0.7609201131118789
CC12CCC(=O)C=C1C=CC1C2CCC2(C)C1CCC2(O)CCC(=O)O	-0.6	-0.77	0.62	0.18	-0.68	-0.89	0.69	-0.23	-0.86	-1.07	-0.04	1.25	-0.48	-0.43	0.51	1.97	1.123851641	0.46225576574806326
Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12	-0.36	0.27	-0.01	-0.57	0.56	0.72	0.25	0.67	-0.37	-0.05	0.83	-0.73	2.88	-0.45	0.12	3.54	0.5740312677	0.4641932953887789
