SMILES	ATS0d	SLogP	GATS2c	AATS7i	AATS2i	EState_VSA3	PEOE_VSA6	AATS4i	ATSC8se	AATS5i	PNSA3	AATS1i	AATSC1Z	RBF	GATS1i	PNSA1	SMR_VSA7	MAXDN	AATSC3s	AATS3i
C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12	156.0	3.1732000000000014	1.2391855605537017	160.1444486219207	152.984520331944	11.835812092322787	6.076020106833881	158.42920172592312	-0.8086114999999998	163.10267755123823	-26.77730862861568	144.98857365093824	0.46170343137254904	0.14814814814814814	1.305544971326931	152.54011684076784	48.68071912758889	1.8368783068783072	0.043663691422815946	156.23332873154223
CCC(=O)OCC(=O)[C@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(Cl)[C@@H](O)C[C@]21C	241.0	4.086800000000004	0.9668899756205726	162.49968374076147	150.97068394098662	19.26246486877803	46.26781063535627	156.12600428339726	-1.1758719999999998	159.61564250261105	-49.13575502248196	143.43081158940197	0.23108413744061745	0.20512820512820512	1.2602748443932308	261.35006826994777	23.80116485057091	2.721424940861118	-0.01536241373127556	153.74238552996076
CC1(C)C(O)CC(O)[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312	244.0	3.184700000000002	0.9189456168270239	163.02816413888596	150.03943775959308	12.841643245852019	27.694948798762496	158.25813273234584	0.3967441327689911	160.74326404125128	-58.24515117191844	143.80507409548753	0.42208113660553004	0.02631578947368421	1.2112506043516884	217.3193935426777	24.156144551436718	2.2309761196145126	-0.010724638594421194	150.1936539930417
COc1c2c(c(CC=C(C)C)c3oc(=O)c(-c4ccc(O)cc4)c(O)c13)OC(C)(C)C=C2	202.0	5.572700000000006	0.9073457720490123	158.47089088202068	149.91489592929554	39.9964239790496	23.781858773826368	156.2820159510004	-1.0027970273483917	153.69262452330182	-42.17524949280334	142.98447397667053	0.20921619461608898	0.11428571428571428	1.0763431122382001	225.70708702907115	63.53763950412727	2.3548568594104315	-0.15216755846214827	148.90652445276152
CC(=O)O[C@@H]1C[C@H]2C(C)(C)[C@@H](O)CC[C@@]2(C)[C@@H]2CC[C@@]3(C)C(=CC(=O)O[C@H]3c3ccoc3)[C@]12C	240.0	5.365300000000006	0.8729581679792245	160.4604984812517	150.88485513965392	6.4208216229260096	34.61868599845312	157.0204369354755	-0.49765041975308655	159.4082928261543	-48.10478977191317	143.52427400550593	0.45033300844704394	0.07894736842105263	1.2569611298941847	199.93707151818296	35.805269188339864	2.019631689867305	-0.06323294814324909	150.62033485830685
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1	118.0	4.828600000000005	0.48573590828336566	164.80785742395682	147.58383239451166	0.0	38.112942673227685	149.84555129586298	-0.7011939200000019	152.92908627094147	-35.65743710314014	142.4964349942561	-0.11317073170731717	0.19047619047619047	0.9609746053024861	178.87968687556443	59.65783953108687	1.3825139298398677	-0.011837121212121236	152.59207868480436
CC(C)C1=CC2=CC[C@H]3[C@@](C)(CCC[C@]3(C)C(=O)O)[C@@H]2CC1	154.0	5.206200000000004	0.48813497852046944	164.09263331542283	150.13759931947155	11.835812092322787	44.91717796573491	158.39559997567952	-0.32422023076922946	163.26538370821808	-23.192679116497544	142.99816020704168	0.21077142230988344	0.08333333333333333	1.189444928348318	138.7222035598204	23.2982492738063	2.255096319391954	0.01679916724858196	151.69192313759024
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1	117.0	0.40430000000000005	0.9798033391435971	161.70339166176564	153.12347240207606	5.563451491696996	35.33461391738825	160.0792116686262	-1.8432678125000004	163.81556955365903	-54.589901369580105	146.34136590842778	1.3055555555555567	0.3333333333333333	1.2915966104027867	307.1471934371926	29.828919765543436	5.1254412965644836	-0.47885230605153783	160.01203038328293
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O	150.0	2.9014000000000006	0.6929999871024275	156.5975403909682	143.56380982379767	10.772448428929591	24.26546827384644	156.5733827137655	-1.348352978816654	155.89535482491493	-45.357712505761796	141.6056944910325	-0.11431701972242503	0.07142857142857142	0.8779403734664962	238.09077624301327	80.4980865373865	2.441519799277736	-0.13654967709021765	148.69248414541423
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O	278.0	4.328140000000003	1.0609725685572327	162.19756112272177	154.26541934678895	31.680667890961075	92.71024628938218	163.05577633981326	-1.4696246464463558	161.5367439031708	-40.538080345123916	146.59270908147064	0.2184782963789184	0.3469387755102041	1.3436403356364388	325.0723544028101	101.11657785678895	2.3248600350634083	-0.06312703816877087	159.1292717856532
CO[C@@]1(NC(=O)[C@@H](C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21	214.0	-1.127699999999999	0.8804626328990623	164.32443859051682	157.95660622016342	5.156436481820707	23.894619086314336	161.9067533818057	-4.0250607853954055	164.51271385786134	-74.61978082094865	152.0024935134263	0.10755361466620594	0.2564102564102564	1.2242471188666175	356.726767152479	41.09906360866854	3.3700695231796423	-0.3361785284458434	155.91351077465123
C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O	262.0	4.531240000000002	0.5749585885676465	159.31069114490407	151.5160113368024	34.534213839245474	25.309911580864757	156.35092814930184	1.7468830828392954	160.84339415872353	-81.55264670769739	146.84579855627442	-0.026340369155975093	0.2608695652173913	1.1760835289092968	392.8470794737676	104.0259262734353	2.5882243831648943	-0.25034911063758125	153.47336698122982
