SMILES	nR_9_True_True_False_None	H-048	nR_3_True_False_None_False	nR_9_True_True_None_True	nR_3_True_True_False_None	H-053	AATS5se	C-009	C-002	nR_10_True_True_None_None	nR_5_False_False_False_False	NssCH2	FNSA4	nR_5_False_False_None_None	SdssC	nR_11_True_True_False_None	AATSC0dv	SRW05	nR_5_False_False_True_True	F05[O-O]	SLogP	nR_4_False_False_False_True	AATSC0c	AATS1s	SssCH2
CCCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O	0	0	0	0	0	0	7.694278928961749	0	10	0	0	12	-0.010548590213061449	0	-1.9250677554334659	0	3.530257415575625	0.0	0	10	4.542200000000004	0	0.017441941443926922	2.4174382716049383	8.211243290006582
NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O	0	0	1	0	0	0	7.4648747628865975	0	1	0	0	5	-0.025875438364579242	0	-0.9907564066591841	0	3.234567901234567	0.0	0	0	1.925	0	0.022989930607831173	3.007007007007007	2.829570402685783
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](OC3OC(CN)=CCC3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O	0	2	1	0	0	2	7.932783646511628	2	2	0	0	4	-0.014239842284456608	0	0.5545925252142996	0	3.746539792387544	0.0	0	3	-3.851499999999994	0	0.030088972435673707	3.1152777777777776	0.9429915684644807
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc([S+](C)[O-])cc1	1	0	3	0	1	2	7.526100678899082	0	1	0	1	1	-0.023800262018230246	1	1.4193395267929314	0	4.532179950169367	2.3978952727983707	0	0	4.365500000000003	0	0.024366452450630488	3.2819241800723287	-0.14545533107131225
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C	0	0	0	0	0	3	7.826826645161291	0	0	0	0	3	-0.02428047033423556	1	0.0	0	5.5090500726648175	2.3978952727983707	1	0	0.5344200000000001	0	0.02421697833170741	3.0644955300127714	-0.005553193499621578
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O	1	1	2	1	1	0	7.834722895522388	1	0	1	0	0	-0.0303885025169424	0	-0.019950396825396233	1	3.6583805449570277	0.0	0	0	2.4479	0	0.020954441518300688	3.503990522509041	0.0
CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O	0	4	0	0	1	0	8.267822926470588	1	0	0	0	2	-0.029199456054531524	1	-3.908757219356998	0	4.575802469135801	2.3978952727983707	1	3	0.03550000000000281	1	0.038714098586914034	3.7319958847736623	0.6305330387893304
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12	0	1	1	1	0	0	7.343483540229885	0	1	0	0	3	-0.009838519073836828	2	0.0	0	3.4950690335305716	3.044522437723423	2	0	1.9118000000000002	0	0.012840162850610811	2.9302168021680215	2.8693217750062985
CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(CN)CCC3N)C2O)OCC1(C)O	0	2	1	0	0	2	7.9050308750000005	2	3	0	0	5	-0.013086836125046769	0	0.0	0	3.6212244897959187	0.0	0	3	-3.9766999999999944	0	0.02753503974079502	3.0090663580246915	2.001590625406376
CC(=O)N=c1sc(S(N)(=O)=O)nn1C	0	0	0	0	0	3	8.588340206896552	0	0	0	0	0	-0.034803557085093285	1	-0.42572278911564587	0	5.595959595959595	2.3978952727983707	1	0	-1.4237999999999997	0	0.027727083025605063	3.2666947250280587	0.0
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1	0	0	2	0	0	0	8.196762896551725	0	0	0	0	0	-0.03695202542245227	0	-0.46907407407407464	0	4.759625390218523	0.0	0	3	2.545420000000002	0	0.037511912800465425	4.329861111111111	0.0
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O	0	0	1	0	0	0	7.881677682758621	0	4	0	0	6	-0.018180476597817106	1	-1.6830856200788	0	3.965619834710743	2.3978952727983707	0	2	1.6046	0	0.02429374350887599	3.0803571428571432	2.9763552653658034
CC(N)C(O)c1ccccc1	0	0	1	0	0	0	7.334641488372093	0	0	0	0	0	-0.0156678976390466	0	0.0	0	2.7430555555555554	0.0	0	0	1.0672000000000001	0	0.01611143684376754	3.138888888888889	0.0
