SMILES	Mor12u	C-005	C-019	ATSC6p	AATSC8Z	MATS1c	MATS1se	BELpe-1	R1s	Vu	TDB04v	Mor09m	Mor13m	JGI1	B02[O-O]	B09[C-C]	observed	predicted
COc1ccc2c(C(F)(F)F)cc(=O)oc2c1	1.49	0.65	0.17	0.29	-1.17	-0.25	0.09	-0.66	1.08	2.02	2.24	-0.51	0.73	0.98	1.0	-1.32	1.0	1.0
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O	-1.64	-0.53	0.17	1.05	-0.2	0.07	0.0	0.36	-0.08	0.64	-1.27	-1.67	-2.85	0.42	1.0	0.76	0.0	0.0
CC(C(=O)O)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0.45	3.0	1.98	-1.17	-0.24	0.72	-0.07	1.55	1.08	1.4	-0.3	0.35	0.64	2.34	1.0	-1.32	0.0	0.0
COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21	-0.09	0.65	0.17	0.12	0.01	0.29	0.16	-0.66	-0.46	-0.57	0.23	-0.42	-0.41	-1.01	1.0	0.76	0.0	0.0
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1	0.93	0.65	0.17	0.24	-0.79	-0.65	-0.11	0.19	0.27	-0.43	0.08	-1.54	0.01	-0.8	1.0	0.76	0.0	0.0
CCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)nccc32)C(O)C1OP(=O)(O)O	-1.87	-0.53	1.98	2.95	0.05	-1.57	-1.47	-2.36	0.61	0.71	-1.72	-1.02	-1.0	0.27	1.0	0.76	0.0	0.0
CCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	-2.91	-0.53	1.98	3.13	0.13	-1.68	-1.4	-2.36	0.38	0.64	-1.76	0.04	0.5	0.04	1.0	0.76	0.0	0.0
C[C@]12CCC(O)CC1=CCC1C2C(O)C[C@]2(C)C1CC[C@]2(O)C(=O)CO	-0.9	-0.53	-0.74	1.13	-0.11	0.24	-0.29	0.02	-0.25	0.12	0.24	-0.01	-0.53	0.82	-1.0	0.76	0.0	0.0
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1	0.37	1.82	-0.74	-0.73	0.69	0.98	0.36	-0.32	-0.25	0.05	1.14	0.02	0.07	0.27	-1.0	0.76	1.0	1.0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	-0.62	-0.53	-0.74	1.52	0.07	0.61	0.27	0.19	-1.04	-0.23	0.25	0.82	-0.15	0.51	-1.0	0.76	0.0	1.0
COc1cc2ccc1Oc1cc(ccc1O)CCC(=O)CCCC2	-0.05	0.65	-0.74	-0.61	-0.56	0.34	0.23	-0.32	-0.06	-1.21	0.01	0.52	0.29	-0.47	-1.0	0.76	0.0	1.0
CC(C)=CC1C[C@](C)(O)C2C3CCC4[C@]5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(C)C(O)C(O)C6O)C(C)(C)C5CC[C@]4(C)[C@]34CO[C@]2(C4)O1	-3.09	-0.53	-0.74	2.55	-0.01	0.23	-0.25	0.36	0.65	0.67	-1.36	-2.34	-3.9	0.8	1.0	0.76	0.0	0.0
C1=CNC(C2=CC=CC(C3C=CC=CN3)N2)C=C1	-0.36	-0.53	0.17	-0.12	-0.16	0.3	-0.29	0.19	-0.6	-0.96	0.28	0.52	-0.11	-1.65	-1.0	0.76	0.0	0.0
COC(=O)CC1c2cc(O)c(O)cc2C(c2ccc(O)c(O)c2)C1C(=O)OC	-0.08	1.82	1.08	-0.97	-0.39	-0.32	-0.62	-0.49	2.04	-0.77	0.45	-0.71	0.07	-0.16	1.0	0.76	0.0	0.0
O=c1[nH]c2cc(Cl)ccc2o1	0.98	-0.53	-0.74	0.02	-1.18	-2.19	-0.63	-0.32	-0.78	1.29	2.55	0.35	1.17	0.27	1.0	-1.32	1.0	1.0
CCC(=O)C(=O)O	1.16	-0.53	0.17	0.05	0.4	-0.85	-0.49	1.72	-0.05	0.84	-0.12	0.8	1.18	1.33	1.0	-1.32	0.0	0.0
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC1COP(=O)(O)O1	-1.23	-0.53	0.17	0.17	-0.29	-1.57	-0.75	-2.19	-0.42	1.43	-1.37	0.96	0.45	-0.88	1.0	0.76	0.0	0.0
O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)OP(=O)(O)O)C(OP(=O)(O)OP(=O)(O)O)C1OP(=O)(O)O	-1.11	-0.53	-0.74	-0.88	-0.34	-3.1	-5.54	-2.36	2.42	1.24	-0.27	6.23	2.66	3.76	1.0	-1.32	0.0	0.0
CCCCCCCCCCCCCCCCCCCc1cc(O)cc(O)c1	-1.62	-0.53	-0.74	0.08	-0.12	-0.16	0.02	-0.32	-0.62	0.83	-1.4	-0.06	-0.42	-1.51	-1.0	0.76	0.0	0.0
CC(C)C(O)CCC(C)C1CCC2C3CC=C4CC(O)CC[C@]4(C)C3CC[C@]12C	-0.54	-0.53	-0.74	1.48	-0.1	0.33	0.1	0.19	-0.92	0.78	-0.61	1.28	-1.11	0.47	-1.0	0.76	0.0	0.0
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	0.42	1.82	-0.74	-0.26	-0.77	1.18	0.56	-0.49	0.85	1.36	0.24	-0.69	-0.24	0.02	-1.0	0.76	0.0	1.0
CN(C)P(=O)(N(C)C)N(C)C	1.01	6.53	-0.74	3.65	-0.81	-1.85	-1.5	-2.36	-1.21	0.33	0.54	1.95	1.57	2.83	-1.0	-1.32	0.0	0.0
COCCC1CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13	-0.77	1.82	0.17	-0.11	-0.13	0.75	0.49	-0.66	-0.51	-1.62	0.29	-0.71	-0.49	-0.66	1.0	0.76	0.0	0.0
