SMILES	SLogP	nR_3_True_False_True_False	ESpm03d	N-068	ATSC1dv	GATS2dv	AATS0dv	GATS2d	AATS0p	MATS5Z	AATSC5c	nArCOO	ARR	X0vA	AATS5i	ATSC7c	AATSC7i	BELv0	GATS6i	AATSC6v
CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl	4.2040200000000025	1	3.877265915470141	0	66.26038781163436	0.8097006946002255	7.47498375568551	0.9245804988662135	1.8969182519140784	-0.20666197513488152	-0.00016964013504371943	0	0.6153846153846154	0.6281938078582752	150.41878213098974	0.016017623507764377	-0.23821909541246425	24.44	0.9661047463381659	-5.4727282226397325
CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2	1.6990999999999998	1	3.552968088742598	0	53.3279012345679	1.0635651758079727	5.866666666666666	1.760942628589399	1.325393815919467	0.06483553698071647	-0.002450660561675768	0	0.2727272727272727	0.6143589703777325	162.01227414667892	0.09960424189369373	0.177217358095476	20.89	1.1485579794723881	-9.549325248430836
C[C@H](NCCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1	2.3520000000000003	2	3.2343081318978193	0	19.1111111111111	1.0200242718446604	6.0476190476190474	1.601222104144527	1.4258995952816431	0.06600215517241378	-0.000617682277190322	0	0.5454545454545454	0.5728265257509157	164.70294320270835	0.23207749810656564	-0.015799301312877212	20.9	0.9140019517168788	1.3271565006949955
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O	-6.295799999999999	0	4.106852675265287	0	9.111531190926264	1.054738417311517	6.608695652173913	1.5323280885780892	1.1375320794117825	-0.07643062716742434	-0.00020999978245945445	0	0.0	0.5520982305845102	170.53849192013402	-0.5996017246630283	-0.14576968423730188	20.79	1.0113137043762326	2.646137130416728
COc1ccc(C(=CC(=O)N2CCOCC2)c2ccc(Cl)cc2)cc1OC	3.647700000000003	2	3.7248255808874053	1	57.69891660367854	1.1684573143695214	7.583774250440918	1.1684053651266764	1.5690530593199592	0.03567592172876281	0.0004911939763036253	0	0.41379310344827586	0.5985677575794923	157.44904038407867	0.01342767928529609	-0.08512478027602663	22.46	1.0967045964203053	0.35307674191281607
C[C@H]1C[C@H](C)C(=O)[C@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1	1.0415	0	3.7089800762209375	0	43.23958896700919	0.7835536272828172	6.1395348837209305	1.5519590792838878	1.2986607630587677	-0.15993260665729025	-0.0023791492645310786	0	0.0	0.6047121859386209	164.57845786057686	-0.4711923524179507	0.07851769319804254	20.82	0.8058452079238101	2.342412473737884
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1	1.9437	1	3.7256355942390558	2	66.0	0.9882160921189511	5.771428571428571	1.9778461411405217	1.3034529483466002	0.032700736002663607	-0.002928075457801531	0	0.375	0.6575203030428842	162.62883210455482	0.15012690599558415	-0.46021035340445365	20.88	1.0459503419021863	-13.637210970640789
O=C(O)c1cn(-c2ccc(O)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O	1.9431999999999996	2	4.125714021968158	0	44.31947069943288	0.7274971833416227	10.0	1.1064822670965555	1.5281325497235212	0.1279040113454708	0.00039422046750152277	1	0.5483870967741935	0.5304712301789414	160.1346009089843	-0.013478234207104159	-0.06606959808766515	20.91	1.200653145644308	-2.518277965568615
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1	2.2098000000000004	1	4.654569688282859	0	16.271604938271608	0.6270706905035265	7.296296296296297	1.2598244147157187	1.5268708118328571	0.04977546997898806	-0.0010644849995288725	0	0.2608695652173913	0.6036374220512687	168.31745969405517	0.21139054162033766	0.03167264334782616	24.44	1.0930620530454815	3.7605998360830055
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O	3.7016000000000013	2	4.751380855769687	0	-5.4847568657092385	0.6951901444636169	10.962962962962964	1.2661764705882355	1.7354952539972857	-0.062193427076520626	-0.0035316255245809005	1	0.6	0.5370146671917448	162.69181546351496	-0.2162592911695746	0.21856829912809175	24.44	0.7838502780952349	-2.2188744939076
COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl	3.873400000000001	1	4.123385431006515	0	39.64814814814815	0.8343075606072149	11.517489711934155	0.8562259306803596	2.17246222621225	0.3473859297622198	0.007975137138102223	0	0.3333333333333333	0.6760314909981211	154.79893738361716	0.5357611406358304	0.23288528139818065	22.46	1.2387779903036917	-36.33767540779342
OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O	4.107400000000005	2	3.086888382595832	0	24.989975495656054	1.1406372603968167	4.776119402985074	1.4291518537328594	1.3426267683494477	0.0065768022111232114	-0.0018136592439404525	0	0.3870967741935484	0.5977107624636314	164.67106264848772	-0.00283824767574109	0.18362792572859982	20.9	1.0276364001720988	-2.4313681659143302
CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O	3.013800000000002	0	4.856899639245327	0	79.903125	0.9678571208697845	6.15	1.6874360185841406	1.343579675045725	0.03727293319447628	0.00010577456455132757	0	0.13953488372093023	0.5943225077055999	163.59755100255296	-0.20405402598185074	-0.09257751161775325	20.88	0.8738963687045448	3.6241949259354374
CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1	4.720200000000004	2	3.288401887516811	0	47.6554894537588	1.040767418717833	7.627906976744186	1.2078807413376311	1.5666338881890927	-0.10210428697082108	0.005218819186962533	0	0.6923076923076923	0.5609153756972025	154.76267459206574	-0.16713231940451728	0.0028420480623442775	20.89	1.1420751642005023	-8.140294329110569
COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1	3.6739000000000024	1	3.6139101880761793	1	30.943258573889217	1.102408856613659	6.866199532866199	1.221271393643032	1.8214868777725401	0.050792683111770286	-0.0006065235748439538	0	0.4782608695652174	0.6326247949873325	160.52381395893687	0.0748359764847449	0.03388281398091813	24.44	0.9844187157038855	-9.97535612773745
CCOC(=O)c1cncn1C(C)c1ccccc1	2.669100000000001	1	3.0855729775537806	0	51.38408304498272	0.8787256365167792	7.294117647058823	1.1808911973756149	1.4666121905171767	-0.15612213155942664	-0.00155597524351549	0	0.5789473684210527	0.5853795948128444	162.22150161181824	0.04325939258264351	-0.0616692469717702	20.89	0.9395295921714931	-3.413570161096678
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1	3.940400000000003	1	3.322211892713684	1	30.2912	1.2063076650106457	3.6	1.64	1.35472156481242	0.02762372346332121	-1.8651164541269734e-05	0	0.2608695652173913	0.6255573047233189	162.03056672340608	-0.04514737890109138	-0.03720147855020562	20.89	0.9981232655721418	-1.2028090166953593
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1	3.5139200000000006	2	4.999439521335521	0	27.508888888888894	0.5156919500410247	11.811111111111112	1.1309168443496802	1.6973258916971499	0.12033666969972703	-0.003096903245239084	0	0.6071428571428571	0.5516563367016605	161.63592263064186	0.08841035895249766	-0.34290894996157	24.44	1.2973660438238017	-4.107122973503244
NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1	0.6213000000000004	1	3.7372733493029955	1	25.798262713313505	0.7184143425960167	9.369720597790774	1.2085372960372958	1.7742972807338415	0.06330168249208729	0.0017953671028619982	0	0.23076923076923078	0.5783778981959983	165.15523240086054	-0.6212411264951854	0.04361560397989519	24.43	0.8122945890315305	3.5437350346378427
COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O	-3.3285999999999945	0	3.5624360252769405	3	56.617283950617285	1.17038772845953	7.888888888888889	1.5258450184501846	1.176537742769625	-0.09875173370318997	-0.008890795895968216	0	0.0	0.5780973646191973	173.35913618133958	-0.7504860131401161	-0.34605889549899543	20.7	0.8092266330965862	-2.1856802047339765
COC(=O)c1ccc(O)cc1	1.1788	1	3.2004674251848457	0	18.947368421052627	0.8876155192769609	9.578947368421053	1.313588255377262	1.4630376441469473	-0.18507850088630035	-0.013411862251667019	0	0.5454545454545454	0.5521010230169262	162.36951553284982	-0.199949347341321	0.1992343689801238	20.89	0.9671301348377519	-4.909853631984394
COC(=O)Nc1nc2ccccc2[nH]1	1.7411999999999996	1	2.728741322459505	0	28.5992438563327	0.8048929189021413	10.0	1.0121799431009961	1.4790445279843916	0.04492971887550198	-0.007450510385392369	0	0.6666666666666666	0.5409365180847278	167.2338233208731	0.12729063665557033	-0.18810896466672586	20.88	0.6927142350599271	0.41938472454649317
Cc1cc2c(OCC(O)CNC(C)C)cccc2[nH]1	2.2140199999999997	1	3.2140642678709788	0	46.60499702558002	1.071453132521835	5.414634146341464	1.3851351351351353	1.349302241626293	-0.009444894201311161	-0.0013491867860522912	0	0.5	0.617567213867088	160.02916003289556	0.12494440037095644	0.07415543563925267	20.91	1.1229442052487668	-10.221942335280701
CC#Cc1cc(C)nc(Nc2ccccc2)n1	2.9000200000000005	1	2.928523523860541	0	46.40444444444444	0.8637163933583509	7.266666666666667	1.0479069133221217	1.6151522587679004	-0.28891369756708546	-0.0012168794432528998	0	0.6666666666666666	0.579913459184569	164.72588895569788	-0.08371241359617529	0.04008813994825436	20.92	0.9400319396360187	0.5929065428689225
