SMILES	SLogP	PEOE_VSA6	EState_VSA2	O-056	ATSC6v	ATSC8d	ATSC5s	PEOE_VSA10	GATS2c	ATS0dv	ATS0Z	X3A	ATSC5se	GATS5Z	ATSC8v
COC(=O)c1c(OC)cc2c(c1C)Oc1c(Cl)c(OC(C)=O)c(Cl)c(C)c1C(=O)O2	4.6556400000000036	23.20187978046503	61.046631760690154	0	-1982.661329860754	-13.703213610586012	-72.20591459702446	21.89904813041922	1.126835989749875	527.2098765432099	1826.0	0.16822920241782766	-1.187873682419664	0.9829842344867803	546.2454686503379
COC(=O)C[C@H]1C(C)(C)[C@@H](OC(C)=O)[C@@H]2[C@@H](OC(C)=O)[C@@]34O[C@@]2(O)[C@]1(C)[C@H]3CC[C@@]1(C)C4=CC(=O)O[C@H]1c1ccoc1	3.3964000000000008	27.694948798762496	6.4208216229260096	1	-524.3612949067069	3.9774999999999885	25.894042968749996	23.912949974228596	0.942270896446104	670.0	1858.0	0.14311293913863868	0.5854842199999967	0.877614052796735	-124.36055425930053
CC[C@@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O	5.5773000000000055	36.191984048617265	24.380307021012314	0	368.22598233943086	-1.8425155238472724	-9.580469186607733	43.98707681575133	1.421179778432779	667.2098765432099	2524.0	0.17721277489542453	-0.28492257471264226	0.864458365583075	-840.4170267957918
NC(N)=O	-0.9762000000000002	0.0	0.0	0	0.0	0.0	0.0	0.0	0.08302970611659118	70.0	202.0	0.0	0.0		0.0
CC(=O)O[C@@H]1CC2C(C)(C)CCC(=O)[C@]2(C)[C@@H]2CC[C@]3(C)[C@@H](c4ccoc4)OC(=O)[C@H]4O[C@]43[C@]21C	4.784700000000004	34.61868599845312	29.189413137623262	0	1756.6142282297826	4.3816703035112115	10.09033150389032	23.592228532845233	0.9892070860256333	494.0	1492.0	0.14386701253257478	0.05882021265623105	0.9349571345539088	-681.8312397505393
C[C@H]1O[C@H](O[C@@H]2[C@@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@]5(C)[C@@H]4CC=C4[C@@H]6CC(C)(C)CC[C@@]6(C(=O)O)CC[C@@]45C)[C@]3(C)CO)OC[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O	3.5211000000000037	53.191547835046876	46.709537898935736	7	871.7333323499382	10.624744015253164	4.994153543770411	36.62379832648981	0.9065684280745115	664.0	2310.0	0.16245619711207968	2.3215893501870886	0.9331167217623596	-21.585314408508452
CC1(C)[C@H](O)C=C[C@]2(C)[C@@H]1CC(=O)O[C@@]1(C)C3=CC(=O)O[C@@H](c4ccoc4)[C@]3(C)CC[C@@H]21	4.505200000000004	39.84698901243026	29.64092947259742	1	1731.0079239416507	3.9375	15.458875868055555	11.70501719873199	0.8647216742041149	440.0	1352.0	0.15650933035812045	0.9013343281249961	0.9944800606762205	2207.5135628974494
COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4oc(C(C)C)cc4c3O[C@@H]1CO2	4.693300000000004	13.847474399381248	18.308032957039252	0	-1030.8644271728836	-6.803921568627451	-5.036673928830797	35.55313957934571	1.326458286506664	456.0	1234.0	0.1622308642200561	-0.03490465359477368	1.0132816471784443	-169.43310885555226
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	1.785600000000004	27.694948798762496	31.40827208567429	5	2901.900144348727	-22.339557598391266	24.085222557374955	29.696194920593534	1.155366334557516	682.0	2280.0	0.18376572609174918	-0.9680305630565718	1.0504233619389838	-422.1022768782866
CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	7.330800000000009	76.99271268561779	6.103966387748303	1	633.7422623479376	-10.183711765809726	4.2091386751735715	0.0	0.7505807083593452	222.0	1116.0	0.16765640307687527	0.21767182510789865	0.9461738076599165	-79.83536476786034
