SMILES	C-017	H-046	H-050	AATSC1dv	MATS4s	GATS3d	BELd0	nR_3_True_False_None_False	H6m	R7p	RDF030m	JGI2	JGI3	B02[N-O]	PNSA4
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	0	0	1	1.2980121173241734	-0.03657565130271759	1.2898215992354252	3.32	2	0.103	0.358	4.453	0.07977207977207984	0.0636574074074074	1	-14.196696568129855
CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2	0	2	1	1.0190277777777774	0.07650825749915743	1.158959301851399	3.24	3	0.048	0.131	2.222	0.057613168724279865	0.06305555555555556	1	-5.985176969463698
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12	0	0	1	1.1753397861202093	0.05864305371578062	1.1648706896551726	3.24	1	0.173	0.265	5.854	0.07407407407407411	0.044354838709677415	0	-5.57212444285433
O=C(O)c1ccco1	0	0	1	0.375	-0.38798659205234964	1.2617647058823527	3.13	0	0.0	0.0	1.419	0.08888888888888893	0.046296296296296294	0	-13.161049604907543
CC1CCC2C(C)C(OCc3ccc(C(=O)O)cc3)OC3OC4(C)CCC1C32OO4	0	13	1	1.536736111111111	-0.05835260342384507	1.273607079237316	4.03	2	0.132	0.366	7.386	0.10482180293501052	0.050347222222222224	0	-9.583191457310985
C=C(CCC=C(C)C)C1CC=C(C)CC1	1	20	0	0.5838264299802759	-0.017563781680840374	1.363527265745008	3.12	1	0.009	0.252	2.027	0.09356725146198833	0.044117647058823525	0	-2.231536450043817
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12	0	0	3	0.8388101003113108	-0.03863548381614899	1.1630739845638107	3.3	3	0.243	0.262	9.918	0.06565656565656569	0.04398148148148149	0	-10.74016703716757
CC(C)NCC(O)COc1cccc2ccccc12	0	0	2	0.8475609756097561	0.002997601918465237	0.9658349532660507	3.24	2	0.057	0.241	2.698	0.07692307692307696	0.0325	0	-7.015531311346337
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12	0	5	1	1.3368123156482943	-0.05238135834588576	1.2152000000000003	4.05	1	0.148	0.366	11.52	0.09643605870020967	0.058968926553672314	1	-9.325115553052045
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1	0	0	3	-0.4575195418816818	0.00301726519662082	1.2426470588235288	4.04	1	0.025	0.201	3.25	0.08888888888888892	0.05163043478260869	1	-11.35614797967641
CC(C)SC(C)C	0	0	0	0.008264046359284455	0.36717185214664494	1.097560975609756	3.03	0	0.003	0.0	1.399	0.06349206349206352	0.125	0	-1.4389634586975089
O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1	0	5	1	1.1852657750342936	-0.07279407814131165	0.8610485056344931	4.12	2	0.279	0.278	5.714	0.1161616161616162	0.06681681681681682	1	-18.809329190543654
CCCCCCCCCOC(C)=O	0	15	0	0.7940936374549818	-0.02675159235668787	0.9443763076257125	3.04	0	0.019	0.193	5.679	0.037037037037037056	0.025	0	-2.521714689569797
CN1CC=C(c2ccccc2)CC1	0	0	0	0.6965165376495425	-0.0707703514842469	1.3457088366179277	3.14	1	0.004	0.157	2.078	0.07407407407407411	0.02734375	0	-3.092646178237145
COC(=O)CC1c2cc(O)c(O)cc2C(c2ccc(O)c(O)c2)C1C(=O)OC	0	2	4	0.8375	-0.20809924998845947	1.2649811126373625	3.26	3	0.088	0.465	6.642	0.09090909090909097	0.05597222222222223	0	-17.908221663285484
COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)/C=C(\C)C(O)C(OC)C(=O)C(C)CC(C)/C=C/C=C/C=C/1C	0	33	3	1.0966795145120662	-0.013291564600985246	1.3465899597228084	4.03	1	1.115	0.571	21.276	0.1032547699214366	0.05409663865546218	1	-13.688589703225876
CCOc1ccc2c(CCl)cc(=O)oc2c1	0	0	0	1.7439819955823612	0.01653403986175216	1.1886574074074074	3.24	1	0.019	0.109	0.21	0.06763285024154593	0.049479166666666664	0	-9.037924323343983
CC(=O)OC1CC2C(COC(=O)CC(C)C)=COC(OC(=O)CC(C)C)C2[C@]12CO2	0	15	0	1.6776469823100932	0.02196563814587667	1.0922757163451093	4.03	1	0.202	0.298	12.207	0.06818181818181823	0.06129227053140097	0	-10.270542457591802
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC=O	0	57	0	0.05667055776945883	0.0001367975363097409	0.9886954497244999	2.22	0	0.12	0.304	7.042	0.007662835249042149	0.004464285714285714	0	-2.6317993565279867
NCCCOc1cccc(CN2CCCCC2)c1	0	2	2	0.6491588883615462	0.11326086956521737	1.0349116741397009	3.08	1	0.025	0.299	1.96	0.028985507246376826	0.03273809523809523	0	-3.909566130947884
CCCNCc1cc(=O)oc2cc(OC)ccc12	0	3	1	1.5784353741496602	0.040594625500285884	1.0984615384615384	3.24	1	0.056	0.245	2.774	0.06222222222222225	0.04567307692307693	0	-6.621265362787483
CCCCCC(O)/C=C/C1C2CC(OO2)C1C/C=C\CCCC(=O)O	0	15	2	0.8344636545992933	-0.04749343000416556	1.075165176836378	3.18	1	0.271	0.3	9.023	0.06734006734006737	0.04265873015873015	0	-7.196832764561741
C[C@@](O)(COC1OC(CO)C(O)C(O)C1O)C1CC[C@@](C)(O)C(O)C1	0	2	7	0.33142857142857135	-0.0564943052192752	1.253812137846904	4.02	1	0.222	0.288	12.961	0.1333333333333334	0.05823863636363636	0	-13.55009242446382
