SMILES	SMR_VSA6	C-024	BELi0	RASA	VSA_EState5	GATS2c	SLogP_VSA3	MATS1dv	H-047	SaasC	AATS5dv	Mor08u	HATS2u	ATSC2dv	GATS2s	GATS7se	Mor19m
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O	19.634269217737724	3	17.42	0.7546877260838101	0.48856540222542555	1.0386583655704005	12.965578028838586	0.3587596787683121	12	2.5967535860363906	2.7560975609756095	2.639	0.247	66.26516052318668	0.5436925936046405	0.8317353814479438	0.071
CC(C)(C)NC[C@H](O)COc1ccccc1C#N	13.151638370425493	4	14.56	0.9237538414062217	0.5090821050642482	1.2594964737425867	0.0	0.3126971608832809	9	0.9891567066641476	2.25	0.259	0.3	-5.138504155124663	0.6643871087125831	1.5197492515357587	-0.033
CC1=CCC(C(C)C)CC1=O	0.0	0	13.64	0.8835886192229647	1.5735648148148147	0.8017040426835247	4.794537184071822	0.40214067278287463	1	0.0	0.3484848484848485	1.038	0.404	3.5185185185185173	0.4991218069207775	0.22135676654820982	0.444
CC(C)CC(N)C(=O)NC(CCC(=O)O)C(=O)[O-]	0.0	0	14.54	0.554501442074329	-3.057605347694632	0.5587037749199776	14.383611552215466	0.2660240212923657	2	0.0	4.375	2.253	0.299	49.8298027757487	0.39946665285832644	0.9501565185440262	0.215
CCOC(=O)c1cncn1C(C)c1ccccc1	6.606881964512918	5	14.56	0.8708955819249209	-0.3353878495842777	1.3057864841242783	4.736862953800049	0.369909079586499	8	1.6057884542705974	2.810126582278481	1.487	0.362	35.54325259515572	0.5848775278093704	1.217512684724481	0.103
COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1	18.97134255119644	7	14.54	0.7344494803611701	0.7877180488937836	0.951986965550111	11.21535880699783	0.18353846153846162	14	2.8585710564739193	2.449612403100775	0.006	0.244	-23.451895043731767	0.72481791947231	0.8316657735717692	0.011
C[C@H](CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21	32.08476650803001	7	14.56	0.9936008337033269	0.5275444066515496	1.7928602735791197	0.0	0.35286749630774444	17	5.610703315276729	2.907738095238095	1.058	0.296	10.95041322314053	0.4512682038834952	0.8706899902337115	-0.133
C=C1C(OC(=O)CC(C)C)CC(C(C)C)C2C1CC(=O)C2C(C)O	0.0	0	13.64	0.8018698879420213	0.6427844537850849	0.831719591937855	14.325937321943691	0.35474513054289253	4	0.0	1.7179487179487178	2.954	0.238	32.265306122448976	0.5387781629116117	1.1974710130891244	0.634
N[C@@H]1C[C@H]1c1ccccc1	0.0	5	14.54	0.9490944241088611	0.6538888888888889	0.8221178956947225	0.0	0.13398520084566592	6	1.3981481481481484	1.03125	0.197	0.456	-14.95918367346939	0.9248332478193946	1.0572302210237392	0.058
C[C@@]12CCC3c4ccc(OS(=O)(=O)O)c(O)c4CCC3C1CCC2=O	0.0	2	13.66	0.7359089033607197	1.0360513222481125	0.47553359435377923	21.614359388647436	0.08258165621906965	2	1.2860775305492582	2.4555555555555557	0.424	0.257	106.28273225692877	0.2707027546811142	1.253075765910347	0.428
NC(=O)NN=Cc1ccc([N+](=O)[O-])o1	0.0	2	14.64	0.49426912043323173	-0.2537268518518514	0.982057591621097	0.0	0.14650283553875237	2	-0.2537268518518514	7.571428571428571	0.83	0.517	6.990000000000001	0.4626861411406014	1.2596939514646177	-0.063
COC1=CC(=O)OC(CCc2ccc(OC)c(OC)c2)C1	21.3293926238326	3	13.64	0.7922235852767935	1.7379953528447407	1.3539756466469275	20.68908471459793	0.33747290124841156	14	2.5141489961457504	1.7809523809523808	1.977	0.326	-4.85484830458061	0.729067510755931	0.6071537772785741	-0.377
