SMILES	SLogP	SLogP_VSA2	ATSC3c	ATSC2c	ATSC4c	SdssC	ATSC1dv	Jhetv	ATSC1p	SLogP_VSA3	observed	predicted
O=C(CCl)c1ccccc1	0.43106235934856	-0.24265412505449324	0.022137571408843433	-0.4749006373721605	0.16435656172294658	0.03543775589690972	-0.26265256746280996	0.7842319017234853	0.03465283604037082	-0.7868699715380856	-2.29	-1.980223687468137
CCCCCCCC(=O)O	0.6743183137561513	-0.27656605574358556	-0.5509502588251403	1.1030530282269206	0.13150960025728492	-1.1141476553147631	-0.058105758150298434	0.6641138387275608	-0.18759321558830488	0.038058741764695245	-1.55	-1.6519148152572072
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12	1.6253783902959138	0.427983471284874	0.44116588270929835	-0.6181354296916889	-0.2965904566388208	3.2617645138576425	1.483822627801264	-1.5299151554556432	1.7157424211537038	0.862987455067476	-3.35	-3.277636231884061
O=C1CCCCC1	-0.011597285576818684	-0.582110946480227	-0.11112651315459512	-0.04468688738738869	0.07890779667811859	0.9094522986029316	-0.31091749097573745	-0.4238951568115601	0.034652836040367556	0.038058741764695245	-2.74	-2.3953718944099407
CN1CCN(C(c2ccccc2)c2ccccc2)CC1	1.1195353805893415	1.5679698982389574	0.21727082963385333	-1.174312126569712	0.37335720647122217	0.08126025185024129	0.4282691153877796	-1.3287908570050544	-0.720473731186396	-0.7868699715380856	-2.52	-2.8190326086956508
CO	-1.4490940526403557	-0.21072461894888952	0.09164762493091427	-0.2995203408175825	0.08079443994174548	0.08126025185024129	-1.0080774972735762	-3.041474752896246	-0.5434953753504818	-0.7868699715380856	-3.3	-3.3001739130434826
Clc1ccccc1Cl	1.0969698931674863	-0.915981830297266	0.02957895685985365	-0.13986428561603534	0.07580561763492896	0.08126025185024129	-0.7632770107316713	1.5014989287739477	0.03465283604037072	-0.7868699715380856	-1.18	-1.1520567264035242
C[C@]12C[C@@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO	0.18547463790737684	1.693329506980055	1.0869329207512946	-1.096717029944757	0.12338690346961001	1.6033359908585978	1.5559965643506872	-1.3929946955499097	2.530226773382635	0.862987455067476	-4.29	-4.370652173913049
c1ccc(C(OC(c2ccccc2)C2CO2)C2CO2)cc1	1.3149525016626016	0.5516309762815865	1.229386890162005	-1.8759787523550002	-0.25609909010109977	0.08126025185024129	-0.0020029410754436056	-1.9768156412634812	-0.5906003132187763	1.6581465826466044	-2.84	-2.9263913043478222
Oc1cccc(Br)c1	0.4661140831438408	-0.6211783366940742	-0.44033422388014803	0.33724857990604074	0.4375661885382701	0.08126025185024129	-0.8439248102767762	1.1555512419479579	0.6977214283425176	-0.7868699715380856	-1.35	-1.4338268301746548
