SMILES;H-050;AATS0d;AATS0i;AATSC0c;AATSC0i;AATSC1c;GATS1v;GATS1se;ESpm02u;EEig04u;SIC3;ZMIC1;B01[C-N];nAr_NH;nCOO
CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(O)=C1O;3.0;2.4776119402985075;165.8881434555069;0.028228795139619543;1.208849402257027;-0.01480817060252882;1.291161860748498;0.8592522010761419;4.2626798770413155;1.9534752924421233;0.6570322014268845;66.40490089227251;0.0;0.0;0.0
CC1(C)CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1;1.0;3.0123456790123457;163.39709345327103;0.003735413542335233;1.2752869694057218;-0.0015113388069522469;1.239378072489295;1.0172508396634345;4.8283137373023015;3.108053767194158;0.719172320909617;68.94845115055315;0.0;0.0;0.0
COC(=O)c1ccccc1CS(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1;2.0;3.391304347826087;165.38427158552352;0.036893571393794955;1.5667910203547328;-0.02485221103390466;1.0437144083156285;0.7652190366574843;4.394449154672439;2.295185041305464;0.8641026377084338;47.2045436577981;1.0;0.0;0.0
ClCCCCl;0.0;1.8181818181818181;166.01889418629946;0.003922232556585607;0.9972676302240486;-0.0004576939104161368;0.9970096000916465;0.5109913796094022;1.9459101490553132;-1.618033988749895;0.6320993119590518;25.318653351948747;0.0;0.0;0.0
Cc1c([N+](=O)[O-])cc(C(C)C)c(O)c1[N+](=O)[O-];1.0;3.310344827586207;166.78248068356856;0.029829991041030953;1.4004275186092694;-0.005095112735237039;1.0108896457168928;0.3828303017607929;3.9318256327243257;1.6571110496164823;0.8135690488757453;32.809845760664835;1.0;0.0;0.0
Clc1cc(Cl)c2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2;0.0;5.181818181818182;148.6921234379499;0.02878840517108019;1.0007293199376024;-0.009379962991669178;0.5352898948794438;0.8630054787141894;4.23410650459726;2.3497559927145986;0.8980709889920111;90.71508009736289;0.0;0.0;0.0
ClC(Cl)=CBr;0.0;2.8333333333333335;152.3985150463415;0.00523136234393069;0.829163912491249;-0.002889874612030733;0.5089857666953416;0.8356263390865205;2.1972245773362196;-1.4811943040920155;0.8710490642551529;38.64260834727568;0.0;0.0;0.0
CCCOc1ccc2[nH]c(NC(=O)OC)nc2c1;2.0;3.121212121212121;166.22336664488594;0.03272330818467831;1.4848231377022303;-0.023931423516958625;1.051369490665393;0.8966891341858719;3.9318256327243257;1.786082951915753;0.9188431530811266;30.215006433210096;1.0;1.0;0.0
BrCCBr;0.0;1.75;159.04888264462448;0.0029339374742279665;1.100630556362249;-2.3620505445792463e-05;0.7124523371171261;0.5128733264675592;1.6094379124341003;0.0;0.5;43.0;0.0;0.0;0.0
Nc1ccc(S(=O)(=O)c2ccc(NC(=O)CCC(=O)O)cc2)cc1;4.0;3.4;161.11146229151458;0.028754096401237234;1.5577134017089087;-0.018622408531637002;0.8534456079900412;0.6722999694736943;4.2626798770413155;2.277457726597531;0.896653996409991;49.655197002979214;1.0;0.0;1.0
Cc1ccc(C(=O)NS(=O)(=O)c2ccc(N)cc2)cc1C;3.0;3.3513513513513513;160.72328551258335;0.01780684854465833;1.5803226924557359;-0.012557864804568055;0.9011058380977682;0.5386394448039894;4.174387269895637;2.367390003371283;0.888405706014603;43.53416845905765;1.0;0.0;0.0
Cc1cccc(O)c1C(=O)O;2.0;3.1578947368421053;160.52894328007852;0.04667118909531898;1.3388013296052952;-0.0296269971627391;0.8463473494104652;0.9063359359857323;3.4339872044851463;1.1512478760677745;0.9410872157860573;24.74105878478106;0.0;0.0;1.0
CC(=O)Oc1ccccc1C(=O)OC(=O)c1ccccc1OC(C)=O;0.0;3.4871794871794872;158.18729586094838;0.03374802005869227;1.36629309003297;-0.021844146846867356;0.9352775387027308;0.7209239305324281;4.2626798770413155;2.1848478417434705;0.750111078219186;59.545831638137514;0.0;0.0;0.0
CC(C)(C)CC(C)(C)S;1.0;2.2222222222222223;164.82231082802156;0.0025694434639568524;1.3477279466779934;-0.0013252156788107646;1.4553794547380605;1.2711920369855878;3.295836866004329;-0.9999999999999998;0.588774104497351;26.824100024853028;0.0;0.0;0.0
O=CN(c1ccccc1)c1ccccc1;0.0;3.1923076923076925;156.88892884804767;0.011349661803307367;1.4849699032548582;-0.005086781738937608;0.8894376211918728;0.6095484553331862;3.713572066704308;1.317430607980975;0.7421699892105784;44.79956697340562;1.0;0.0;0.0
CC(=O)Nc1nnc(S(N)(=O)=O)s1;3.0;3.6842105263157894;170.13984523964177;0.03320988624222144;2.0384828215387856;-0.024847584207823424;0.8144932578386983;0.702989944148937;3.6635616461296463;1.3061778789043086;0.8915274445509753;30.218282478116762;1.0;0.0;0.0
Nc1cc(S(=O)(=O)O)c(O)c2c1C(=O)c1c(O)c(S(=O)(=O)O)cc(N)c1C2=O;8.0;4.473684210526316;160.94605535651817;0.05409622758090382;1.656846127278199;-0.029152243682040245;0.6059348852031327;0.8511313307244067;4.61512051684126;2.781472661903653;0.8796517395199329;56.75849546410411;1.0;0.0;0.0
OC1CCCCCCCCC1;1.0;2.129032258064516;166.18541571572516;0.007728194810537688;1.195608821023703;-0.0034490405254821574;1.4016001933816606;1.0140375279366385;3.2188758248682006;0.8796401099542224;0.49920193707569366;38.594575370948014;0.0;0.0;0.0
Cc1ccc(C(C)(C)C)c(O)c1;1.0;2.7142857142857144;162.102558399303;0.014199139499164418;1.3052699232215648;-0.008022102584038212;1.1413612105824023;0.9958459023317867;3.6109179126442243;1.2692975845056627;0.7025458113775074;27.650697249776815;0.0;0.0;0.0
CN1C2CCCC1C(C(=O)O)C2OC(=O)c1ccccc1;1.0;3.275;162.3797572980183;0.026231554174937072;1.380762623854968;-0.014428091302868831;1.0263990826712552;0.7444898129708976;4.204692619390966;2.116703009467206;0.9083519419255707;39.05428341905072;1.0;0.0;1.0
ClC1=C(Cl)C(Cl)(Cl)C(Cl)(Cl)C1(Cl)Cl;0.0;5.6923076923076925;152.2497848450154;0.014349403098184292;0.6899350837633128;-0.0008564868039456108;1.2000000000000002;1.2000000000000002;3.8918202981106265;1.1155465778690097;0.7089742952321173;78.31736174417031;0.0;0.0;0.0
c1cc(OCC2CO2)cc(OCC2CO2)c1;0.0;3.2666666666666666;161.73948482098288;0.030547092860696123;1.3169934922095279;-0.00830763384771071;1.0553335703887836;0.8824571914997069;3.8918202981106265;2.0573866518541384;0.8097912893821941;40.02337468889472;0.0;0.0;0.0
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2;0.0;3.1372549019607843;158.9741209909936;0.006215159235831995;1.5877299022333433;-0.0012750700206185749;0.963078668059365;0.9583933131041847;4.3694478524670215;2.205861611532153;0.8953842987340274;52.10883009189471;1.0;0.0;0.0
CC(C)(C)c1ccc(C(=O)O)cc1;1.0;2.888888888888889;161.27731914572172;0.019861958218404665;1.3226515631834255;-0.014156099826541388;1.0599246915373848;0.7514701489058366;3.6635616461296463;1.1159360683542985;0.7407407407407408;29.742803721011455;0.0;0.0;1.0
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC(=O)CCC(=O)O)C(C)(C)C5CCC43C)C2C1;2.0;3.208791208791209;163.2423044932962;0.017003357174111892;1.2820824257089045;-0.01066018382764211;1.1541265048700324;0.6821191010375732;5.030437921392435;3.2514794519499786;0.7870463511328657;76.26362918085282;0.0;0.0;2.0
Cc1nn(C)c(Oc2ccccc2)c1/C=N/OCc1ccc(C(=O)OC(C)(C)C)cc1;0.0;3.189655172413793;162.26493935266768;0.017969095262264912;1.4651974547262214;-0.00757667735774816;1.0462470242038922;0.6924026356346134;4.532599493153256;2.491296553898071;0.8541663161148119;53.12011455958621;1.0;0.0;0.0
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-];0.0;2.4461538461538463;165.89737006945867;0.02403630833515077;1.2550112823268258;-0.008571109790356718;1.386138142378891;0.5482352056358758;4.23410650459726;2.300216946326511;0.7112826114565931;57.23353019386746;0.0;0.0;0.0
FC(F)(F)C(Cl)C(F)(F)F;0.0;4.454545454545454;232.25308246828627;0.05254108625183665;7.569953553281895;-0.024230207622176488;1.0791370526195678;1.2403533674882194;3.4339872044851463;-0.9999999999999998;0.5398672663189945;38.67097380903819;0.0;0.0;0.0
NS(=O)(=O)c1ccc(SCCCO)c([N+](=O)[O-])c1;3.0;3.2666666666666666;164.15190660445626;0.023674542475077262;1.6722829389227143;-0.009503747110226427;0.8882977479372234;0.5181818188766253;3.9318256327243257;1.7091627052244969;0.932068317636498;31.951874552195573;1.0;0.0;0.0
Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1;2.0;3.2325581395348837;164.7113927185309;0.014796123416307766;1.5325956014096678;-0.010042605109998897;1.051633266433363;0.5033403610457876;4.2626798770413155;2.32237319178644;0.8681911085722457;39.05231784900191;1.0;0.0;0.0
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1;0.0;3.297872340425532;157.3984676758581;0.022285079174662888;1.4183016105094663;-0.021538373662751156;0.9793352171870418;0.9952915214359699;4.3694478524670215;2.5110942782110968;0.8236493562937006;68.83381368820419;0.0;0.0;0.0
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F;2.0;4.8;185.21956133644656;0.03592131910193999;5.566739156949126;-0.017452339038271283;0.6516252446619271;0.74882997956242;4.465908118654584;2.756238911264152;0.9218121620330686;57.58160653866046;1.0;0.0;0.0
CC(C)CCC#N;0.0;1.9444444444444444;167.00557620092994;0.0036219789452535903;1.341829723196829;-0.0007762247128279896;1.397117583322985;0.6149003452377496;2.5649493574615367;-0.9999999999999999;0.7134271000492676;16.18419857770744;1.0;0.0;0.0
CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC;0.0;2.0;165.92606746455706;0.005092133307707192;1.2035470971735525;-0.002355334422603267;1.5002726606338748;0.8039759752138447;4.2626798770413155;1.8724697412794735;0.40884871323601407;120.15458941078121;0.0;0.0;0.0
C/C=C(\CC)C(=O)NC(N)=O;3.0;2.4347826086956523;169.56326148460818;0.026248051429030663;1.344937429529428;-0.026592533232300816;1.176245506612363;0.7712789854864475;3.2188758248682006;0.6180339887498953;0.8701506627668139;21.502277146728073;1.0;0.0;0.0
O=C(O)c1cccc(F)c1F;1.0;3.7333333333333334;173.68277280079974;0.04378445091167093;4.166587782598913;-0.025894999356193427;0.7528468678671302;0.7040698925749007;3.4339872044851463;1.2666674483061768;0.9999999999999998;28.932982199137466;0.0;0.0;1.0
Nc1nc2c(ncn2COCCO)c(=O)[nH]1;4.0;3.3703703703703702;172.62974786830515;0.041735941238489775;1.5143545778443392;-0.027041883367263098;0.9831270433823173;1.0678471766073052;3.8501476017100584;1.6977781546310349;0.9376859502645477;25.798386587295273;1.0;1.0;0.0
C=C=C(C)C;0.0;1.8461538461538463;162.562538203384;0.0028252351510902984;1.2939438315855607;0.00010080050694128849;1.2999999999999998;1.3000000000000003;2.1972245773362196;-1.481194304092016;0.594439569964495;14.029031297046766;0.0;0.0;0.0
O=C(O)C(O)C(Cl)(Cl)Cl;2.0;3.5833333333333335;166.33068043341225;0.06633471194585558;0.9226393207291869;-0.04267067101168726;0.48794009163415386;1.274830995668126;3.2188758248682006;-0.9999999999999996;0.8894714728255649;39.20776979449119;0.0;0.0;1.0
O=C1NCCCN1;2.0;2.533333333333333;172.96333679843283;0.030428562553954232;1.3271462792326394;-0.02760182517186879;1.2017670515210583;0.8351672488053661;2.833213344056216;-0.41421356237309503;0.7269781068695302;19.234206445479497;1.0;0.0;0.0
O=Cc1ccc(O)cc1O;2.0;3.25;159.5887663864371;0.0538282227385289;1.3529528869040612;-0.02731637957236676;0.7517129205085961;0.9370275958607452;3.295836866004329;0.6600213933806357;0.96875;26.400751560066098;0.0;0.0;0.0
C=Cc1ccccc1C;0.0;2.6315789473684212;157.38556447644686;0.003119590242536685;1.362942221496979;-0.0003990892434388729;1.0;1.0000000000000002;3.1354942159291497;0.5192748766593954;0.8915274445509752;25.547627115710235;0.0;0.0;0.0
COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O;3.0;3.6666666666666665;159.1740150165135;0.050247958070920355;1.356700077705471;-0.021831113753998103;0.819415031569563;0.9473804534892614;4.2626798770413155;2.2608758829227815;0.9274125779787371;46.387608536787496;0.0;0.0;0.0
CC(=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1(O)C(C)(C)CCCC1(C)O)/C=C/C(=O)O;3.0;2.7246376811594204;162.2046889066879;0.014686182012713007;1.304238865602797;-0.009124321096843743;1.1362777572728964;0.896709763638688;4.48863636973214;2.413513439832302;0.8058936407922686;62.787479492462225;0.0;0.0;1.0
CC(O)C(C)(C)C;1.0;2.0952380952380953;168.33640717533268;0.01066967198670956;1.1169613566598673;-0.005862784902884634;1.5758819231529266;1.044336985800887;2.9444389791664403;-1.0;0.5876013637548226;20.896593835660997;0.0;0.0;0.0
Cc1nn(C)c(OCC(=O)c2ccccc2)c1C(=O)c1ccc(Cl)cc1Cl;0.0;3.627906976744186;158.36563704300661;0.017258729770335855;1.4529020602401332;-0.005012152198981393;0.8323588631234557;0.5995520844363806;4.418840607796598;2.2841207888855295;0.9217215502052083;54.55385232573114;1.0;0.0;0.0
O=C(O)CI;1.0;2.375;161.0591344306684;0.062481449450826045;1.658128355394609;-0.04835302245108072;0.5860318569690478;0.9538402222048914;2.1972245773362196;-1.4811943040920155;0.9166666666666666;31.75;0.0;0.0;1.0
Fc1cccc(F)c1;0.0;3.3333333333333335;175.62872202641634;0.01157955834757897;4.8883918835442195;-0.004956696520872501;0.8494101431893849;0.5048127022431854;3.044522437723423;-0.3472963553338603;0.953509509058145;27.717795843669904;0.0;0.0;0.0
Brc1ccc2[nH]ccc2c1;1.0;3.625;154.66666838221838;0.012024910952279852;1.4936222601958582;-0.005262851545045669;0.632052804916722;0.8610730052231225;3.4339872044851463;1.0968677119139367;1.0;31.371987351738497;1.0;1.0;0.0
CSc1ccc(C(=O)O)cc1;1.0;3.0526315789473686;156.41728651153116;0.028334099024110857;1.5247804330521646;-0.019931622200509508;0.8135936528592778;0.7763221692018554;3.367295829986474;1.0000000000000004;0.9410872157860573;27.256128151919352;0.0;0.0;1.0
